YE	YE	pn22	you	you	0
the	the	dt	the	the	0
Born	Born	vvn	Born	bear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Incorruptible	Incorruptible	j	Incorruptible	incorruptible	0
and	and	cc	and	and	0
Immortal-Seed	Immortal-Seed	n1	Immortal-Seed	immortal-seed	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Covenant	Covenant	n1	Covenant	covenant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
AMEN	AMEN	uh-n	AMEN	amen	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
substance	substance	n1	substance	substance	0
which	which	r-crq	which	which	0
ministreth	ministreth	vvz	ministereth	minister	0
you	you	pn22	you	you	0
Dayly-Bread	Dayly-Bread	n1	Dayly-Bread	dayly-bread	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fresh	fresh	j	fresh	fresh	0
and	and	cc	and	and	0
new	new	j	new	new	0
wine	wine	n1	wine	wine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
,	,	,	,	,	0
mine	mine	po11	mine	my	0
endless	endless	j	endless	endless	0
Love	Love	n1	Love	love	0
reacheth	reacheth	vvz	reaches	reach	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
Armes	Armes	n2	Arms	arm	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Father	Father	n1	Father	father	0
I	I	pns11	I	i	0
Embrace	Embrace	vvb	Embrace	embrace	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
Greet	Greet	vvb	Greet	greet	0
,	,	,	,	,	0
Salute	Salute	vvb	Salute	salute	0
,	,	,	,	,	0
and	and	cc	and	and	0
kiss	kiss	vvb	kiss	kiss	0
you	you	pn22	you	you	0
,	,	,	,	,	0
one	one	pi	one	one	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
all	all	d	all	all	0
as	as	c-acp	as	as	0
one	one	crd	one	one	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	crd	one	one	0
only	only	j	only	only	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
Variation	Variation	n1	Variation	variation	0
or	or	cc	or	or	0
Changing	Changing	j-vvg	Changing	change	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
undefiled	undefiled	j	undefiled	undefiled	0
lips	lips	n2	lips	lip	0
of	of	pp-f	of	of	0
Sincerity	Sincerity	n1	Sincerity	sincerity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
never	never	av-x	never	never	0
uttered	uttered	vvd	uttered	utter	0
Uncleanness	Uncleanness	n1	Uncleanness	uncleanness	0
,	,	,	,	,	0
Lewdness	Lewdness	n1	Lewdness	lewdness	0
,	,	,	,	,	0
Deceit	Deceit	n1	Deceit	deceit	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Lye	Lye	n1	Lie	lie	0
;	;	;	;	;	0
Feel	Feel	vvb	Feel	feel	0
and	and	cc	and	and	0
know	know	vvb	know	know	0
mee	mee	pno11	me	i	0
as	as	a-acp	as	as	0
near	near	av-j	near	near	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Flesh	Flesh	n1	Flesh	flesh	0
which	which	r-crq	which	which	0
cleaveth	cleaveth	vvz	cleaveth	cleave	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Bones	Bones	n2	Bones	bone	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
purely	purely	av-j	purely	pure	0
and	and	cc	and	and	0
perfectly	perfectly	av-j	perfectly	perfect	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
bloud	bloud	n1	blood	blood	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
.	.	.	.	.	1
Ah	Ah	uh	Ah	ah	0
Sion	Sion	np1	Sion	Zion	0
!	!	!	!	!	0
if	if	cs	if	if	0
thee	thee	pno21	thee	thou	0
I	I	pns11	I	i	0
forget	forget	vvb	forget	forget	0
,	,	,	,	,	0
let	let	vvb	let	let	0
my	my	po11	my	my	0
Bowels	Bowels	n2	Bowels	bowel	0
burst	burst	vvn	burst	burst	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
body	body	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
my	my	po11	my	my	0
Carcase	Carcase	n1	Carcase	carcase	0
quickly	quickly	av-j	quickly	quick	0
become	become	vvn	become	become	0
meat	meat	n1	meat	meat	0
for	for	p-acp	for	for	0
