Humbly	Humbly	av-j	Humbly	humble	0
sheweth	sheweth	vvz	shows	show	0
,	,	,	,	,	0
THAT	THAT	cst	THAT	that	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Petiti	Petiti	n1	Petiti	petiti	0
∣	∣	sy	∣	∣	0
oner	oner	p-acp	over	over	0
can	can	n1	can	can	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
safe	safe	j	safe	safe	0
conscience	conscience	n1	conscience	conscience	0
affirm	affirm	vvi	affirm	affirm	0
,	,	,	,	,	0
and	and	cc	and	and	0
solemnly	solemnly	av-j	solemnly	solemn	0
protest	protest	vvb	protest	protest	0
,	,	,	,	,	0
that	that	cst	that	that	0
what-ever	what-ever	j	whatever	whateve	0
his	his	po31	his	his	0
actings	actings	n2	actings	acting	0
or	or	cc	or	or	0
accessi	accessi	n1	accessi	accessi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
has	has	vhz	has	have	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
relation	relation	n1	relation	relation	0
to	to	p-acp	to	to	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lick	lick	n1	lick	lick	0
business	business	n1	business	business	0
since	since	p-acp	since	since	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
troubles	troubles	n2	troubles	trouble	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
departure	departure	n1	departure	departure	0
hence	hence	av	hence	hence	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
year	year	n1	year	year	0
1651.	1651.	crd	1651.	1651.	0
though	though	c-acp	though	though	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
purge	purge	vvi	purge	purge	0
himself	himself	px31	himself	himself	0
of	of	pp-f	of	of	0
errors	errors	n2	errors	error	0
,	,	,	,	,	0
failings	failings	n2-vvg	failings	failing	0
,	,	,	,	,	0
and	and	cc	and	and	0
mistakes	mistakes	vvz	mistakes	mistake	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
judgement	judgement	n1	judgement	judgement	0
and	and	cc	and	and	0
practice	practice	n1	practice	practice	0
incident	incident	j	incident	incident	0
to	to	p-acp	to	to	0
humane	humane	j	humane	humane	0
frailty	frailty	n1	frailty	frailty	0
,	,	,	,	,	0
and	and	cc	and	and	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
die	die	vvi	die	die	0
,	,	,	,	,	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
still	still	av	still	still	0
avouch	avouch	vvi	avouch	avouch	0
and	and	cc	and	and	0
retain	retain	vvi	retain	retain	0
his	his	po31	his	his	0
innocency	innocency	n1	innocency	innocency	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
never	never	av-x	never	never	0
intended	intended	vvd	intended	intend	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
treasonably	treasonably	av-j	treasonably	treasonable	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
pernicious	pernicious	j	pernicious	pernicious	0
design	design	n1	design	design	0
against	against	p-acp	against	against	0
his	his	po31	his	his	0
Majesties	Majesties	n2	Majesties	majesty	0
late	late	av-j	late	late	0
Royal	Royal	j	Royal	royal	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
glorious	glorious	j	glorious	glorious	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
or	or	cc	or	or	0
his	his	po31	his	his	0
present	present	j	present	present	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
God	God	np1	God	God	0
may	may	vmb	may	may	0
long	long	av-j	long	long	0
preserve	preserve	vvi	preserve	preserve	0
)	)	)	)	)	0
their	their	po32	their	their	0
Per	Per	fw-la	Per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
or	or	cc	or	or	0
Government	Government	n1	Government	government	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
endeavoured	endeavoured	vvd	endeavoured	endeavour	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
waies	waies	n2	ways	way	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
uttermost	uttermost	j	uttermost	uttermost	0
for	for	p-acp	for	for	0
setling	setling	vvg	settling	settle	0
the	the	dt	the	the	0
differen	differen	j	different	different	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
their	their	po32	their	their	0
Majesties	Majesties	n2	Majesties	majesty	0
and	and	cc	and	and	0
the	the	dt	the	the	0
people	people	n1	people	people	0
:	:	:	:	:	0
And	And	cc	And	and	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
actings	actings	n2	actings	acting	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
year	year	n1	year	year	0
1641.	1641.	crd	1641.	1641.	0
or	or	cc	or	or	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
year	year	n1	year	year	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
his	his	po31	his	his	0
Majesties	Majesties	n2	Majesties	majesty	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
