YOur	YOur	po22	YOur	your	0
earnest	earnest	j	earnest	earnest	0
request	request	n1	request	request	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
heartely	heartely	av-j	heartily	hearty	0
beloued	beloued	vvn	beloved	belove	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
)	)	)	)	)	0
was	was	vbds	was	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
put	put	vvi	put	put	0
in	in	p-acp	in	in	0
writte	writte	vvn	written	write	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
those	those	d	those	those	0
first	first	ord	first	first	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
preached	preached	vvd	preached	preach	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
.	.	.	.	.	1
J	J	pns11	J	i	0
confesse	confesse	vvb	confess	confess	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
obliged	obliged	vvn	obliged	oblige	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
duties	duties	n2	duties	duty	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
,	,	,	,	,	0
although	although	cs	although	although	0
the	the	dt	the	the	0
cōsciēce	cōsciēce	n1	conscience	conscience	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
weaknes	weaknes	n1	weakness	weakness	0
&	&	cc	&	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
firmitie	firmitie	n1	firmity	firmity	0
did	did	vdd	did	do	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
this	this	d	this	this	0
houre	houre	n1	hour	hour	0
,	,	,	,	,	0
hold	hold	vvb	hold	hold	0
me	me	pno11	me	i	0
back	back	av	back	back	0
frō	frō	p-acp	from	from	0
writing	writing	n1	writing	writing	0
or	or	cc	or	or	0
presēting	presēting	vvg	presenting	present	0
in	in	a-acp	in	in	0
writte	writte	vvn	written	write	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
weake	weake	j	weak	weak	0
labours	labours	n2	labours	labour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
resist	resist	vvi	resist	resist	0
your	your	po22	your	your	0
lawful	lawful	j	lawful	lawful	0
&	&	cc	&	and	0
earnest	earnest	j	earnest	earnest	0
desire	desire	n1	desire	desire	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
particular	particular	j	particular	particular	0
;	;	;	;	;	0
praying	praying	vvg	praying	pray	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
glo	glo	n1	glow	glow	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
&	&	cc	&	and	0
your	your	po22	your	your	0
comfort	comfort	n1	comfort	comfort	0
