¶	¶	¶	¶	¶	0
To	To	pc-acp	To	to	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
and	and	cc	and	and	0
mightye	mightye	j	mighty	mighty	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
Fraunce	Fraunce	np1	Fraunce	France	0
and	and	cc	and	and	0
Irelande	Irelande	np1	Irelande	Ireland	0
,	,	,	,	,	0
Queene	Queene	n1	Queen	queen	0
.	.	.	.	.	1
THe	THe	dt	THe	the	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
Plato	Plato	np1	Plato	Plato	0
,	,	,	,	,	0
is	is	vbz	is	be	0
commonly	commonly	av-j	commonly	common	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
and	and	cc	and	and	0
vsed	vsed	vvd	used	use	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
mans	mans	ng1	men	man	0
mouthe	mouthe	n1	mouth	mouth	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
,	,	,	,	,	0
so	so	av	so	so	0
well	well	av	well	well	0
vnderstanded	vnderstanded	vvn	understanded	understand	0
,	,	,	,	,	0
(	(	(	(	(	0
moste	moste	ds	most	most	0
Gra	Gra	uh	Gram	gra	0
∣	∣	sy	∣	∣	0
cious	cious	j	cious	cious	0
Queene	Queene	n1	Queen	queen	0
:	:	:	:	:	0
)	)	)	)	)	0
that	that	d	that	that	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
are	are	vbr	are	be	0
happy	happy	j	happy	happy	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
either	either	d	either	either	0
Princies	Princies	n2	Princies	princy	0
be	be	vbb	be	be	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
,	,	,	,	,	0
and	and	cc	and	and	0
geuen	geuen	vvn	given	give	0
to	to	p-acp	to	to	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
or	or	cc	or	or	0
Sapient	Sapient	j	Sapient	sapient	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
,	,	,	,	,	0
doo	doo	vdb	do	do	0
gouerne	gouerne	vvi	govern	govern	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
containeth	containeth	vvz	containeth	contain	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
wardlie	wardlie	av-j	wardlie	wardlie	0
,	,	,	,	,	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
sheweth	sheweth	vvz	shows	show	0
outwardly	outwardly	av-j	outwardly	outward	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
whereas	whereas	cs	whereas	whereas	0
Plato	Plato	np1	Plato	Plato	0
,	,	,	,	,	0
the	the	dt	the	the	0
fowntaine	fowntaine	n1	fowntaine	fowntaine	0
of	of	pp-f	of	of	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
pound	pound	n1	pound	pound	0
,	,	,	,	,	0
Plato	Plato	np1	Plato	Plato	0
.	.	.	.	.	0
two	two	crd	two	two	0
officies	officies	n2	offices	office	0
and	and	cc	and	and	0
chargies	chargies	n2	chargies	chargy	0
