SInce	SInce	p-acp	SInce	since	0
I	I	pns11	I	i	0
wrote	wrote	vvd	wrote	write	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
now	now	av	now	now	0
accomplished	accomplished	vvn	accomplished	accomplish	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
I	I	pns11	I	i	0
spoke	spoke	vvd	spoke	speak	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
was	was	vbds	was	be	0
earnest	earnest	j	earnest	earnest	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Mysteries	Mysteries	n2	Mysteries	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
Trumpets	Trumpets	n2	Trumpets	trumpet	0
,	,	,	,	,	0
and	and	cc	and	and	0
seven	seven	crd	seven	seven	0
last	last	ord	last	last	0
Plagues	Plagues	n2	Plagues	plague	0
ministred	ministred	vvn	ministered	minister	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
seven	seven	crd	seven	seven	0
holy	holy	j	holy	holy	0
Angells	Angells	n2	Angels	angel	0
,	,	,	,	,	0
and	and	cc	and	and	0
ministring	ministring	j-vvg	ministering	minister	0
Spirits	Spirits	n2	Spirits	spirit	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
The	The	dt	The	the	0
which	which	r-crq	which	which	0
Mysteries	Mysteries	n2	Mysteries	mystery	0
I	I	pns11	I	i	0
understand	understand	vvb	understand	understand	0
are	are	vbr	are	be	0
declared	declared	vvn	declared	declare	0
by	by	p-acp	by	by	0
signification	signification	n1	signification	signification	0
,	,	,	,	,	0
being	being	vbg	being	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
excellent	excellent	j	excellent	excellent	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
far	far	av-j	far	far	0
above	above	p-acp	above	above	0
my	my	po11	my	my	0
understanding	understanding	n1	understanding	understanding	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
acording	acording	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sheed	sheed	pns31	she	she	0
their	their	po32	their	their	0
signification	signification	n1	signification	signification	0
,	,	,	,	,	0
answering	answering	vvg	answering	answer	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
plain	plain	j	plain	plain	0
Scripture	Scripture	n1	Scripture	scripture	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
understand	understand	vvb	understand	understand	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
nothing	nothing	pix	nothing	nothing	0
spoken	spoken	vvn	spoken	speak	0
and	and	cc	and	and	0
declared	declared	vvn	declared	declare	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
excellently	excellently	av-j	excellently	excellent	0
agreeing	agreeing	vvg	agreeing	agree	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
this	this	d	this	this	0
I	I	pns11	I	i	0
perceive	perceive	vvb	perceive	perceive	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
spoken	spoken	vvn	spoken	speak	0
by	by	p-acp	by	by	0
signification	signification	n1	signification	signification	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
more	more	n1	more	moor	0
plainy	plainy	n1	plainy	plainy	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
sig	sig	vvi	sig	sig	0
∣	∣	sy	∣	∣	0
nfie	nfie	vvi	nfie	nfie	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
what	what	r-crq	what	what	0
these	these	d	these	these	0
great	great	j	great	great	0
Mysteries	Mysteries	n2	Mysteries	mystery	0
do	do	vdb	do	do	0
signifie	signifie	vvi	signify	signify	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
plain	plain	j	plain	plain	0
Scripture	Scripture	n1	Scripture	scripture	0
:	:	:	:	:	0
So	So	av	So	so	0
I	I	pns11	I	i	0
hae	hae	fw-la	hae	hae	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
shewed	shewed	vvd	showed	show	0
their	their	po32	their	their	0
signification	signification	n1	signification	signification	0
to	to	pc-acp	to	to	0
agree	agree	vvi	agree	agree	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
plain	plain	j	plain	plain	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
wayes	wayes	n2	ways	way	0
speaketh	speaketh	vvz	speaks	speak	0
contrary	contrary	j-jn	contrary	contrary	0
things	things	n2	things	thing	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
cannot	cannot	vmbx	cannot	can	0
lye	lye	vvi	lie	lie	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
