To	To	p-acp	To	to	0
His	His	po31	His	his	0
GRACE	GRACE	n1	GRACE	grace	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
,	,	,	,	,	0
DUKE	DUKE	n1	DUKE	duke	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
EARL-MARSHAL	EARL-MARSHAL	n1	EARL-MARSHAL	earl-marshal	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
EARL	EARL	n1	EARL	earl	0
of	of	pp-f	of	of	0
Arundel	Arundel	np1	Arundel	Arundel	0
,	,	,	,	,	0
Surry	Surry	np1	Surry	Surry	0
,	,	,	,	,	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
and	and	cc	and	and	0
Norwich	Norwich	np1	Norwich	Norwich	0
;	;	;	;	;	0
BARON	BARON	n1	BARON	baron	0
of	of	pp-f	of	of	0
Mowbray	Mowbray	np1	Mowbray	Mowbray	0
,	,	,	,	,	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Segrave	Segrave	np1	Segrave	Segrave	0
,	,	,	,	,	0
Bruse	Bruse	vvb	Bruise	bruise	0
,	,	,	,	,	0
(	(	(	(	(	0
de	de	dt	the	the	0
Gower	Gower	np1	Gower	Gower	0
)	)	)	)	)	0
Fitz-Alan	Fitz-Alan	np1	Fitz-Alan	Fitz-Alan	0
,	,	,	,	,	0
Warren	Warren	np1	Warren	Warren	0
,	,	,	,	,	0
Clun	Clun	np1	Clun	Clun	0
,	,	,	,	,	0
Oswaldestre	Oswaldestre	np1	Oswaldestre	Oswaldestre	0
,	,	,	,	,	0
Maltravers	Maltravers	np1	Maltravers	Maltravers	0
,	,	,	,	,	0
Greystock	Greystock	np1	Greystock	Greystock	0
,	,	,	,	,	0
Furnival	Furnival	np1	Furnival	Furnival	0
,	,	,	,	,	0
Verdon	Verdon	np1	Verdon	Verdon	0
,	,	,	,	,	0
Lovetot	Lovetot	np1	Lovetot	Lovetot	0
,	,	,	,	,	0
Strange	Strange	j	Strange	strange	0
de	de	fw-fr	de	de	0
Blackmere	Blackmere	np1	Blackmere	Blackmere	0
,	,	,	,	,	0
and	and	cc	and	and	0
Howard	Howard	np1	Howard	Howard	0
of	of	pp-f	of	of	0
Castle-Rysing	Castle-Rysing	j	Castlerising	castlerising	0
;	;	;	;	;	0
First	First	ord	First	first	0
DUKE	DUKE	n1	DUKE	duke	0
,	,	,	,	,	0
First	First	ord	First	first	0
EARL	EARL	n1	EARL	earl	0
,	,	,	,	,	0
and	and	cc	and	and	0
First	First	ord	First	first	0
BARON	BARON	n1	BARON	baron	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
AND	AND	cc	AND	and	0
CHIEF	CHIEF	j-jn	CHIEF	chief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Howard	Howard	np1	Howard	Howard	0
;	;	;	;	;	0
CONSTABLE	CONSTABLE	n1	CONSTABLE	constable	0
and	and	cc	and	and	0
GOVERNOUR	GOVERNOUR	n1	GOVERNOUR	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Castle	Castle	n1	Castle	castle	0
and	and	cc	and	and	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
AND	AND	cc	AND	and	0
GUARDIAN	GUARDIAN	n1	GUARDIAN	guardian	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Forest	Forest	n1	Forest	forest	0
of	of	pp-f	of	of	0
Windsor	Windsor	np1	Windsor	Windsor	0
;	;	;	;	;	0
LORD-LIEUTENANT	LORD-LIEUTENANT	n1	LORD-LIEUTENANT	lord-lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Surry	Surry	np1	Surry	Surry	0
and	and	cc	and	and	0
Berks	Berks	np1	Berks	Berks	0
,	,	,	,	,	0
and	and	cc	and	and	0
City	City	n1	City	city	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Norwich	Norwich	np1	Norwich	Norwich	0
,	,	,	,	,	0
AND	AND	cc	AND	and	0
KNIGHT	KNIGHT	n1	KNIGHT	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
