OH	OH	uh	O	oh	0
that	that	cst	that	that	0
my	my	po11	my	my	0
counsell	counsell	n1	counsel	counsel	0
might	might	vmd	might	may	0
become	become	vvi	become	become	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
breake	breake	vvi	break	break	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
offences	offences	n2	offences	offence	0
by	by	p-acp	by	by	0
repentance	repentance	n1	repentance	repentance	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
crueltyes	crueltyes	n2	cruelties	cruelty	0
by	by	p-acp	by	by	0
mercy	mercy	n1	mercy	mercy	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
saints	saints	n2	saints	saint	0
and	and	cc	and	and	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
leave	leave	vvi	leave	leave	0
lording	lording	vvg	lording	lord	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
over	over	p-acp	over	over	0
your	your	po22	your	your	0
fellow	fellow	n1	fellow	fellow	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
let	let	vvb	let	let	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cloudes	cloudes	n2	clouds	cloud	0
,	,	,	,	,	0
finde	finde	vvb	find	find	0
you	you	pn22	you	you	0
smiting	smiting	vvg	smiting	smite	0
Ieremie	Ieremie	np1	Ieremie	Jeremy	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
cheek	cheek	n1	cheek	cheek	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
Pashurs	Pashurs	npg1	Pashurs	pashurs	0
portion	portion	n1	portion	portion	0
prove	prove	vvb	prove	prove	0
your	your	po22	your	your	0
inheritance	inheritance	n1	inheritance	inheritance	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
make	make	vvb	make	make	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
terrour	terrour	n1	terror	terror	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selvs	selvs	n2	selves	self	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
all	all	d	all	all	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
vinyards	vinyards	n2	vineyards	vineyard	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
ripe	ripe	j	ripe	ripe	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
winepresse	winepresse	n1	winepress	winepress	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Angell	Angell	n1	Angel	angel	0
wbo	wbo	np1-n	wbo	wbo	0
hath	hath	vhz	hath	have	0
that	that	d	that	that	0
sharp	sharp	j	sharp	sharp	0
sickle	sickle	n1	fickle	sickle	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
is	is	vbz	is	be	0
coming	coming	vvg	coming	come	0
