SOlomon	SOlomon	np1	SOlomon	SOlomon	0
giueth	giueth	vvz	gives	give	0
this	this	d	this	this	0
pru	pru	n2	pru	pru	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
aduice	aduice	n1	advice	advice	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
buil	buil	n1	buil	buil	0
∣	∣	sy	∣	∣	0
ders	ders	n2-jn	dears	dear	0
:	:	:	:	:	0
Prou.	Prou.	np1	Prou.	Prou.	1
24	24	crd	24	24	0
27	27	crd	27	27	0
▪	▪	▪	▪	▪	0
Prepare	Prepare	vvi	Prepare	prepare	0
thy	thy	po21	thy	thy	0
worke	worke	n1	work	work	0
without	without	p-acp	without	without	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
field	field	n1	field	field	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
build	build	vvb	built	build	0
thine	thine	po21	thine	thy	0
house	house	n1	house	house	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
mee	mee	pno11	me	i	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
hauing	hauing	vhg	having	have	0
manu	manu	fw-la	manu	manu	0
∣	∣	sy	∣	∣	0
mission	mission	n1	mission	mission	0
and	and	cc	and	and	0
freedome	freedome	n1	freedom	freedom	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Society	Society	n1	Society	society	0
,	,	,	,	,	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
directed	directed	vvn	directed	direct	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
how	how	q-crq	how	how	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
mee	mee	pno11	me	i	0
followed	followed	vvn	followed	follow	0
?	?	?	?	?	1
Now	Now	av	Now	now	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
me	me	pno11	me	i	0
building	building	n1	building	building	0
me	me	pno11	me	i	0
thinks	thinks	vvz	thinks	think	0
I	I	pns11	I	i	0
heare	heare	vvb	hear	hear	0
you	you	pn22	you	you	0
questioning	questioning	vvg	questioning	question	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
my	my	po11	my	my	0
worke	worke	n1	work	work	0
be	be	vbb	be	be	0
well	well	av	well	well	0
prepared	prepared	vvn	prepared	prepare	0
,	,	,	,	,	0
and	and	cc	and	and	0
fitted	fitted	vvn	fitted	fit	0
before	before	p-acp	before	before	0
hand	hand	n1	hand	hand	0
?	?	?	?	?	1
Yea	Yea	uh	Yea	yea	0
,	,	,	,	,	0
or	or	cc	or	or	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
well	well	av	well	well	0
prepared	prepared	vvn	prepared	prepare	0
,	,	,	,	,	0
and	and	cc	and	and	0
fitted	fitted	vvn	fitted	fit	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
?	?	?	?	?	1
First	First	ord	First	first	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
answer	answer	vvb	answer	answer	0
(	(	(	(	(	0
and	and	cc	and	and	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
continue	continue	vvi	continue	continue	0
answe	answe	n1	answer	answer	0
∣	∣	sy	∣	∣	0
ring	ring	vvb	ring	ring	0
yet	yet	av	yet	yet	0
a	a	dt	a	a	0
while	while	n1	while	while	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
I	I	pns11	I	i	0
left	left	vvn	left	leave	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
reporteth	reporteth	vvz	reporteth	report	0
Pericles	Pericles	np1	Pericles	Pericles	0
and	and	cc	and	and	0
Demosthenes	Demosthenes	np1	Demosthenes	Demosthenes	0
vsed	vsed	vvd	used	use	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
in	in	p-acp	in	in	0
sleighter	sleighter	jc	sleighter	slight	0
cases	cases	n2	cases	case	0
,	,	,	,	,	0
,	,	,	,	,	0
