RIght	RIght	av-jn	RIght	right	0
ancient	ancient	j	ancient	ancient	0
Professour	Professour	n1	Professor	professor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Trueth	Trueth	n1	Truth	truth	0
,	,	,	,	,	0
Long	Long	j	Long	long	0
time	time	n1	time	time	0
before	before	p-acp	before	before	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
cōmon	cōmon	j	common	common	0
sight	sight	n1	sighed	sight	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
perilous	perilous	j	perilous	perilous	0
time	time	n1	time	time	0
thou	thou	pns21	thou	thou	0
passedst	passedst	js	passedst	passedst	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
sleuth	sleuth	n1	sleuth	sleuth	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
hardily	hardily	av-j	hardily	hardy	0
didst	didst	vdd2	didst	do	0
hazard	hazard	vvi	hazard	hazard	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
bring	bring	vvi	bring	bring	0
the	the	dt	the	the	0
Trueth	Trueth	n1	Truth	truth	0
to	to	p-acp	to	to	0
libertie	libertie	n1	liberty	liberty	0
and	and	cc	and	and	0
light	light	n1	light	light	0
.	.	.	.	.	1
Life	Life	n1	Life	life	0
,	,	,	,	,	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
geare	geare	n1	gear	gear	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
set	set	vvb	set	set	0
them	them	pno32	them	they	0
all	all	d	all	all	0
apart	apart	av	apart	apart	0
,	,	,	,	,	0
Of	Of	pp-f	Of	of	0
that	that	cst	that	that	0
true	true	j	true	true	0
Treasure	Treasure	n1	Treasure	treasure	0
so	so	av	so	so	0
joyfull	joyfull	j	joyful	joyful	0
was	was	vbds	was	be	0
thine	thine	po21	thine	thy	0
heart	heart	n1	heart	heart	0
.	.	.	.	.	1
Thine	Thine	po21	Thine	thy	0
house	house	n1	house	house	0
was	was	vbds	was	be	0
harbour	harbour	n1	harbour	harbour	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
that	that	cst	that	that	0
profest	profest	vvd	professed	profess	0
,	,	,	,	,	0
Thy	Thy	po21	Thy	thy	0
geare	geare	n1	gear	gear	0
was	was	vbds	was	be	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
need	need	n1	need	need	0
:	:	:	:	:	0
Aboue	Aboue	p-acp	Above	above	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
thou	thou	pns21	thou	thou	0
loued	loued	vvn	loved	love	0
thy	thy	po21	thy	thy	0
brethren	brethren	n2	brothers	brethren	0
best	best	js	best	best	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
thy	thy	po21	thy	thy	0
own	own	d	own	own	0
flesh	flesh	n1	flesh	flesh	0
thou	thou	pns21	thou	thou	0
didst	didst	vdd2	didst	do	0
them	them	dt	them	the	0
cloath	cloath	n1	cloth	cloth	0
&	&	cc	&	and	0
feed	feed	vvi	feed	feed	0
:	:	:	:	:	0
Not	Not	xx	Not	not	0
naked	naked	j	naked	naked	0
loue	loue	n1	love	love	0
in	in	p-acp	in	in	0
word	word	n1	word	word	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
loue	loue	vvb	love	love	0
indeed	indeed	av	indeed	indeed	0
:	:	:	:	:	0
VVhich	VVhich	r-crq	Which	which	0
loue	loue	n1	love	love	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
forget	forget	vvb	forget	forget	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
restore	restore	vvi	restore	restore	0
;	;	;	;	;	0
The	The	dt	The	the	0
more	more	av-dc	more	more	0
thou	thou	pns21	thou	thou	0
gaue	gaue	vvd	gave	give	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
gaue	gaue	vvd	gave	give	0
thee	thee	pno21	thee	thou	0
aye	aye	av	aye	aye	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
And	And	cc	And	and	0
whē	whē	c-crq	when	when	0
it	it	pn31	it	it	0
pleasde	pleasde	vvd	pleased	please	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
bring	bring	vvi	bring	bring	0
his	his	po31	his	his	0
Trueth	Trueth	n1	Truth	truth	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
and	and	cc	and	and	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
And	And	cc	And	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
proud	proud	j	proud	proud	0
Papistes	Papistes	njp2	Papists	papist	0
to	to	pc-acp	to	to	0
deface	deface	vvi	deface	deface	0
,	,	,	,	,	0
And	And	cc	And	and	0
them	them	pno32	them	they	0
ouerthrow	ouerthrow	vvi	overthrow	overthrow	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Idolatrie	Idolatrie	n1	Idolatry	idolatry	0
:	:	:	:	:	0
Then	Then	av	Then	then	0
did	did	vdd	did	do	0
hee	hee	pns31	he	he	0
call	call	vvi	call	call	0
thee	thee	pno21	thee	thou	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
dignitie	dignitie	n1	dignity	dignity	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
plant	plant	vvi	plant	plant	0
his	his	po31	his	his	0
Kirke	Kirke	n1	Kirk	church	0
in	in	p-acp	in	in	0
Gowrie	Gowrie	np1	Gowrie	Gowrie	0
,	,	,	,	,	0
Mernes	Mernes	np1	Mernes	Mernes	0
,	,	,	,	,	0
and	and	cc	and	and	0
Angus	Angus	np1	Angus	Angus	0
,	,	,	,	,	0
VVhich	VVhich	r-crq	Which	which	0
prudently	prudently	av-j	prudently	prudent	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
planted	planted	vvn	planted	plant	0
among	among	p-acp	among	among	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
And	And	cc	And	and	0
hast	hast	vh2	hast	have	0
the	the	dt	the	the	0
same	same	d	same	same	0
oft	oft	av	oft	oft	0
watered	watered	vvn	watered	water	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
word	word	n1	word	word	0
,	,	,	,	,	0
Perswading	Perswading	vvg	Persuading	persuade	0
euer	euer	av	ever	ever	0
to	to	p-acp	to	to	0
perseuerance	perseuerance	n1	perseverance	perseverance	0
:	:	:	:	:	0
And	And	cc	And	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
faint	faint	vvi	faint	faint	0
for	for	p-acp	for	for	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
Fire	Fire	n1	Fire	fire	0
or	or	cc	or	or	0
Sword	Sword	n1	Sword	sword	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
bee	bee	vbi	be	be	0
enarmed	enarmed	vvn	enarm	enarm	0
with	with	p-acp	with	with	0
Faith	Faith	n1	Faith	faith	0
and	and	cc	and	and	0
patience	patience	n1	patience	patience	0
,	,	,	,	,	0
Builded	Builded	vvn	Built	build	0
on	on	p-acp	on	on	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
Rocke	Rocke	n1	Rock	rock	0
of	of	pp-f	of	of	0
sure	sure	j	sure	sure	0
defence	defence	n1	defence	defence	0
,	,	,	,	,	0
Thus	Thus	av	Thus	thus	0
thou	thou	pns21	thou	thou	0
ceast	ceast	vvd	ceased	cease	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
traueilledst	traueilledst	vvd2	traueilledst	traueilledst	0
faithfully	faithfully	av-j	faithfully	faithful	0
,	,	,	,	,	0
Till	Till	c-acp	Till	till	0
infirme	infirme	j	infirm	infirm	0
age	age	n1	age	age	0
perforce	perforce	av	perforce	perforce	0
constrained	constrained	vvn	constrained	constrain	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
