Worshipful	Worshipful	j	Worshipful	worshipful	0
,	,	,	,	,	0
Reverend	Reverend	n-jn	Reverend	reverend	0
,	,	,	,	,	0
and	and	cc	and	and	0
dearly	dearly	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
;	;	;	;	;	0
PAuls	PAuls	npg1	PAuls	pauls	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
known	known	vvn	known	know	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
Christ	Christ	np1	Christ	Christ	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Corinths	Corinths	n2	Corinths	corinth	0
,	,	,	,	,	0
his	his	po31	his	his	0
Travail	Travail	n1	Travail	travail	0
until	until	c-acp	until	until	0
Christ	Christ	np1	Christ	Christ	0
was	was	vbds	was	be	0
formed	formed	vvn	formed	form	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Galatians	Galatians	njp2	Galatians	galatian	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
like	like	j	like	like	0
speech	speech	n1	speech	speech	0
∣	∣	sy	∣	∣	0
es	es	fw-mi	es	es	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
breathed	breathed	vvd	breathed	breathe	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
What	What	r-crq	What	what	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
else	else	av	else	else	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
effects	effects	n2	effects	effect	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Savior-like	Savior-like	j	Savior-like	savior-like	0
disposition	disposition	n1	disposition	disposition	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
still	still	av	still	still	0
inspires	inspires	vvz	inspires	inspire	0
the	the	dt	the	the	0
Instrumental	Instrumental	j	Instrumental	instrumental	0
Saviours	Saviours	ng1	Saviours	saviour	0
of	of	pp-f	of	of	0
Mount	Mount	n1	Mount	mount	0
Sion	Sion	np1	Sion	Zion	0
?	?	?	?	?	0
.	.	.	.	.	1
This	This	d	This	this	0
Ministerial	Ministerial	j	Ministerial	ministerial	0
Spirit	Spirit	n1	Spirit	spirit	0
rested	rested	vvd	rested	rest	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
upon	upon	p-acp	upon	upon	0
that	that	cst	that	that	0
great	great	j	great	great	0
Doctor	Doctor	n1	Doctor	doctor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gentiles	Gentiles	n2-j	Gentiles	gentile	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
rests	rests	vvz	rests	rest	0
,	,	,	,	,	0
and	and	cc	and	and	0
acts	acts	n2	acts	act	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
spel	spel	n1	spell	spell	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
and	and	cc	and	and	0
compleating	compleating	vvg	completing	complete	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Elect	Elect	j-vvn	Elect	elect	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
we	we	pns12	we	we	0
all	all	d	all	all	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
man	man	n1	man	man	0
.	.	.	.	.	1
So	So	av	So	so	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
vigorous	vigorous	j	vigorous	vigorous	0
