Dread	Dread	j	Dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
following	following	j-vvg	following	follow	0
Sheets	Sheets	n2	Sheets	sheet	0
were	were	vbdr	were	be	0
written	written	vvn	written	write	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Death	Death	n1	Death	death	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Royal	Royal	j	Royal	royal	0
Brother	Brother	n1	Brother	brother	0
King	King	n1	King	king	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
Second	Second	ord	Second	second	0
,	,	,	,	,	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
Blessed	Blessed	j-vvn	Blessed	bless	0
Memory	Memory	n1	Memory	memory	0
)	)	)	)	)	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
sign	sign	vvb	sign	sign	0
then	then	av	then	then	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
several	several	j	several	several	0
Jews	Jews	np2	Jews	Jew	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
His	His	po31	His	his	0
Majesty	Majesty	n1	Majesty	majesty	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
Graciously	Graciously	av-j	Graciously	gracious	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
Grant	Grant	vvi	Grant	grant	0
Letters	Letters	n2	Letters	letter	0
Patents	Patents	n2	Patents	patent	0
of	of	pp-f	of	of	0
Denization	Denization	np1	Denization	Denization	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Clause	Clause	n1	Clause	clause	0
inserted	inserted	vvn	inserted	insert	0
,	,	,	,	,	0
That	That	cst	That	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
pay	pay	vvi	pay	pay	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
Custom	Custom	n1	Custom	custom	0
than	than	cs	than	than	0
English	English	np1	English	English	0
,	,	,	,	,	0
(	(	(	(	(	0
non	non	fw-la	non	non	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
stante	stante	n-jn	stante	stante	0
the	the	dt	the	the	0
Statutes	Statutes	n2	Statutes	statute	0
,	,	,	,	,	0
)	)	)	)	)	0
Had	Had	vhd	Had	have	0
Owned	Owned	j-vvn	Owned	own	0
and	and	cc	and	and	0
Coloured	Coloured	j-vvn	Coloured	colour	0
the	the	dt	the	the	0
Goods	Goods	n2-j	Goods	good	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Jews	Jews	np2	Jews	Jew	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
such	such	d	such	such	0
a	a	dt	a	a	0
Clause	Clause	n1	Clause	clause	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Patents	Patents	n2	Patents	patent	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Jews	Jews	np2	Jews	Jew	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
Patents	Patents	n2	Patents	patent	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
;	;	;	;	;	0
By	By	p-acp	By	by	0
means	means	n2	means	mean	0
whereof	whereof	c-crq	whereof	whereof	0
their	their	po32	their	their	0
own	own	d	own	own	0
Pattents	Pattents	n2	Patents	patent	0
were	were	vbdr	were	be	0
at	at	p-acp	at	at	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Pleasure	Pleasure	n1	Pleasure	pleasure	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
preparing	preparing	vvg	preparing	prepare	0
Arguments	Arguments	n2	Arguments	argument	0
and	and	cc	and	and	0
Proofs	Proofs	n2	Proofs	proof	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
a	a	dt	a	a	0
period	period	n1	perjod	period	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
days	days	n2	days	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
Tonnage	Tonnage	n1	Tonnage	tonnage	0
and	and	cc	and	and	0
Poundage	Poundage	n1	Poundage	poundage	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
annexed	annexed	vvn	annexed	annex	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Granted	Granted	vvd	Granted	grant	0
the	the	dt	the	the	0
Alien	Alien	j	Alien	alien	0
or	or	cc	or	or	0
Petty	Petty	j	Petty	petty	0
Custom	Custom	n1	Custom	custom	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ceived	ceived	vvn	ceived	ceive	0
also	also	av	also	also	0
there	there	a-acp	there	there	0
by	by	p-acp	by	by	0
its	its	po31	its	its	0
determination	determination	n1	determination	determination	0
.	.	.	.	.	1
A	A	dt	A	a	0
few	few	d	few	few	0
days	days	n2	days	day	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
Excellent	Excellent	j	Excellent	excellent	0
Majesty	Majesty	n1	Majesty	majesty	0
sending	sending	vvg	sending	send	0
forth	forth	av	forth	forth	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Proclamation	Proclamation	n1	Proclamation	proclamation	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
continuation	continuation	n1	continuation	continuation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Receipt	Receipt	n1	Receipt	receipt	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Customs	Customs	n2	Customs	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
declaring	declaring	vvg	declaring	declare	0
Your	Your	po22	Your	your	0
speedy	speedy	j	speedy	speedy	0
calling	calling	n-vvg	calling	call	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Parliament	Parliament	n1	Parliament	parliament	0
;	;	;	;	;	0
I	I	pns11	I	i	0
forbore	forbore	vvd	forbore	forbear	0
the	the	dt	the	the	0
exposing	exposing	vvg	exposing	expose	0
my	my	po11	my	my	0
Sentiments	Sentiments	n2	Sentiments	sentiment	0
to	to	p-acp	to	to	0
publick	publick	j	public	public	0
view	view	n1	view	view	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
God	God	np1	God	God	0
should	should	vmd	should	shall	0
permit	permit	vvi	permit	permit	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
meeting	meeting	n1	meeting	meeting	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
,	,	,	,	,	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
most	most	av-ds	most	most	0
Happily	Happily	av-j	Happily	happy	0
Accomplished	Accomplished	vvn	Accomplished	accomplish	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
Tonnage	Tonnage	n1	Tonnage	tonnage	0
and	and	cc	and	and	0
Poundage	Poundage	n1	Poundage	poundage	0
