KInde	KInde	j	Kind	kind	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
men	men	n2	men	man	0
offering	offering	vvg	offering	offer	0
to	to	pc-acp	to	to	0
snuffe	snuffe	vvi	snuff	snuff	0
a	a	dt	a	a	0
candle	candle	n1	candle	candle	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
against	against	p-acp	against	against	0
their	their	po32	their	their	0
wills	wills	n2	wills	will	0
put	put	vvd	put	put	0
it	it	pn31	it	it	0
cleane	cleane	av-j	clean	clean	0
out	out	av	out	out	0
;	;	;	;	;	0
and	and	cc	and	and	0
an	an	dt	and	a	0
vnskilfull	vnskilfull	j	unskilful	unskilful	0
Chyrurgian	Chyrurgian	n1	Chyrurgian	surgeon	0
taking	taking	vvg	taking	take	0
a	a	dt	a	a	0
small	small	j	small	small	0
greene	greene	j-jn	green	green	0
wound	wound	n1	wound	wound	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
old	old	j	old	old	0
Vlcer	Vlcer	n1	Ulcer	ulcer	0
.	.	.	.	.	1
I	I	pns11	I	i	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
loth	loth	j	loath	loath	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
imitate	imitate	vvi	imitate	imitate	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
examples	examples	n2	examples	example	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
intent	intent	n1	intent	intent	0
is	is	vbz	is	be	0
,	,	,	,	,	0
confession	confession	n1	confession	confession	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wrong	wrong	n-jn	wrong	wrong	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deauour	deauour	vvb	deauour	deauour	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
amends	amends	n2	amends	amends	0
.	.	.	.	.	1
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
confesse	confesse	vvi	confess	confess	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
you	you	pn22	you	you	0
wrong	wrong	vvi	wrong	wrong	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Trauels	Trauels	n2	Travels	travel	0
to	to	p-acp	to	to	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
publike	publike	j	public	public	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
so	so	av	so	so	0
much	much	d	much	much	0
good	good	j	good	good	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
double	double	j-jn	double	double	0
sorry	sorry	j	sorry	sorry	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
so	so	av	so	so	0
mistaken	mistaken	vvn	mistaken	mistake	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
so	so	av	so	so	0
long	long	j	long	long	0
time	time	n1	time	time	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
printed	printed	vvn	printed	print	0
my	my	po11	my	my	0
recan	recan	n1	recan	recan	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
your	your	po22	your	your	0
Tapsters	Tapsters	ng1	Tapsters	tapster	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
wit	wit	n1	wit	wit	0
and	and	cc	and	and	0
manners	manners	n2	manners	manner	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
discre	discre	n1	discre	discre	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
grounds	grounds	n2	grounds	ground	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
too	too	av	too	too	0
much	much	d	much	much	0
credulity	credulity	n1	credulity	credulity	0
and	and	cc	and	and	0
temerity	temerity	n1	temerity	temerity	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
his	his	po31	his	his	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
him	him	pno31	him	he	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
harme	harme	n1	harm	harm	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
chalke	chalke	n1	chalk	chalk	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
his	his	po31	his	his	0
best	best	js	best	best	0
payments	payments	n2	payments	payment	0
,	,	,	,	,	0
Thun	Thun	vvi	Thun	thun	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
may	may	vmb	may	may	0
sowre	sowre	j	sour	sour	0
his	his	po31	his	his	0
Hogsheads	Hogsheads	n2	Hogsheads	hogshead	0
,	,	,	,	,	0
Rats	Rats	n2	Rats	rat	0
gnaw	gnaw	vvb	gnaw	gnaw	0
out	out	av	out	out	0
his	his	po31	his	his	0
spigots	spigots	n2	spigots	spigot	0
at	at	p-acp	at	at	0
midnight	midnight	n1	midnight	midnight	0
,	,	,	,	,	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
commit	commit	vvi	commit	commit	0
his	his	po31	his	his	0
wit	wit	n1	wit	wit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
keeping	keeping	n-vvg	keeping	keep	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
foole	foole	n1	fool	fool	0
or	or	cc	or	or	0
a	a	dt	a	a	0
knaue	knaue	n1	knave	knave	0
while	while	cs	while	while	0
hee	hee	pns31	he	he	0
liues	liues	vvz	lives	live	0
;	;	;	;	;	0
And	And	cc	And	and	0
your	your	po22	your	your	0
Ostlers	Ostlers	n2	Ostlers	ostler	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
gaping	gaping	vvg	gaping	gape	0
so	so	av	so	so	0
greedily	greedily	av-j	greedily	greedy	0
like	like	j	like	like	0
Gudgeons	Gudgeons	n2	Gudgeons	gudgeon	0
vpon	vpon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
euery	euery	d	every	every	0
day	day	n1	day	day	0
mourne	mourne	vvi	mourn	mourn	0
in	in	p-acp	in	in	0
litter	litter	n1	litter	litter	0
and	and	cc	and	and	0
horse	horse	n1	horse	horse	0
dung	dung	n1	dung	dung	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
these	these	d	these	these	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
Iests	Iests	n2	Jests	jest	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
as	as	c-acp	as	as	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
told	told	vvn	told	tell	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
,	,	,	,	,	0
my	my	po11	my	my	0
entertainement	entertainement	n1	entertainment	entertainment	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
better	better	jc	better	better	0
.	.	.	.	.	1
If	If	cs	If	if	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
so	so	av	so	so	0
,	,	,	,	,	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
owed	owed	vvd	owed	owe	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
could	could	vmd	could	can	0
haue	haue	vhi	have	have	0
required	required	vvn	required	require	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
stretched	stretched	vvn	stretched	stretch	0
my	my	po11	my	my	0
wit	wit	n1	wit	wit	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
tenters	tenters	n2	tenters	tenter	0
of	of	pp-f	of	of	0
Inuention	Inuention	n1	Invention	invention	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
prayse	prayse	n1	praise	praise	0
of	of	pp-f	of	of	0
Innes	Innes	np1	Innes	Innes	0
and	and	cc	and	and	0
Inne-keepers	Inne-keepers	n2	Innkeepers	innkeeper	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
put	put	vvn	put	put	0
the	the	dt	the	the	0
forgetfull	forgetfull	j	forgetful	forgetful	0
world	world	n1	world	world	0
in	in	p-acp	in	in	0
minde	minde	n1	mind	mind	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
seruice	seruice	n1	service	service	0
that	that	cst	that	that	0
Rahab	Rahab	np1	Rahab	Rahab	0
the	the	dt	the	the	0
Innekeeper	Innekeeper	n1	Innkeeper	innkeeper	0
did	did	vdd	did	do	0
at	at	p-acp	at	at	0
Iericho	Iericho	np1	Iericho	Iericho	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
hiding	hiding	vvg	hiding	hide	0
and	and	cc	and	and	0
preseruing	preseruing	vvg	preserving	preserve	0
the	the	dt	the	the	0
spyes	spyes	n2	spies	spy	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
Caleb	Caleb	np1	Caleb	Caleb	0
and	and	cc	and	and	0
Ioshua	Ioshua	np1	Ioshua	Joshua	0
;	;	;	;	;	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
made	made	vvn	made	make	0
the	the	dt	the	the	0
obliuious	obliuious	j	oblivious	oblivious	0
logger-headed	logger-headed	j	loggerheaded	loggerheaded	0
Age	Age	n1	Age	age	0
remember	remember	vvi	remember	remember	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Redeemor	Redeemor	n1	Redeemor	redeemor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
did	did	vdd	did	do	0
grace	grace	vvi	grace	grace	0
in	in	p-acp	in	in	0
Inne	Inne	n1	Inn	inn	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
birth	birth	n1	birth	birth	0
:	:	:	:	:	0
What	What	q-crq	What	what	0
place	place	n1	place	place	0
then	then	av	then	then	0
but	but	p-acp	but	but	0
an	an	dt	and	a	0
Inne	Inne	n1	Inn	inn	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
High	High	j	High	high	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
and	and	cc	and	and	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
the	the	dt	the	the	0
residence	residence	n1	residence	residence	0
and	and	cc	and	and	0
lodging	lodging	n1	lodging	lodging	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
immortall	immortall	j	immortal	immortal	0
King	King	n1	King	king	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
neuer	neuer	av-x	never	never	0
∣	∣	sy	∣	∣	0
ending	ending	vvg	ending	end	0
eternity	eternity	n1	eternity	eternity	0
?	?	?	?	?	1
This	This	np1	This	This	0
