TO	TO	p-acp	TO	to	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Lady	Lady	n1	Lady	lady	0
Dethick	Dethick	np1	Dethick	Dethick	0
,	,	,	,	,	0
Lady	Lady	n1	Lady	lady	0
Mayorels	Mayorels	n2	Mayorels	mayorel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
Ancient	Ancient	j	Ancient	ancient	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Renowned	Renowned	j-vvn	Renowned	renown	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ladies	Ladies	n2	Ladies	lady	0
Tenson	Tenson	np1	Tenson	Tenson	0
,	,	,	,	,	0
and	and	cc	and	and	0
Frederick	Frederick	np1	Frederick	Frederick	0
,	,	,	,	,	0
the	the	dt	the	the	0
Wives	Wives	n2	Wives	wife	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
VVorshipful	VVorshipful	j	Worshipful	worshipful	0
Sheriffs	Sheriffs	n2	Sheriffs	sheriff	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
afore	afore	a-acp	afore	afore	0
∣	∣	sy	∣	∣	0
said	said	zz	said	said	0
City	City	n1	City	city	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
