RIGHT	RIGHT	np1	RIGHT	Right	0
HON	HON	np1	HON	Hon	0
:	:	:	:	:	0
HE	HE	pns31	HE	he	0
wrongs	wrongs	vvz	wrongs	wrong	0
not	not	xx	not	not	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
that	that	cst	that	that	0
speaks	speaks	vvz	speaks	speak	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Poe	Poe	zz	Poe	poe	0
∣	∣	sy	∣	∣	0
ticall	ticall	j	ticall	ticall	0
straine	straine	n1	strain	strain	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
calls	calls	vvz	calls	call	0
it	it	pn31	it	it	0
iron	iron	n1	iron	iron	0
one	one	crd	one	one	0
;	;	;	;	;	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spirits	spirits	ng1	spirits	spirit	0
aguage	aguage	n1	aguage	aguage	0
and	and	cc	and	and	0
so	so	av	so	so	0
calls	calls	vvz	calls	call	0
it	it	pn31	it	it	0
an	an	dt	and	a	0
amantine	amantine	j	amantine	amantine	0
,	,	,	,	,	0
or	or	cc	or	or	0
self-loving	self-loving	j	self-loving	self-loving	0
one	one	pi	one	one	0
ly	ly	vvb	lie	lie	0
tis	tis	pn31|vbz	this	it|be	0
sad	sad	j	sad	sad	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
men	men	n2	men	man	0
write	write	vvb	write	write	0
themselves	themselves	px32	themselves	themselves	0
(	(	(	(	(	0
too	too	av	too	too	0
too	too	av	too	too	0
gibly	gibly	av-j	gibly	gible	0
)	)	)	)	)	0
lovers	lovers	n2	lovers	lover	0
of	of	pp-f	of	of	0
themselves	themselves	px32	themselves	themselves	0
and	and	cc	and	and	0
how	how	q-crq	how	how	0
men	men	n2	men	man	0
speake	speake	vvb	speak	speak	0
the	the	dt	the	the	0
selves	selves	n2	selves	self	0
rockes	rockes	n2	rocks	rock	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
p	p	zz	p	p	0
∣	∣	sy	∣	∣	0
ctise	ctise	n1	ctise	ctise	0
:	:	:	:	:	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
much	much	d	much	much	0
fighti	fighti	n1	fighti	fighti	0
but	but	cc-acp	but	but	0
little	little	av-j	little	little	0
sighing	sighing	vvg	sighing	sigh	0
;	;	;	;	;	0
m	m	crd	m	m	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
little	little	av-j	little	little	0
bleed	bleed	vvi	bleed	bleed	0
Nay	Nay	uh	Nay	nay	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
an	an	dt	and	a	0
outcast	outcast	n1	outcast	outcast	0
still	still	av	still	still	0
with	with	p-acp	with	with	0
mo	mo	dc	more	more	0
Who	Who	r-crq	Who	who	0
seekes	seekes	vvz	seeks	seek	0
after	after	p-acp	after	after	0
her	her	pno31	her	she	0
?	?	?	?	?	1
W	W	j	W	wonderful	0
is	is	vbz	is	be	0
sorry	sorry	j	sorry	sorry	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
her	her	po31	her	her	0
cryes	cryes	n2	cries	cry	0
,	,	,	,	,	0
see	see	vvb	see	see	0
the	the	dt	the	the	0
throes	throes	n2	throes	throe	0
,	,	,	,	,	0
and	and	cc	and	and	0
pangs	pangs	n2	pangs	pang	0
,	,	,	,	,	0
be	be	vbb	be	be	0
upon	upon	p-acp	upon	upon	0
her	her	pno31	her	she	0
?	?	?	?	?	1
The	The	dt	The	the	0
heart	heart	n1	heart	heart	0
men	men	n2	men	man	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
are	are	vbr	are	be	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
against	against	p-acp	against	against	0
her	her	pno31	her	she	0
,	,	,	,	,	0
whilst	whilst	cs	while	while	0
sh	sh	pns31	sh	she	0
in	in	p-acp	in	in	0
travail	travail	n1	travail	travail	0
,	,	,	,	,	0
whilst	whilst	cs	while	while	0
shee	shee	pns31	she	she	0
p	p	zz	p	p	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
is	is	vbz	is	be	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
Reve.	Reve.	np1	Reve.	Reve.	1
12.2	12.2	crd	12.2	12.2	0
Filius	Filius	fw-la	Filius	filius	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
sculus	sculus	fw-la	sculus	sculus	0
,	,	,	,	,	0
a	a	dt	a	a	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
even	even	av	even	even	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
here	here	av	here	here	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
wonder	wonder	n1	wonder	wonder	0
.	.	.	.	.	0
and	and	cc	and	and	0
sin	sin	n1	since	sin	0
;	;	;	;	;	0
injoy	injoy	vvb	enjoy	enjoy	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
truth	truth	n1	truth	truth	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
even	even	av	even	even	0
a	a	dt	a	a	0
blessed	blessed	j-vvn	blessed	bless	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
named	named	vvn	nam	name	0
(	(	(	(	(	0
a	a	dt	a	a	0
male	male	j-jn	male	male	0
man	man	n1	man	man	0
childe	childe	n1	child	child	0
)	)	)	)	)	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
birth	birth	n1	birth	birth	0
all	all	d	all	all	0
the	the	dt	the	the	0
members	members	n2	members	member	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
may	may	vmb	may	may	0
greatly	greatly	av-j	greatly	great	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ce	ce	fw-fr	ce	ce	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
is	is	vbz	is	be	0
rne	rne	vvn	rne	rne	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
at	at	p-acp	at	at	0
do	do	n1	doe	do	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
?	?	?	?	?	0
me	me	pns11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
these	these	d	these	these	0
urne	urne	n1	urn	urn	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
sparingly	sparingly	av-vvg	sparingly	spare	0
,	,	,	,	,	0
weakly	weakly	av-j	weakly	weak	0
,	,	,	,	,	0
dry	dry	j	dry	dry	0
∣	∣	sy	∣	∣	0
and	and	cc	and	and	0
too	too	av	too	too	0
too	too	av	too	too	0
carnally	carnally	av-j	carnally	carnal	0
,	,	,	,	,	0
that	that	cst	that	that	0
ies	ies	vvz	ies	ie	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
mix	mix	vvi	mix	mix	0
∣	∣	sy	∣	∣	0
e	e	sy	e	e	0
of	of	pp-f	of	of	0
dust	dust	n1	dust	dust	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
outward	outward	j	outward	outward	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
strong	strong	j	strong	strong	0
faith	faith	n1	faith	faith	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cious	cious	j	cious	cious	0
promises	promises	n2	promises	promise	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
their	their	po32	their	their	0
God	God	n1	God	god	0
:	:	:	:	:	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
I	I	pns11	I	i	0
uld	uld	vmd	uld	uld	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
Saints	Saints	n2	Saints	saint	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
too	too	av	too	too	0
too	too	av	too	too	0
ch	ch	vvn	changed	change	0
,	,	,	,	,	0
guilty	guilty	j	guilty	guilty	0
of	of	pp-f	of	of	0
mourning	mourning	n1	mourning	mourning	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
ground	ground	n1	ground	ground	0
and	and	cc	and	and	0
hout	hout	n1	hout	hout	0
hope	hope	vvb	hope	hope	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
trying	trying	vvg	trying	try	0
:	:	:	:	:	0
sometimes	sometimes	av	sometime	sometime	0
we	we	pns12	we	we	0
appre	appre	vvi	appre	appre	0
∣	∣	sy	∣	∣	0
nd	nd	cc	and	and	0
sin	sin	n1	since	sin	0
under	under	p-acp	under	under	0
such	such	d	such	such	0
a	a	dt	a	a	0
colou	colou	fw-fr	colou	colou	0
∣	∣	sy	∣	∣	0
le	le	zz	le	le	0
notion	notion	n1	notion	notion	0
,	,	,	,	,	0
