PArdon	PArdon	n1	PArdon	pardon	0
,	,	,	,	,	0
Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
the	the	dt	the	the	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pellation	pellation	n1	pellation	pellation	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Aenead	Aenead	np1	Aenead	Aenead	0
(	(	(	(	(	0
some	some	d	some	some	0
will	will	vmb	will	will	0
think	think	vvi	think	think	0
of	of	pp-f	of	of	0
flattery	flattery	n1	flattery	flattery	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
manifestly	manifestly	av-j	manifestly	manifest	0
,	,	,	,	,	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Serene	Serene	np1	Serene	Serena	0
Highnesse	Highnesse	n1	Highness	highness	0
his	his	po31	his	his	0
Birth-Right	Birth-Right	j	Birthright	birthright	0
,	,	,	,	,	0
and	and	cc	and	and	0
plain	plain	j	plain	plain	0
prophetick	prophetick	j	prophetic	prophetic	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Third	Third	ord	Third	three	0
Tran	Tran	np1	Tran	Tran	0
∣	∣	sy	∣	∣	0
scend	scend	vvi	scend	scend	0
.	.	.	.	.	1
Ascent	Ascent	n1	Ascent	ascent	0
,	,	,	,	,	0
p.	p.	n1	p.	p.	0
271.	271.	crd	271.	271.	0
as	as	p-acp	as	as	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
more	more	av-dc	more	more	0
clearly	clearly	av-j	clearly	clear	0
to	to	pc-acp	to	to	0
appear	appear	vvi	appear	appear	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Parallels	Parallels	n2	Parallels	parallel	0
,	,	,	,	,	0
that	that	cst	that	that	0
treat	treat	vvb	treat	treat	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
happy	happy	j	happy	happy	0
Promotion	Promotion	n1	Promotion	promotion	0
and	and	cc	and	and	0
Succession	Succession	n1	Succession	succession	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
now	now	av	now	now	0
sit	sit	vvi	fit	sit	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
imputation	imputation	n1	imputation	imputation	0
of	of	pp-f	of	of	0
flattery	flattery	n1	flattery	flattery	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
known	known	vvn	known	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ever	ever	av	ever	ever	0
so	so	av	so	so	0
much	much	av-d	much	much	0
abhorred	abhorred	vvn	abhorred	abhor	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
that	that	d	that	that	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
subtile	subtile	j	subtle	subtle	0
Artists	Artists	n2	Artists	artist	0
of	of	pp-f	of	of	0
Fortune	Fortune	n1	Fortune	fortune	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
make	make	vvb	make	make	0
a	a	dt	a	a	0
Trade	Trade	n1	Trade	trade	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
whilst	whilst	cs	while	while	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
conversant	conversant	j	conversant	conversant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
great	great	j	great	great	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
particu	particu	fw-la	particu	particu	0
∣	∣	sy	∣	∣	0
larly	larly	j	larly	larly	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
alwayes	alwayes	av	always	always	0
most	most	av-ds	most	most	0
se	se	vvi	see	see	0
∣	∣	sy	∣	∣	0
verely	verely	av-j	verily	very	0
taxt	taxt	vvn	taxed	tax	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
too	too	av	too	too	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
extreme	extreme	j-jn	extreme	extreme	0
:	:	:	:	:	0
much	much	d	much	much	0
lesse	lesse	dc	less	less	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
now	now	av	now	now	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Serene	Serene	np1	Serene	Serena	0
Highnesse	Highnesse	n1	Highness	highness	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
known	known	vvn	known	know	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
so	so	av	so	so	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Renown	Renown	n1	Renown	renown	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
better	better	av-jc	better	better	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
enemy	enemy	n1	enemy	enemy	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
open	open	j	open	open	0
field	field	n1	field	field	0
,	,	,	,	,	0
than	than	cs	than	than	0
a	a	dt	a	a	0
flattering	flattering	j-vvg	flattering	flatter	0
friend	friend	n1	friend	friend	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Privy	Privy	j	Privy	privy	0
Chamber	Chamber	n1	Chamber	chamber	0
.	.	.	.	.	1
Insomuch	Insomuch	av	Insomuch	insomuch	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
afraid	afraid	j	afraid	afraid	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
your	your	po22	your	your	0
High	High	j	High	high	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
some	some	d	some	some	0
notorious	notorious	j	notorious	notorious	0
truths	truths	n2	truths	truth	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
all	all	d	all	all	0
we	we	pns12	we	we	0
your	your	po22	your	your	0
people	people	n1	people	people	0
,	,	,	,	,	0
look	look	vvb	look	look	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
second	second	ord	second	second	0
Joshua	Joshua	np1	Joshua	Joshua	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
second	second	ord	second	second	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
Courage	Courage	n1	Courage	courage	0
,	,	,	,	,	0
and	and	cc	and	and	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
successes	successes	n2	successes	success	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
likewise	likewise	av	likewise	likewise	0
most	most	av-ds	most	most	0
proportion	proportion	n1	proportion	proportion	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
to	to	p-acp	to	to	0
his	his	png31	his	he	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
Walls	Walls	n2	Walls	wall	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ci	Ci	crd	Ci	ci	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
fall	fall	vvi	fallen	fall	0
before	before	p-acp	before	before	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Gyants	Gyants	n2	Giants	giant	0
wax	wax	vvb	wax	wax	0
pale	pale	j	pale	pale	0
,	,	,	,	,	0
Rivers	Rivers	n2	Rivers	river	0
retire	retire	vvb	retire	retire	0
back	back	av	back	back	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
stand	stand	vvi	stand	stand	0
still	still	av	still	still	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
Kings	Kings	n2	Kings	king	0
will	will	vmb	will	will	0
undergoe	undergoe	vvi	undergo	undergo	0
your	your	po22	your	your	0
yoke	yoke	n1	yoke	yoke	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
afraid	afraid	j	afraid	afraid	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
we	we	pns12	we	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
your	your	po22	your	your	0
people	people	n1	people	people	0
,	,	,	,	,	0
are	are	vbr	are	be	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
employ'd	employ'd	vvd	employed	employ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
planting	planting	vvg	planting	plant	0
more	more	dc	more	more	0
Bayes	Bayes	n2	Baize	bay	0
,	,	,	,	,	0
and	and	cc	and	and	0
Laurel	Laurel	n1	Laurel	laurel	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Gardens	Gardens	n2	Gardens	garden	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
en-garland	en-garland	n1	en-garland	en-garland	0
your	your	po22	your	your	0
Victorious	Victorious	j	Victorious	victorious	0
browes	browes	n2	brows	brow	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Bat	Bat	n1	Bat	bat	0
∣	∣	sy	∣	∣	0
tle	tle	j	tle	tle	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
fine	fine	j	fine	fine	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
afraid	afraid	j	afraid	afraid	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
all	all	d	all	all	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
like	like	av-j	like	like	0
Roses	Roses	n2	Roses	rose	0
,	,	,	,	,	0
withered	withered	vvn	withered	wither	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
glorious	glorious	j	glorious	glorious	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
now	now	av	now	now	0
begin	begin	vvb	begin	begin	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gain	gain	vvb	gain	gain	0
to	to	pc-acp	to	to	0
bloom	bloom	vvi	bloom	bloom	0
afresh	afresh	av	afresh	afresh	0
,	,	,	,	,	0
and	and	cc	and	and	0
newly	newly	av-j	newly	new	0
to	to	pc-acp	to	to	0
open	open	vvi	open	open	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
benigne	benigne	j	benign	benign	0
,	,	,	,	,	0
gentle	gentle	j	gentle	gentle	0
,	,	,	,	,	0
&	&	cc	&	and	0
glorious	glorious	j	glorious	glorious	0
,	,	,	,	,	0
Princely	Princely	j	Princely	princely	0
Aspect	Aspect	n1	Aspect	aspect	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Serene	Serene	np1	Serene	Serena	0
Highnesse	Highnesse	n1	Highness	highness	0
:	:	:	:	:	0
No	No	uh-dx	No	no	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
your	your	po22	your	your	0
goodnesse	goodnesse	n1	goodness	goodness	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
a	a	dt	a	a	0
sacri	sacri	fw-la	sacri	sacri	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
precious	precious	j	precious	precious	0
time	time	n1	time	time	0
:	:	:	:	:	0
So	So	av	So	so	0
Ile	Ile	pns11|vmb	I'll	I|will	0
forbear	forbear	vvi	forbear	forbear	0
,	,	,	,	,	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
prosecute	prosecute	vvi	prosecute	prosecute	0
my	my	po11	my	my	0
petitions	petitions	n2	petitions	petition	0
for	for	p-acp	for	for	0
more	more	dc	more	more	0
pardons	pardons	n2	pardons	pardon	0
still	still	av	still	still	0
;	;	;	;	;	0
and	and	cc	and	and	0
Princes	Princes	n2	Princes	prince	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
first	first	ord	first	first	0
inaugurations	inaugurations	n2	inaugurations	inauguration	0
,	,	,	,	,	0
seldome	seldome	av	seldom	seldom	0
deny	deny	vvb	deny	deny	0
any	any	d	any	any	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
crimes	crimes	n2	crimes	crime	0
carry	carry	vvb	carry	carry	0
not	not	xx	not	not	0
some	some	d	some	some	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
atrocity	atrocity	n1	atrocity	atrocity	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
;	;	;	;	;	0
much	much	av-d	much	much	0
lesse	lesse	av-dc	less	less	0
can	can	vmb	can	can	0
