HIS	HIS	po31	HIS	his	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
having	having	vhg	having	have	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Grace	Grace	n1	Grace	grace	0
exemplary	exemplary	j	exemplary	exemplary	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
his	his	po31	his	his	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Naiion	Naiion	np1	Naiion	Naiion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
States	States	n2	States	state	0
,	,	,	,	,	0
(	(	(	(	(	0
however	however	c-acp	however	however	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
themselves	themselves	px32	themselves	themselves	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
Persuasion	Persuasion	n1	Persuasion	persuasion	0
)	)	)	)	)	0
design'd	design'd	vvd	designed	design	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
avowed	avowed	j-vvn	avowed	avow	0
Glory	Glory	n1	Glory	glory	0
and	and	cc	and	and	0
Stability	Stability	n1	Stability	stability	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Reign	Reign	vvi	Reign	reign	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
settle	settle	vvi	settle	settle	0
such	such	d	such	such	0
a	a	dt	a	a	0
Liberty	Liberty	n1	Liberty	liberty	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
free	free	j	free	free	0
discourses	discourses	n2	discourses	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
debates	debates	n2	debates	debate	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Truths	Truths	n2	Truths	truth	0
of	of	pp-f	of	of	0
Christian	Christian	np1	Christian	Christian	0
Reli	Reli	np1	Reli	Reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Dissents	Dissents	vvz	Dissents	dissent	0
of	of	pp-f	of	of	0
Christians	Christians	np1	Christians	Christians	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
,	,	,	,	,	0
so	so	av	so	so	0
proportionably	proportionably	av-j	proportionably	proportionable	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Press	Press	n1	Press	press	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
and	and	cc	and	and	0
Fautors	Fautors	n2	Fautors	fautor	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Church	Church	n1	Church	church	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
Catholick	Catholick	njp	Catholic	catholic	0
)	)	)	)	)	0
have	have	vhb	have	have	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ways	ways	n2	ways	way	0
(	(	(	(	(	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
