IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sake	sake	n1	sake	sake	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
and	and	cc	and	and	0
children	children	n2	children	child	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
sake	sake	n1	sake	sake	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
that	that	d	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lished	lished	vvd	lished	lish	0
this	this	d	this	this	0
little	little	j	little	little	0
book	book	n1	book	book	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
respect	respect	n1	respect	respect	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
leave	leave	vvi	leave	leave	0
a	a	dt	a	a	0
seed	seed	n1	seed	seed	0
to	to	pc-acp	to	to	0
bless	bless	vvi	bless	bless	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
glorifying	glorifying	vvg	glorifying	glorify	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
better	better	jc	better	better	0
world	world	n1	world	world	0
;	;	;	;	;	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
cost	cost	vvi	cost	cost	0
you	you	pn22	you	you	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
money	money	n1	money	money	0
to	to	pc-acp	to	to	0
buy	buy	vvi	buy	buy	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
children	children	n2	children	child	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
it	it	pn31	it	it	0
;	;	;	;	;	0
if	if	cs	if	if	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
able	able	j	able	able	0
,	,	,	,	,	0
do	do	vdb	do	do	0
give	give	vvi	give	give	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
children	children	n2	children	child	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
books	books	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
likewise	likewise	av	likewise	likewise	0
bestow	bestow	vvi	bestow	bestow	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
this	this	d	this	this	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
vantage	vantage	n1	vantage	vantage	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
;	;	;	;	;	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
ye	ye	pn22	you	you	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
your	your	po22	your	your	0
account	account	n1	account	account	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
loss	loss	n1	loss	loss	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
