THere	THere	a-acp	THere	there	0
came	came	vvd	came	come	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
vvor	vvor	n1	vvor	vvor	0
¦	¦	sy	¦	¦	0
shipfull	shipfull	j	shipfull	shipfull	0
)	)	)	)	)	0
a	a	dt	a	a	0
discours	discours	n1	discourse	discourse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seueral	seueral	j	several	several	0
&	&	cc	&	and	0
sundrye	sundrye	j	sundry	sundry	0
customes	customes	n2	customs	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
manners	manners	n2	manners	manner	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
founde	founde	vvn	found	find	0
to	to	pc-acp	to	to	0
inhabite	inhabite	vvi	inhabit	inhabit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
North	North	n1	North	north	0
East	East	n1	East	east	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
East	East	n1	East	east	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Collected	Collected	vvn	Collected	collect	0
and	and	cc	and	and	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
learned	learned	j	learned	learned	0
man	man	n1	man	man	0
called	called	vvn	called	call	0
Francisco	Francisco	np1	Francisco	Francisco	0
Tha	Tha	d	Than	that	0
∣	∣	sy	∣	∣	0
mara	mara	fw-mi	mara	mara	0
,	,	,	,	,	0
a	a	dt	a	a	0
reader	reader	n1	reader	reader	0
in	in	p-acp	in	in	0
Spayne	Spayne	np1	Spayne	Spain	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
,	,	,	,	,	0
and	and	cc	and	and	0
dedicated	dedicated	vvn	dedicated	dedicate	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Lorde	Lorde	n1	Lord	lord	0
,	,	,	,	,	0
Don	Don	n1	DONE	don	0
Iohn	Iohn	np1	Iohn	John	0
Claros	Claros	np1	Claros	Claros	0
de	de	fw-fr	de	de	0
Guzman	Guzman	np1	Guzman	Guzman	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Niebla	Niebla	np1	Niebla	Niebla	0
,	,	,	,	,	0
and	and	cc	and	and	0
inheriter	inheriter	fw-la	inheriter	inheriter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
duke	duke	n1	duke	duke	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
and	and	cc	and	and	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
Medina	Medina	np1	Medina	Medina	0
Cido	Cido	uh	Cido	cido	0
∣	∣	sy	∣	∣	0
nia	nia	n1	niam	niam	0
:	:	:	:	:	0
And	And	cc	And	and	0
vnderstanding	vnderstanding	vvg	understanding	understand	0
the	the	dt	the	the	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
worthie	worthie	j	worthy	worthy	0
enterprise	enterprise	n1	enterprise	enterprise	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discouerie	discouerie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
passages	passages	n2	passages	passage	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
those	those	d	those	those	0
regions	regions	n2	regions	region	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
and	and	cc	and	and	0
Northeast	Northeast	np1	Northeast	Northeast	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
for	for	c-acp	for	for	0
very	very	av	very	very	0
great	great	j	great	great	0
zeale	zeale	n1	zeal	zeal	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
desire	desire	n1	desire	desire	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
to	to	p-acp	to	to	0
farther	farther	jc	farther	far	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
famous	famous	j	famous	famous	0
an	an	dt	and	a	0
enter	enter	vvi	enter	enter	0
∣	∣	sy	∣	∣	0
prise	prise	n1	prize	prize	0
,	,	,	,	,	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
the	the	dt	the	the	0
translation	translation	n1	translation	translation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
worke	worke	n1	work	work	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
bestowed	bestowed	vvd	bestowed	bestow	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
on	on	p-acp	on	on	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
sent	sent	vvd	sent	send	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
discouerie	discouerie	n1	discovery	discovery	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
two	two	crd	two	two	0
Pinesses	Pinesses	n2	Pinesses	piness	0
,	,	,	,	,	0
late	late	av-j	late	late	0
sent	sent	vvn	sent	send	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
that	that	cst	that	that	0
fal	fal	n1	fall	fall	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
on	on	p-acp	on	on	0
those	those	d	those	those	0
coastes	coastes	n2	coasts	coast	0
,	,	,	,	,	0
foreknowing	foreknowing	vvg	foreknowing	foreknow	0
the	the	dt	the	the	0
natures	natures	n2	nature's	nature	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
people	people	n1	people	people	0
,	,	,	,	,	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
shunne	shunne	vvi	shun	shun	0
perilles	perilles	n2	perils	peril	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
place	place	n1	place	place	0
the	the	dt	the	the	0
better	better	jc	better	better	0
.	.	.	.	.	1
And	And	cc	And	and	0
nowe	nowe	av	now	now	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
committ	committ	vvi	commit	commit	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
worships	worships	n2	worships	worship	0
,	,	,	,	,	0
that	that	cst	that	that	0
eache	eache	d	each	each	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
partaker	partaker	n1	partaker	partaker	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
contents	contents	n2	contents	content	0
,	,	,	,	,	0
praying	praying	vvg	praying	pray	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
small	small	j	small	small	0
trauell	trauell	n1	travel	travel	0
,	,	,	,	,	0
&	&	cc	&	and	0
good	good	j	good	good	0
meaning	meaning	n1	meaning	meaning	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
parte	parte	n1	part	part	0
,	,	,	,	,	0
wishing	wishing	vvg	wishing	wish	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
more	more	av-dc	more	more	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
you	you	pn22	you	you	0
pleasure	pleasure	n1	pleasure	pleasure	0
or	or	cc	or	or	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
noble	noble	j	noble	noble	0
an	an	dt	and	a	0
enterprise	enterprise	n1	enterprise	enterprise	0
:	:	:	:	:	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
same	same	d	same	same	0
tendeth	tendeth	vvz	tendeth	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ample	ample	j	ample	ample	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
cloth	cloth	n1	cloth	cloth	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
our	our	po12	our	our	0
commodities	commodities	n2	commodities	commodity	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
nauie	nauie	n1	navy	navy	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
supply	supply	n1	supply	supply	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
our	our	po12	our	our	0
wants	wants	n2	wants	want	0
