IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
maine	maine	j	main	main	0
infirmity	infirmity	n1	infirmity	infirmity	0
(	(	(	(	(	0
RightEphes	RightEphes	np1	RightEphes	RightEphes	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	0
18.	18.	crd	18.	18.	1
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
crept	crept	vvd	crept	creep	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
cured	cured	vvn	cured	cure	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
darkened	darkened	vvd	darkened	darken	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
derstanding	derstanding	n1	derstanding	derstanding	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
experience	experience	n1	experience	experience	0
tea	tea	n1	tea	tea	0
∣	∣	sy	∣	∣	0
cheth	cheth	vvz	cheth	ch	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
blind	blind	j	blind	blind	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
inci	inci	fw-la	inci	inci	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
miseries	miseries	n2	misery's	misery	0
;	;	;	;	;	0
though	though	cs	though	though	0
the	the	dt	the	the	0
path	path	n1	path	path	0
be	be	vbb	be	be	0
straight	straight	av	straight	straight	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
hee	hee	pns31	he	he	0
will	will	vmb	will	will	0
wan	wan	vvd	won	win	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
,	,	,	,	,	0
and	and	cc	and	and	0
though	though	cs	though	though	0
the	the	dt	the	the	0
day	day	n1	day	day	0
be	be	vbb	be	be	0
cleare	cleare	j	clear	clear	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
either	either	av-d	either	either	0
sees	sees	vvz	sees	see	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
or	or	cc	or	or	0
if	if	cs	if	if	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
very	very	av	very	very	0
darkely	darkely	av-j	darkly	dark	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pix	none	none	0
are	are	vbr	are	be	0
so	so	av	so	so	0
enlighte	enlighte	vvb	enlighte	enlighte	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
but	but	p-acp	but	but	0
they	they	pns32	they	they	0
see	see	vvb	see	see	0
obscurely	obscurely	av-j	obscurely	obscure	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
that	that	cst	that	that	0
all	all	d	all	all	0
Arts	Arts	n2	Arts	art	0
and	and	cc	and	and	0
Sciences	Sciences	n2	Sciences	science	0
are	are	vbr	are	be	0
neuer	neuer	av-x	never	never	0
truely	truely	av-j	truly	true	0
purged	purged	vvn	purged	purge	0
from	from	p-acp	from	from	0
errors	errors	n2	errors	error	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
still	still	av	still	still	0
experience	experience	n1	experience	experience	0
bringeth	bringeth	vvz	brings	bring	0
the	the	dt	the	the	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
Mens	Mens	ng2	Men's	man	0
knowledges	knowledges	n2	knowledges	knowledge	0
are	are	vbr	are	be	0
more	more	av-dc	more	more	0
refined	refined	j-vvn	refined	refine	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
drosse	drosse	n1	dross	dross	0
of	of	pp-f	of	of	0
igno	igno	fw-la	igno	igno	0
∣	∣	sy	∣	∣	0
rence	rence	vvi	rence	rinse	0
.	.	.	.	.	1
With	With	p-acp	With	with	0
the	the	dt	the	the	0
waight	waight	n1	weight	weight	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
this	this	d	this	this	0
famous	famous	j	famous	famous	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Horsemanship	Horsemanship	n1	Horsemanship	horsemanship	0
is	is	vbz	is	be	0
Turkishly	Turkishly	av-j	Turkishly	turkish	0
burthened	burthened	j-vvn	burdened	burden	0
,	,	,	,	,	0
mens	mens	ng2	men's	man	0
apprehensi	apprehensi	fw-la	apprehensi	apprehensi	0
∣	∣	sy	∣	∣	0
ors	ors	zz	ors	ors	0
being	being	vbg	being	be	0
so	so	av	so	so	0
deluded	deluded	vvn	deluded	delude	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
false	false	j	false	false	0
euidence	euidence	n1	evidence	evidence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
senses	senses	n2	senses	sense	0
,	,	,	,	,	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
are	are	vbr	are	be	0
blindly	blindly	av-j	blindly	blind	0
led	led	vvn	led	lead	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
seducing	seducing	j-vvg	seducing	seduce	0
guide	guide	n1	guide	guide	0
of	of	pp-f	of	of	0
traditions	traditions	n2	traditions	tradition	0
,	,	,	,	,	0
ne	ne	ccx	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
seeking	seeking	vvg	seeking	seek	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
path	path	n1	path	path	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
Antiquity	Antiquity	n1	Antiquity	antiquity	0
hath	hath	vhz	hath	have	0
traced	traced	vvn	traced	trace	0
;	;	;	;	;	0
thinking	thinking	vvg	thinking	think	0
that	that	d	that	that	0
former	former	j	former	former	0
Ages	Ages	n2	Ages	age	0
haue	haue	vhb	have	have	0
discouered	discouered	vvn	discovered	discover	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
World	World	n1	World	world	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
no	no	dx	no	no	0
Islands	Islands	n2	Islands	island	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
detected	detected	vvn	detected	detect	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
paines	paines	n2	pains	pain	0
of	of	pp-f	of	of	0
discouery	discouery	n1	discovery	discovery	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
futurely	futurely	av-jn	futurely	future	0
attempt	attempt	vvi	attempt	attempt	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Whereby	Whereby	c-crq	Whereby	whereby	0
this	this	d	this	this	0
Age	Age	n1	Age	age	0
is	is	vbz	is	be	0
so	so	av	so	so	0
led	led	vvn	led	lead	0
by	by	p-acp	by	by	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
that	that	d	that	that	0
whomsoeuer	whomsoeuer	ro-crq	whomsoever	whosoever	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
nish	nish	vvi	nish	nish	0
themselues	themselues	px32	themselves	themselves	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
more	more	av-dc	more	more	0
fruitfull	fruitfull	j	fruitful	fruitful	0
Ports	Ports	n2	Ports	port	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
generlly	generlly	av-j	generlly	generl	0
holden	holden	vvn	held	hold	0
factious	factious	j	factious	factious	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
either	either	d	either	either	0
suffer	suffer	vvi	suffer	suffer	0
Ship-wrack	Ship-wrack	n1	Shipwreck	shipwreck	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
bring	bring	vvb	bring	bring	0
counterfeit	counterfeit	j-jn	counterfeit	counterfeit	0
stuffe	stuffe	n1	stuff	stuff	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
conceding	conceding	vvg	conceding	concede	0
implication	implication	n1	implication	implication	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
such	such	d	such	such	0
a	a	dt	a	a	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
fusion	fusion	n1	fusion	fusion	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
