Imperial	Imperial	np1	Imperial	Imperial	0
CHARLES	CHARLES	np1	CHARLES	Charles	0
,	,	,	,	,	0
my	my	po11	my	my	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
.	.	.	.	.	1
ACustome	ACustome	n1	ACustome	acustome	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
anciently	anciently	av-jn	anciently	ancient	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
civiller	civiller	jc	civiller	civil	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
so	so	av	so	so	0
oft	oft	av	oft	oft	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
enjoyed	enjoyed	vvd	enjoyed	enjoy	0
a	a	dt	a	a	0
just	just	j	just	just	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Graci	Graci	np1	Graci	Graci	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
King	King	n1	King	king	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
their	their	po32	their	their	0
mute	mute	j-jn	mute	mute	0
feli	feli	j	feli	feli	0
∣	∣	sy	∣	∣	0
city	city	n1	city	city	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
contract	contract	vvi	contract	contract	0
a	a	dt	a	a	0
dulness	dulness	n1	dullness	dulness	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
brests	brests	n2	breasts	breast	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
pour	pour	vvi	pour	pour	0
forth	forth	av	forth	forth	0
their	their	po32	their	their	0
affections	affections	n2	affections	affection	0
and	and	cc	and	and	0
joyes	joyes	n2	joys	joy	0
in	in	p-acp	in	in	0
elo	elo	n1	elo	elo	0
∣	∣	sy	∣	∣	0
gies	gies	n2	gies	gie	0
,	,	,	,	,	0
wishes	wishes	n2	wishes	wish	0
,	,	,	,	,	0
and	and	cc	and	and	0
applauses	applauses	n2	applauses	applause	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
