Ingenious	Ingenious	j	Ingenious	ingenious	0
Sea-man	Sea-man	n1	Seaman	seaman	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Navigation	Navigation	n1	Navigation	navigation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
Islands	Islands	n2	Islands	island	0
especially	especially	av-j	especially	especial	0
are	are	vbr	are	be	0
enriched	enriched	vvn	enriched	enrich	0
,	,	,	,	,	0
and	and	cc	and	and	0
preserved	preserved	vvn	preserved	preserve	0
in	in	p-acp	in	in	0
safety	safety	n1	safety	safety	0
from	from	p-acp	from	from	0
Forensical	Forensical	j	Forensical	forensical	0
Invasions	Invasions	n2	Invasions	invasion	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
wonderful	wonderful	j	wondered	wonderful	0
Works	Works	vvz	Works	work	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
great	great	j	great	great	0
Deep	Deep	j-jn	Deep	deep	0
,	,	,	,	,	0
and	and	cc	and	and	0
Foreign	Foreign	j	Foreign	foreign	0
Nations	Nations	n2	Nations	nation	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
delightfully	delightfully	av-j	delightfully	delightful	0
and	and	cc	and	and	0
fully	fully	av-j	fully	full	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
held	held	vvd	held	hold	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
exquisite	exquisite	j	exquisite	exquisite	0
excellency	excellency	n1	excellency	excellency	0
,	,	,	,	,	0
ingen	ingen	vvi	ingen	ingen	0
∣	∣	sy	∣	∣	0
uity	uity	n1	uity	uity	0
,	,	,	,	,	0
rarity	rarity	n1	rarity	rarity	0
,	,	,	,	,	0
and	and	cc	and	and	0
mirability	mirability	n1	mirability	mirability	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Navigation	Navigation	n1	Navigation	navigation	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Arts.	Arts.	n2	Arts.	art	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
gallant	gallant	j-jn	gallant	gallant	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
