AMong	AMong	p-acp	AMong	among	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
spirit	spirit	n1	spirit	spirit	0
hath	hath	vhz	hath	have	0
graffed	graffed	vvn	graffed	graft	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
graces	graces	ng1	graces	grace	0
breast	breast	n1	breast	breast	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
hono	hono	fw-it	hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
Lady	Lady	n1	Lady	lady	0
)	)	)	)	)	0
the	the	dt	the	the	0
feruent	feruent	j	fervent	fervent	0
affection	affection	n1	affection	affection	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
desyre	desyre	n1	desire	desire	0
of	of	pp-f	of	of	0
prayinge	prayinge	vvg	praying	pray	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
nei	nei	n1	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
the	the	dt	the	the	0
last	last	ord	last	last	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
lest	lest	ds	lest	least	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	p-acp	as	as	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
wrought	wrought	vvn	wrought	wrought	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
ye	ye	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
thys	thys	d	this	this	0
godly	godly	j	godly	godly	0
mind	mind	n1	mind	mind	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
vpon	vpon	p-acp	upon	upon	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
name	name	n1	name	name	0
with	with	p-acp	with	with	0
diligent	diligent	j	diligent	diligent	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
so	so	av	so	so	0
lykewise	lykewise	av	likewise	likewise	0
