NO	NO	dx	NO	no	0
man	man	n1	man	man	0
(	(	(	(	(	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
)	)	)	)	)	0
will	will	vmb	will	will	0
wonder	wonder	vvi	wonder	wonder	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Worship	Worship	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
and	and	cc	and	and	0
Dearely	Dearely	av-jn	Dearly	dear	0
Beloved	Beloved	vvn	Beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
small	small	j	small	small	0
Treatise	Treatise	n1	Treatise	treatise	0
:	:	:	:	:	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
accompt	accompt	n1	account	account	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
likely	likely	j	likely	likely	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
(	(	(	(	(	0
nor	nor	ccx	nor	nor	0
desire	desire	vvb	desire	desire	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
)	)	)	)	)	0
better	better	j	better	better	0
acceptance	acceptance	n1	acceptance	acceptance	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whose	whose	rg-crq	whose	who	0
love	love	n1	love	love	0
manifested	manifested	vvn	manifested	manifest	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
many	many	d	many	many	0
honours	honours	n2	honours	honour	0
and	and	cc	and	and	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
vours	vours	n2	vours	vour	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
so	so	av	so	so	0
many	many	d	many	many	0
waies	waies	n2	ways	way	0
engaged	engaged	vvn	engaged	engage	0
me	me	pno11	me	i	0
now	now	av	now	now	0
neere	neere	av-j	near	near	0
these	these	d	these	these	0
two	two	crd	two	two	0
and	and	cc	and	and	0
fourty	fourty	crd	fourty	forty	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
(	(	(	(	(	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
continued	continued	vvn	continued	continue	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
so	so	av	so	so	0
aboundant	aboundant	j	abundant	abundant	0
and	and	cc	and	and	0
full	full	j	full	full	0
experience	experience	n1	experience	experience	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
presenting	presenting	vvg	presenting	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
I	I	pns11	I	i	0
give	give	vvb	give	give	0
