BRethren	BRethren	ng1	BRethren	brethren	0
,	,	,	,	,	0
Beloved	Beloved	vvn	Beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
here	here	av	here	here	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
travelled	travelled	vvn	traveled	travel	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
frequent	frequent	j	frequent	frequent	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
sires	sires	ng1	sire's	sire	0
have	have	vhb	have	have	0
now	now	av	now	now	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
unto	unto	p-acp	unto	unto	0
light	light	n1	light	light	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
your	your	po22	your	your	0
forwardnesse	forwardnesse	n1	forwardness	forwardness	0
helped	helped	vvd	helped	help	0
it	it	pn31	it	it	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
untimely	untimely	j	untimely	untimely	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
woman	woman	n1	woman	woman	0
which	which	r-crq	which	which	0
never	never	av-x	never	never	0
saw	saw	vvd	saw	see	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
.	.	.	.	.	1
If	If	cs	If	if	0
it	it	pn31	it	it	0
finde	finde	vvb	find	find	0
lesse	lesse	av-dc	less	less	0
acceptance	acceptance	n1	acceptance	acceptance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
supposed	supposed	vvn	supposed	suppose	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
that	that	cst	that	that	0
having	having	vhg	having	have	0
perswaded	perswaded	vvn	persuaded	persuade	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lishing	lishing	n-vvg	lishing	lish	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
content	content	j	content	content	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cen	cen	n1	cen	cen	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
passe	passe	vvi	pass	pass	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
;	;	;	;	;	0
This	This	d	This	this	0
censorious	censorious	j	censorious	censorious	0
age	age	n1	age	age	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
compleat	compleat	j	complete	complete	0
worke	worke	n1	work	work	0
can	can	vmb	can	can	0
scarce	scarce	av-j	scarce	scarce	0
passe	passe	vvi	pass	pass	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
marke	marke	n1	mark	mark	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
blacke	blacke	j-jn	black	black	0
coale	coale	n1	coal	coal	0
,	,	,	,	,	0
will	will	vmb	will	will	0
hardly	hardly	av	hardly	hardly	0
suffer	suffer	vvi	suffer	suffer	0
such	such	d	such	such	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
weak	weak	j	weak	weak	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
can	can	vmb	can	can	0
produce	produce	vvi	produce	produce	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
sharper	sharper	jc	sharper	sharp	0
censure	censure	n1	censure	censure	0
.	.	.	.	.	1
I	I	pns11	I	i	0
looke	looke	vvb	look	look	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
advantage	advantage	n1	advantage	advantage	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
any	any	d	any	any	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
oppose	oppose	vvi	oppose	oppose	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
herein	herein	av	herein	herein	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
livered	livered	vvn	livered	liver	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
received	received	vvd	received	receive	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
unanimous	unanimous	j	unanimous	unanimous	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
probation	probation	n1	probation	probation	0
and	and	cc	and	and	0
consent	consent	n1	consent	consent	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	np1	And	And	0
knowing	knowing	vvg	knowing	know	0
some	some	d	some	some	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
trained	trained	vvn	trained	train	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
