ANimated	ANimated	j-vvn	ANimated	animate	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
viewe	viewe	n1	view	view	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
manifolde	manifolde	j	manifold	manifold	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
Lady	Lady	n1	Lady	lady	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
shroud	shroud	vvi	shroud	shroud	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
harbor	harbor	n1	harbour	harbour	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
protecti	protecti	n1	protecti	protecti	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
resting	resting	vvg	resting	rest	0
in	in	p-acp	in	in	0
confidence	confidence	n1	confidence	confidence	0
,	,	,	,	,	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
will	will	vmb	will	will	0
vouch	vouch	vvi	vouch	vouch	0
∣	∣	sy	∣	∣	0
safe	safe	j	safe	safe	0
to	to	pc-acp	to	to	0
accepte	accepte	vvi	accept	accept	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
though	though	cs	though	though	0
nor	nor	ccx	nor	nor	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
worthinesse	worthinesse	n1	worthiness	worthiness	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
well	well	av	well	well	0
meaning	meaning	vvg	meaning	mean	0
intent	intent	n1	intent	intent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
writer	writer	n1	writer	writer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
dutie	dutie	n1	duty	duty	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cateth	cateth	vvz	cateth	cate	0
his	his	po31	his	his	0
endeuours	endeuours	n2	endeavours	endeavour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
deserue	deserue	vvi	deserve	deserve	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
fauour	fauour	n1	favour	favour	0
.	.	.	.	.	1
Trusting	Trusting	vvg	Trusting	trust	0
your	your	po22	your	your	0
fauourable	fauourable	j	favourable	favourable	0
and	and	cc	and	and	0
prudent	prudent	j	prudent	prudent	0
cen	cen	n1	cen	cen	0
∣	∣	sy	∣	∣	0
sure	sure	av-j	sure	sure	0
,	,	,	,	,	0
will	will	vmb	will	will	0
extinguish	extinguish	vvi	extinguish	extinguish	0
the	the	dt	the	the	0
blemish	blemish	n1	blemish	blemish	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
ouer-bold	ouer-bold	j	overbold	overbold	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
:	:	:	:	:	0
and	and	cc	and	and	0
your	your	po22	your	your	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
receiue	receiue	vvb	receive	receive	0
with	with	p-acp	with	with	0
fauour	fauour	n1	favour	favour	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
presented	presented	vvn	presented	present	0
with	with	p-acp	with	with	0
affection	affection	n1	affection	affection	0
.	.	.	.	.	1
Pythias	Pythias	np1	Pythias	Pythias	0
Apollo	Apollo	np1	Apollo	Apollo	0
,	,	,	,	,	0
refused	refused	vvd	refused	refuse	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
drinke	drinke	vvi	drink	drink	0
in	in	p-acp	in	in	0
woodden	woodden	j	wooden	wooden	0
dishes	dishes	n2	dishes	dish	0
:	:	:	:	:	0
Alexander	Alexander	np1	Alexander	Alexander	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Monarke	Monarke	n1	Monarch	monarch	0
,	,	,	,	,	0
disdained	disdained	vvd	disdained	disdain	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
trauell	trauell	vvi	travel	travel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
visit	visit	vvi	visit	visit	0
simple	simple	j	simple	simple	0
Diogenes	Diogenes	np1	Diogenes	Diogenes	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Cell	Cell	n1	Cell	cell	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
the	the	dt	the	the	0
gifts	gifts	n2	gifts	gift	0
value	value	vvb	valve	value	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
giuers	giuers	ng1	givers	giver	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
alwaies	alwaies	av	always	always	0
esteemed	esteemed	vvn	esteemed	esteem	0
.	.	.	.	.	1
Euen	Euen	np1	Euen	Even	0
so	so	av	so	so	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
in	in	p-acp	in	in	0
hopefull	hopefull	j	hopeful	hopeful	0
assurance	assurance	n1	assurance	assurance	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
most	most	av-ds	most	most	0
Hono	Hono	fw-it	Hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
inclination	inclination	n1	inclination	inclination	0
to	to	pc-acp	to	to	0
fauour	fauour	vvi	favour	favour	0
learning	learning	n1	learning	learning	0
)	)	)	)	)	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
daine	daine	n1	dame	dame	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
smal	smal	j	small	small	0
gift	gift	n1	gift	gift	0
,	,	,	,	,	0
proceeding	proceeding	vvg	proceeding	proceed	0
frō	frō	p-acp	from	from	0
my	my	po11	my	my	0
hartie	hartie	j	hearty	hearty	0
good	good	j	good	good	0
will	will	n1	will	will	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
thereby	thereby	av	thereby	thereby	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
bindeth	bindeth	vvz	binds	bind	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
your	your	po22	your	your	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thinesse	thinesse	n1	thinesse	thinesse	0
a	a	pns31	a	he	0
farre	farre	av-j	far	far	0
better	better	jc	better	better	0
present	present	n1	present	present	0
then	then	cs	then	than	0
this	this	d	this	this	0
,	,	,	,	,	0
if	if	cs	if	if	0
my	my	po11	my	my	0
abilitie	abilitie	n1	ability	ability	0
were	were	vbdr	were	be	0
correspondent	correspondent	j	correspondent	correspondent	0
.	.	.	.	.	1
The	The	dt	The	the	0
dutifull	dutifull	j	dutiful	dutiful	0
regard	regard	n1	regard	regard	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
laudable	laudable	j	laudable	laudable	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
beeing	beeing	vbg	being	be	0
such	such	d	such	such	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
vnable	vnable	j	unable	unable	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
meane	meane	n1	mean	mean	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
hum	hum	uh	hum	humh	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
beseeching	beseeching	vvg	beseeching	beseech	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
this	this	d	this	this	0
gift	gift	n1	gift	gift	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
better	better	jc	better	better	0
:	:	:	:	:	0
and	and	cc	and	and	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
dutifull	dutifull	j	dutiful	dutiful	0
mea	mea	zz	mea	mea	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
steede	steede	n1	steed	steed	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
better	better	jc	better	better	0
performance	performance	n1	performance	performance	0
:	:	:	:	:	0
And	And	cc	And	and	0
(	(	(	(	(	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
