A	A	dt	A	a	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Lethargy	Lethargy	n1	Lethargy	lethargy	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
reigning	reigning	j-vvg	reigning	reign	0
Dis	Dis	zf	Dis	this	0
∣	∣	sy	∣	∣	0
ease	ease	n1	ease	ease	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Age	Age	n1	Age	age	0
:	:	:	:	:	0
The	The	dt	The	the	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Discourses	Discourses	n2	Discourses	discourse	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Alarm	Alarm	n1	Alarm	alarm	0
the	the	dt	the	the	0
Secure	Secure	j	Secure	secure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Awaken	Awaken	vvi	Awaken	awake	0
the	the	dt	the	the	0
Sleeping	Sleeping	j-vvg	Sleeping	sleep	0
World	World	n1	World	world	0
.	.	.	.	.	1
Tho'	Tho'	cs	Though	though	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	cs	while	while	0
Invisible	Invisible	j	Invisible	invisible	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
Appear	Appear	vvi	Appear	appear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Confusion	Confusion	n1	Confusion	confusion	0
and	and	cc	and	and	0
Terror	Terror	n1	Terror	terror	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Adversaries	Adversaries	n2	Adversaries	adversary	0
.	.	.	.	.	1
Tho'	Tho'	cs	Though	though	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
kept	kept	vvn	kept	keep	0
Silence	Silence	n1	Silence	silence	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
roar	roar	vvi	roar	roar	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Zion	Zion	np1	Zion	Zion	0
.	.	.	.	.	1
Tho'	Tho'	cs	Though	though	0
his	his	po31	his	his	0
Sword	Sword	n1	Sword	sword	0
hath	hath	vhz	hath	have	0
slept	slept	vvn	slept	sleep	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
awake	awake	vvi	awake	awake	0
;	;	;	;	;	0
do	do	vdb	do	do	0
Execution	Execution	n1	Execution	execution	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
Bathed	Bathed	vvn	Bathed	bathe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Blood	Blood	n1	Blood	blood	0
of	of	pp-f	of	of	0
Impenitent	Impenitent	j	Impenitent	impenitent	0
Sinners	Sinners	n2	Sinners	sinner	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sins	Sins	n2	Sins	sin	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
punishing	punishing	j-vvg	punishing	punish	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
out	out	av	out	out	0
all	all	d	all	all	0
his	his	po31	his	his	0
Enemies	Enemies	n2	Enemies	enemy	0
,	,	,	,	,	0
Numb	Numb	j	Numb	numb	0
.	.	.	.	.	1
32.23	32.23	crd	32.23	32.23	0
.	.	.	.	.	1
Psal.	Psal.	np1	Psal.	Psal.	0
21.8	21.8	crd	21.8	21.8	0
.	.	.	.	.	1
He	He	pns31	He	he	0
that	that	cst	that	that	0
came	came	vvd	came	come	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
sase	sase	vvi	sase	sase	0
Men	Men	n2	Men	man	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
Sins	Sins	n2	Sins	sin	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
being	being	vbg	being	be	0
slighted	slighted	vvn	slighted	slight	0
,	,	,	,	,	0
and	and	cc	and	and	0
rejected	rejected	vvn	rejected	reject	0
,	,	,	,	,	0
will	will	vmb	will	will	0
come	come	vvi	come	come	0
a	a	dt	a	a	0
second	second	ord	second	second	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
Men	Men	n2	Men	man	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Iniquities	Iniquities	n2	Iniquities	iniquity	0
.	.	.	.	.	1
They	They	pns32	They	they	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
prized	prized	vvn	prized	prize	0
a	a	dt	a	a	0
Day	Day	n1	Day	day	0
of	of	pp-f	of	of	0
Salvation	Salvation	n1	Salvation	salvation	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
Experience	Experience	n1	Experience	experience	0
,	,	,	,	,	0
and	and	cc	and	and	0
feel	feel	vvb	feel	feel	0
a	a	dt	a	a	0
Day	Day	n1	Day	day	0
of	of	pp-f	of	of	0
Vengeance	Vengeance	n1	Vengeance	vengeance	0
and	and	cc	and	and	0
Destruction	Destruction	n1	Destruction	destruction	0
.	.	.	.	.	1
How	How	q-crq	How	how	0
woful	woful	j	woeful	woeful	0
will	will	vmb	will	will	0
the	the	dt	the	the	0
Estate	Estate	n1	Estate	estate	0
of	of	pp-f	of	of	0
Sin	Sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
be	be	vbi	be	be	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
own	own	d	own	own	0
Accusing	Accusing	vvg	Accusing	accuse	0
Consciences	Consciences	n2	Consciences	conscience	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
fiery	fiery	j	fiery	fiery	0
Oven	Oven	n1	Oven	oven	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
21.9	21.9	crd	21.9	21.9	0
.	.	.	.	.	0
within	within	a-acp	within	within	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Vengeance	Vengeance	n1	Vengeance	vengeance	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Furnace	Furnace	n1	Furnace	furnace	0
of	of	pp-f	of	of	0
Fire	Fire	n1	Fire	fire	0
without	without	p-acp	without	without	0
;	;	;	;	;	0
and	and	cc	and	and	0
Sinners	Sinners	n2	Sinners	sinner	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
Supported	Supported	vvd	Supported	support	0
(	(	(	(	(	0
though	though	cs	though	though	0
but	but	p-acp	but	but	0
Tares	Tares	n2	Tares	tare	0
and	and	cc	and	and	0
Chaff	Chaff	n1	Chaff	chaff	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Eternal	Eternal	j	Eternal	eternal	0
Fuel	Fuel	n1	Fuel	fuel	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Fire	Fire	n1	Fire	fire	0
.	.	.	.	.	1
It	It	pn31	It	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
sweet	sweet	j	sweet	sweet	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
Well	Well	n1	Well	well	0
of	of	pp-f	of	of	0
Spiri	Spiri	np1	Spiri	Spiri	0
∣	∣	sy	∣	∣	0
tual	tual	j	tual	tual	0
Water	Water	n1	Water	water	0
springing	springing	vvg	springing	spring	0
up	up	a-acp	up	up	0
within	within	a-acp	within	within	0
,	,	,	,	,	0
John	John	np1	John	John	0
4.14	4.14	crd	4.14	4.14	0
.	.	.	.	.	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
dreadful	dreadful	j	dreadful	dreadful	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
Well	Well	n1	Well	well	0
of	of	pp-f	of	of	0
Fire	Fire	n1	Fire	fire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
burning	burning	vvg	burning	burn	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Soul.	Soul.	n1	Soul.	soul	1
Alvarez	Alvarez	np1	Alvarez	Alvarez	0
de	de	fw-fr	de	de	0
Semedo	Semedo	np1	Semedo	Semedo	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
History	History	n1	History	history	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
speaks	speaks	vvz	speaks	speak	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Wells	Wells	n2	Wells	well	0
of	of	pp-f	of	of	0
Fire	Fire	n1	Fire	fire	0
,	,	,	,	,	0
kindled	kindled	vvn	kindled	kindle	0
from	from	p-acp	from	from	0
Sulphurous	Sulphurous	j	Sulphurous	sulphurous	0
Matter	Matter	n1	Matter	matter	0
