ALbeit	ALbeit	cs	ALbeit	albeit	0
(	(	(	(	(	0
ryght	ryght	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
that	that	cst	that	that	0
the	the	dt	the	the	0
prophecye	prophecye	n1	prophecy	prophecy	0
of	of	pp-f	of	of	0
Ia	Ia	zz	Ia	ia	0
∣	∣	sy	∣	∣	0
cob	cob	n1	cob	cob	0
was	was	vbds	was	be	0
true	true	j	true	true	0
/	/	/	/	/	0
that	that	cst	that	that	0
the	the	dt	the	the	0
scri	scri	fw-la	scri	scri	0
¦	¦	sy	¦	¦	0
pture	pture	n1	pture	pture	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
takē	takē	vvn	taken	take	0
a	a	dt	a	a	0
wa	wa	zz	wa	wa	0
∣	∣	sy	∣	∣	0
ye	ye	dt	the	the	0
from	from	p-acp	from	from	0
Iuda	Iuda	np1	Iuda	Juda	0
/	/	/	/	/	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
that	that	cst	that	that	0
Silo	Silo	np1	Silo	Silo	0
came	came	vvd	came	come	0
/	/	/	/	/	0
the	the	dt	the	the	0
very	very	av	very	very	0
true	true	j	true	true	0
Messias	Messias	np1	Messias	Messiah	0
/	/	/	/	/	0
both	both	av-d	both	both	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
dyd	dyd	vdd	did	do	0
the	the	dt	the	the	0
almygtye	almygtye	n1	almygtye	almygtye	0
GOD	GOD	np1	GOD	God	0
punish	punish	vvi	punish	punish	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
wyth	wyth	p-acp	with	with	0
blyndnes	blyndnes	n1	blindness	blindness	0
/	/	/	/	/	0
chefelye	chefelye	av-jn	chiefly	chief	0
/	/	/	/	/	0
for	for	c-acp	for	for	0
their	their	po32	their	their	0
Hipocrisye	Hipocrisye	n1	Hypocrisy	hypocrisy	0
and	and	cc	and	and	0
Idolatrye	Idolatrye	n1	Idolatry	idolatry	0
/	/	/	/	/	0
ande	ande	cc	and	and	0
spoyled	spoyled	vvd	spoiled	spoil	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moost	moost	av-ds	most	most	0
holy	holy	j	holy	holy	0
ād	ād	cc	and	and	0
right	right	j-jn	right	right	0
gouuer	gouuer	av	gouuer	gouuer	0
∣	∣	sy	∣	∣	0
naunce	naunce	n1	naunce	naunce	0
.	.	.	.	.	1
Where	Where	c-crq	Where	where	0
therfore	therfore	av	therefore	therefore	0
it	it	pn31	it	it	0
myght	myght	vmd	might	may	0
appere	appere	vvi	appear	appear	0
/	/	/	/	/	0
that	that	cst	that	that	0
Antechrist	Antechrist	np1	Antechrist	Antechrist	0
was	was	vbds	was	be	0
moost	moost	av-ds	most	most	0
iustlie	iustlie	av-j	justly	just	0
ād	ād	cc	and	and	0
lau	lau	uh	lau	lau	0
∣	∣	sy	∣	∣	0
fullye	fullye	av-j	fully	ful	0
extirped	extirped	vvn	extirped	extirp	0
all	all	d	all	all	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
vsur	vsur	n1	vsur	vsur	0
¦	¦	sy	¦	¦	0
ped	ped	n1	ped	bed	0
power	power	n1	power	power	0
oute	oute	av	out	out	0
of	of	pp-f	of	of	0
