ANd	ANd	cc	ANd	and	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
cōmend	cōmend	vvi	commend	commend	0
this	this	d	this	this	0
pious	pious	j	pious	pious	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Imitation	Imitation	n1	Imitation	imitation	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
good	good	j	good	good	0
Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
whosoe	whosoe	vvn	whosoe	whosoe	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
thou	thou	pns21	thou	thou	0
dwellest	dwellest	vv2	dwellest	dwell	0
;	;	;	;	;	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
wheresoe	wheresoe	n1	wheresoe	wheresoe	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
thou	thou	pns21	thou	thou	0
dwellest	dwellest	vv2	dwellest	dwell	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
nowa	nowa	uh	nowa	nowa	0
∣	∣	sy	∣	∣	0
daies	daies	ng2	days	day	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
hard	hard	j	hard	hard	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
a	a	dt	a	a	0
good	good	j	good	good	0
Christian	Christian	np1	Christian	Christian	0
:	:	:	:	:	0
the	the	dt	the	the	0
Prophet	Prophet	n1	Prophet	prophet	0
bid	bid	vvb	bid	bid	0
them	them	pno32	them	they	0
run	run	vvi	run	run	0
to	to	p-acp	to	to	0
&	&	cc	&	and	0
fro	fro	av	from	fro	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
streets	streets	n2	streets	street	0
of	of	pp-f	of	of	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeke	seeke	vvi	seek	seek	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
broad	broad	j	broad	broad	0
places	places	n2	places	place	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
finde	finde	vvi	find	find	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
Ier.	Ier.	np1	Ier.	Ier.	1
5.	5.	crd	5.	5.	0
1.	1.	crd	1.	1.	1
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
troubled	troubled	vvn	troubled	trouble	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
a	a	dt	a	a	0
man	man	n1	man	man	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
.	.	.	.	.	1
We	We	pns12	We	we	0
so	so	av	so	so	0
busie	busie	vvi	busy	busy	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
about	about	p-acp	about	about	0
Controversies	Controversies	n2	Controversies	controversy	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
forget	forget	vvb	forget	forget	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
good	good	j	good	good	0
Christians	Christians	np1	Christians	Christians	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
time	time	n1	time	time	0
indeed	indeed	av	indeed	indeed	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
name	name	n1	name	name	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
given	given	vvn	given	give	0
at	at	p-acp	at	at	0
Antioch	Antioch	np1	Antioch	Antioch	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
11.	11.	crd	11.	11.	0
26.	26.	crd	26.	26.	0
that	that	d	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
then	then	av	then	then	0
well	well	av	well	well	0
set	set	vvn	set	set	0
by	by	p-acp	by	by	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
lasted	lasted	vvd	lasted	last	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
presently	presently	av-j	presently	present	0
after	after	c-acp	after	after	0
they	they	pns32	they	they	0
fell	fell	vvd	fell	fall	0
a	a	dt	a	a	0
sideing	sideing	vvg	siding	side	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	pi	one	one	0
cryed	cryed	vvd	cried	cry	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
of	of	pp-f	of	of	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
another	another	j-jn	another	another	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
of	of	pp-f	of	of	0
Apollos	Apollos	npg1	Apollos	Apollo	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	n-jn	another	another	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
of	of	pp-f	of	of	0
Cephas	Cephas	np1	Cephas	Cephas	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	n-jn	another	another	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	d	much	much	0
adoe	adoe	n1	ado	ado	0
had	had	vhd	had	have	0
S.	S.	n1	S.	saint	0
Paul	Paul	np1	Paul	Paul	0
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
1.	1.	crd	1.	1.	0
12.	12.	crd	12.	12.	0
to	to	p-acp	to	to	0
appease	appease	vvi	appease	appease	0
these	these	d	these	these	0
factions	factions	n2	factions	faction	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
presently	presently	av-j	presently	present	0
after	after	c-acp	after	after	0
they	they	pns32	they	they	0
fell	fell	vvd	fell	fall	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
so	so	av	so	so	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nued	nued	vvd	nued	nue	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
encreased	encreased	vvd	increased	increase	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
even	even	av	even	even	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
day	day	n1	day	day	0
.	.	.	.	.	1
