SEynge	SEynge	vvg	Sing	sing	0
and	and	cc	and	and	0
vnderstandynge	vnderstandynge	n1	understanding	understanding	0
mooste	mooste	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
lady	lady	n1	lady	lady	0
your	your	po22	your	your	0
great	great	j	great	great	0
mynde	mynde	n1	mind	mind	0
and	and	cc	and	and	0
depe	depe	j-jn	deep	deep	0
affection	affection	n1	affection	affection	0
bothe	bothe	av-d	both	both	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
warde	warde	n1	ward	ward	0
al	al	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
lernyng	lernyng	n1	learning	learning	0
/	/	/	/	/	0
and	and	cc	and	and	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
towarde	towarde	p-acp	toward	toward	0
that	that	cst	that	that	0
/	/	/	/	/	0
whiche	whiche	r-crq	which	which	0
either	either	d	either	either	0
exciteth	exciteth	vvz	exciteth	excit	0
or	or	cc	or	or	0
tea	tea	crd	tea	ten	0
¦	¦	sy	¦	¦	0
cheth	cheth	vvz	cheth	ch	0
vertue	vertue	n1	virtue	virtue	0
&	&	cc	&	and	0
goodnes	goodnes	n1	goodness	goodness	0
/	/	/	/	/	0
and	and	cc	and	and	0
concerneth	concerneth	vvz	concerns	concern	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
saluacion	saluacion	n1	salvation	salvation	0
/	/	/	/	/	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
translated	translated	vvn	translated	translate	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Latin	Latin	jp	Latin	latin	0
in	in	n1	in	inn	0
to	to	p-acp	to	to	0
englishe	englishe	jp	english	english	0
a	a	dt	a	a	0
sermon	sermon	n1	sermon	sermon	0
of	of	pp-f	of	of	0
Erasmus	Erasmus	np1	Erasmus	Erasmus	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mercy	mercy	n1	mercy	mercy	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
:	:	:	:	:	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
trāslated	trāslated	vvn	translated	translate	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
/	/	/	/	/	0
and	and	cc	and	and	0
dedicate	dedicate	vvi	dedicate	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
ladyshyp	ladyshyp	n1	ladyshyp	ladyshyp	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
shuld	shuld	vmd	should	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
dede	dede	n1	deed	deed	0
/	/	/	/	/	0
if	if	cs	if	if	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
ladisshyps	ladisshyps	ng1	ladisshyps	ladisshyps	0
pleasure	pleasure	n1	pleasure	pleasure	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
prin	prin	av	prin	prin	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
&	&	cc	&	and	0
spred	spred	vvn	spread	spread	0
abrode	abrode	av	abroad	abroad	0
:	:	:	:	:	0
And	And	cc	And	and	0
where	where	c-crq	where	where	0
as	as	c-acp	as	as	0
afore	afore	p-acp	afore	afore	0
lerned	lerned	j	learned	learned	0
mē	mē	n2	men	man	0
only	only	av-j	only	only	0
dyd	dyd	vdd	did	do	0
