Fathers	Fathers	ng1	Father's	father	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
EIther	EIther	av-d	EIther	either	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
dealt	dealt	vvn	dealt	deal	0
hypocritically	hypocritically	av-j	hypocritically	hypocritical	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
the	the	dt	the	the	0
Divisions	Divisions	n2	Divisions	division	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
poore	poore	j	poor	poor	0
Churches	Churches	n2	Churches	church	0
have	have	vhb	have	have	0
lain	lain	vvn	lain	lie	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
afflicting	afflicting	vvg	afflicting	afflict	0
evil	evil	j-jn	evil	evil	0
.	.	.	.	.	1
The	The	dt	The	the	0
Civil	Civil	j	Civil	civil	0
Power	Power	n1	Power	power	0
have	have	vhb	have	have	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
sensible	sensible	j	sensible	sensible	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
evil	evil	n-jn	evil	evil	0
,	,	,	,	,	0
that	that	cst	that	that	0
more	more	dc	more	more	0
then	then	cs	then	than	0
once	once	a-acp	once	once	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
numbred	numbred	vvn	numbered	number	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
causes	causes	n2	causes	cause	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Orders	Orders	n1	Order	order	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Solemn	Solemn	j	Solemn	solemn	0
and	and	cc	and	and	0
Publike	Publike	j	Public	public	0
Humiliati	Humiliati	np1	Humiliati	Humiliati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
;	;	;	;	;	0
if	if	cs	if	if	0
our	our	po12	our	our	0
Fast-days	Fast-days	n2	Fast-dais	fast-dai	0
,	,	,	,	,	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
Books	Books	n2	Books	book	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
believed	believed	vvn	believed	believe	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
breaches	breaches	n2	breaches	breach	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Churches	Churches	n2	Churches	church	0
have	have	vhb	have	have	0
broken	broken	vvn	broken	break	0
our	our	po12	our	our	0
comforts	comforts	n2	comforts	comfort	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
ask	ask	vvi	ask	ask	0
pardon	pardon	n1	pardon	pardon	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
that	that	cst	that	that	0
this	this	d	this	this	0
sin	sin	n1	since	sin	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
wrought	wrought	vvn	wrought	wrought	0
so	so	av	so	so	0
much	much	d	much	much	0
evil	evil	n-jn	evil	evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
such	such	d	such	such	0
dishonour	dishonour	n1	dishonour	dishonour	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
more	more	dc	more	more	0
affected	affected	vvn	affected	affect	0
me	me	pno11	me	i	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
whose	whose	r-crq	whose	who	0
hearts	hearts	n2	hearts	heart	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
divided	divided	vvn	divided	divide	0
from	from	p-acp	from	from	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
united	united	vvn	united	unite	0
