MAny	MAny	av-d	MAny	many	0
good	good	j	good	good	0
Captains	Captains	n2	Captains	captain	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Reverende	Reverende	n-jn	Reverend	reverend	0
and	and	cc	and	and	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
their	their	po32	their	their	0
duety	duety	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fight	fight	vvi	fight	fight	0
thēselues	thēselues	px32	themselves	themselves	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
cōmand	cōmand	n1	command	command	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
:	:	:	:	:	0
and	and	cc	and	and	0
Physici	Physici	np1	Physici	Physici	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
without	without	p-acp	without	without	0
blame	blame	n1	blame	blame	0
prescribe	prescribe	vvb	prescribe	prescribe	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
apply	apply	vvb	apply	apply	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
themselues	themselues	px32	themselves	themselves	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
preacher	preacher	n1	preacher	preacher	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
justly	justly	av-j	justly	just	0
required	required	vvn	required	require	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
lesse	lesse	dc	less	less	0
in	in	p-acp	in	in	0
life	life	n1	life	life	0
&	&	cc	&	and	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
in	in	p-acp	in	in	0
speech	speech	n1	speech	speech	0
or	or	cc	or	or	0
wri	wri	fw-la	wri	wri	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
soundnes	soundnes	n1	soundness	soundness	0
of	of	pp-f	of	of	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
or	or	cc	or	or	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
Homers	Homers	npg1	Homers	Homer	0
words	words	n2	words	word	0
,	,	,	,	,	0
.	.	.	.	.	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
doctrine	doctrine	n1	doctrine	doctrine	0
hee	hee	pns31	he	he	0
must	must	vmb	must	must	0
preach	preach	vvi	preach	preach	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
cares	cares	n2	cares	care	0
,	,	,	,	,	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
example	example	n1	example	example	0
hee	hee	pns31	he	he	0
must	must	vmb	must	must	0
preach	preach	vvi	preach	preach	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
eies	eies	n2	eyes	eye	0
:	:	:	:	:	0
that	that	cst	that	that	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
both	both	d	both	both	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
lay	lay	vvi	lay	lay	0
hole	hole	n1	hold	hole	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
hartes	hartes	n2	hearts	heart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
hee	hee	pns31	he	he	0
must	must	vmb	must	must	0
direct	direct	vvi	direct	direct	0
vs	vs	pno12	us	we	0
that	that	d	that	that	0
we	we	pns12	we	we	0
stray	stray	vvb	stray	stray	0
not	not	xx	not	not	0
,	,	,	,	,	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
footsteps	footsteps	n2	footsteps	footstep	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
lead	lead	vvi	led	lead	0
vs	vs	pno12	us	we	0
