AT	AT	p-acp	AT	at	0
your	your	po22	your	your	0
desire	desire	n1	desire	desire	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
preached	preached	vvn	preached	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
peated	peated	vvn	peated	peat	0
desire	desire	vvb	desire	desire	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
published	published	vvn	published	publish	0
.	.	.	.	.	1
God	God	np1	God	God	0
grant	grant	vvb	grant	grant	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
accompanied	accompanied	vvn	accompanied	accompany	0
,	,	,	,	,	0
where-ever	where-ever	j	wherever	whereve	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Di	Di	zz	Di	di	0
∣	∣	sy	∣	∣	0
vine	vine	n1	vine	vine	0
Spirit	Spirit	n1	Spirit	spirit	0
and	and	cc	and	and	0
Blessing	Blessing	n1	Blessing	blessing	0
,	,	,	,	,	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
so	so	av	so	so	0
backt	backt	vvn	backed	back	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
uenced	uenced	vvn	uenced	uence	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
accomplish	accomplish	vvi	accomplish	accomplish	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
thus	thus	av	thus	thus	0
sent	sent	vvn	sent	send	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
nd	nd	cc	and	and	0
prove	prove	vvi	prove	prove	0
a	a	dt	a	a	0
singular	singular	j	singular	singular	0
means	means	n2	means	mean	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
precious	precious	j	precious	precious	0
and	and	cc	and	and	0
immortal	immortal	j	immortal	immortal	0
Souls	Souls	n2	Souls	soul	0
.	.	.	.	.	1
The	The	dt	The	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
God	God	np1	God	God	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
