COnscience	COnscience	n1	COnscience	conscience	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
thou	thou	pns21	thou	thou	0
wilt	wilt	vm2	wilt	will	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
:	:	:	:	:	0
however	however	c-acp	however	however	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
adventured	adventured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
a	a	dt	a	a	0
few	few	d	few	few	0
lines	lines	n2	lines	line	0
unto	unto	p-acp	unto	unto	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
well	well	av	well	well	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
and	and	cc	and	and	0
canst	canst	vmbx	canst	can	0
do	do	vdi	do	do	0
much	much	d	much	much	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
wilt	wilt	vm2	wilt	will	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
Good	Good	j	Good	good	0
Conscience	Conscience	n1	Conscience	conscience	0
thou	thou	pns21	thou	thou	0
wilt	wilt	vm2	wilt	will	0
.	.	.	.	.	1
Naturally	Naturally	np1	Naturally	Naturally	0
good	good	j	good	good	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
hope	hope	vvi	hope	hope	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
Spiritually	Spiritually	av-j	Spiritually	spiritual	0
good	good	j	good	good	0
,	,	,	,	,	0
purged	purged	vvn	purged	purge	0
from	from	p-acp	from	from	0
dead	dead	j	dead	dead	0
works	works	n2	works	work	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Bloud	Bloud	n1	Blood	blood	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
9.	9.	crd	9.	9	0
14.	14.	crd	14.	14.	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
good	good	j	good	good	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Resurrection	Resurrection	n1	Resurrection	resurrection	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
1	1	crd	1	1	0
Pet.	Pet.	np1	Pet.	Pet.	1
3.	3.	crd	3.	3.	0
21.	21.	crd	21.	21.	0
and	and	cc	and	and	0
art	art	n1	art	art	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
hope	hope	n1	hope	hope	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
1	1	crd	1	1	0
Pet.	Pet.	np1	Pet.	Pet.	1
3.	3.	crd	3.	3.	0
15	15	crd	15	15	0
,	,	,	,	,	1
16.	16.	crd	16.	16.	0
and	and	cc	and	and	0
that	that	d	that	that	0
thou	thou	pns21	thou	thou	0
standest	standest	vv2	standest	stand	0
upon	upon	p-acp	upon	upon	0
thy	thy	po21	thy	thy	0
watch	watch	n1	watch	watch	0
and	and	cc	and	and	0
ward	ward	vvi	ward	ward	0
against	against	p-acp	against	against	0
Sin	Sin	n1	since	sin	0
,	,	,	,	,	0
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
tan	tan	uh	tan	tan	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
1	1	crd	1	1	0
Tim.	Tim.	np1	Tim.	Tim.	1
1.	1.	crd	1.	1.	0
18	18	crd	18	18	0
,	,	,	,	,	1
19.	19.	crd	19.	19	1
However	However	c-acp	However	however	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
naturally	naturally	av-j	naturally	natural	0
good	good	j	good	good	0
;	;	;	;	;	0
something	something	pi	something	something	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
retained	retained	vvn	retained	retain	0
since	since	p-acp	since	since	0
the	the	dt	the	the	0
Fall	Fall	n1	Fallen	fall	0
,	,	,	,	,	0
all	all	d	all	all	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
lost	lost	vvn	lost	lose	0
:	:	:	:	:	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
Know	Know	vvi	Know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Reflection	Reflection	n1	Reflection	reflection	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
every	every	d	every	every	0
one	one	pi	one	one	0
