GReat	GReat	j	GReat	great	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
&	&	cc	&	and	0
great	great	j	great	great	0
is	is	vbz	is	be	0
his	his	po31	his	his	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
wer	wer	fw-ge	wer	wer	0
:	:	:	:	:	0
his	his	po31	his	his	0
wisdome	wisdome	n1	wisdom	wisdom	0
is	is	vbz	is	be	0
infinite	infinite	j	infinite	infinite	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
greatnes	greatnes	n1	greatness	greatness	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
comprehensible	comprehensible	j	comprehensible	comprehensible	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
delighteth	delighteth	vvz	delights	delight	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
feare	feare	vvb	fear	fear	0
him	him	pno31	him	he	0
,	,	,	,	,	0
&	&	cc	&	and	0
attend	attend	vvi	attend	attend	0
vpon	vpon	p-acp	upon	upon	0
his	his	po31	his	his	0
mer	mer	n1	mere	mere	0
∣	∣	sy	∣	∣	0
cie	cie	n1	cie	eye	0
.	.	.	.	.	1
Hee	Hee	pns31	He	he	0
hath	hath	vhz	hath	have	0
exalted	exalted	vvn	exalted	exalt	0
the	the	dt	the	the	0
Horne	Horne	n1	Horn	horn	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Saintes	Saintes	n2	Saints	saint	0
,	,	,	,	,	0
and	and	cc	and	and	0
taketh	taketh	vvz	takes	take	0
pleasure	pleasure	n1	pleasure	pleasure	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
his	his	po31	his	his	0
Loue	Loue	n1	Love	love	0
is	is	vbz	is	be	0
euerla	euerla	fw-fr	euerla	euerla	0
∣	∣	sy	∣	∣	0
sting	sting	n1	sting	sting	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
mercie	mercie	n1	mercy	mercy	0
endureth	endureth	vvz	endureth	endure	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
gracious	gracious	j	gracious	gracious	0
and	and	cc	and	and	0
mercifull	mercifull	j	merciful	merciful	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
righteous	righteous	j	righteous	righteous	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
mercies	mercies	n2	mercies	mercy	0
are	are	vbr	are	be	0
ouer	ouer	p-acp	over	over	0
all	all	d	all	all	0
his	his	po31	his	his	0
works	works	n2	works	work	0
.	.	.	.	.	1
He	He	pns31	He	he	0
is	is	vbz	is	be	0
rich	rich	j	rich	rich	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
aboundeth	aboundeth	vvz	aboundeth	abound	0
in	in	p-acp	in	in	0
goodnes	goodnes	n1	goodness	goodness	0
.	.	.	.	.	1
Hee	Hee	pns31	He	he	0
spa	spa	n1	spam	spa	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
not	not	xx	not	not	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
and	and	cc	and	and	0
onely	onely	j	only	only	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
(	(	(	(	(	0
euen	euen	av	even	even	0
that	that	cst	that	that	0
Sunne	Sunne	n1	Sun	sun	0
of	of	pp-f	of	of	0
Righteous	Righteous	j	Righteous	righteous	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
shineth	shineth	vvz	shines	shine	0
in	in	p-acp	in	in	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
beames	beames	n2	beams	beam	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
lightē	lightē	vvb	lighten	lighten	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Spi	Spi	vvb	Spi	spi	0
∣	∣	sy	∣	∣	0
rit	rit	n1	rit	rit	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
gaue	gaue	vvd	gave	give	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
death	death	n1	death	death	0
,	,	,	,	,	0
&	&	cc	&	and	0
hath	hath	vhz	hath	have	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
cleansed	cleansed	vvd	cleansed	cleanse	0
vs	vs	pno12	us	we	0
