THat	THat	cst	THat	that	0
the	the	dt	the	the	0
Charge	Charge	n1	Charge	charge	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
not	not	xx	not	not	0
exceeding	exceeding	vvg	exceeding	exceed	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
computed	computed	vvn	computed	compute	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Paper	Paper	n1	Paper	paper	0
,	,	,	,	,	0
styled	styled	vvn	styled	style	0
,	,	,	,	,	0
The	The	dt	The	the	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Revenue	Revenue	n1	Revenue	revenue	0
,	,	,	,	,	0
deli	deli	fw-la	deli	deli	0
∣	∣	sy	∣	∣	0
vered	vered	j-vvn	vered	vex	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Vice-Treasurer	Vice-Treasurer	n1	Vice-Treasurer	vice-treasurer	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
,	,	,	,	,	0
1670.	1670.	crd	1670.	1670.	0
until	until	p-acp	until	until	0
the	the	dt	the	the	0
26	26	crd	26	26	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
1675.	1675.	crd	1675.	1675.	0
be	be	vbi	be	be	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
duely	duely	av-jn	duly	due	0
answered	answered	vvn	answered	answer	0
and	and	cc	and	and	0
discharged	discharged	vvn	discharged	discharge	0
,	,	,	,	,	0
excepting	excepting	vvg	excepting	except	0
what	what	r-crq	what	what	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
deducted	deducted	vvn	deducted	deduct	0
for	for	p-acp	for	for	0
Cheques	Cheques	np1	Cheques	Cheques	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
sworn	sworn	vvn	sworn	swear	0
Officers	Officers	n2	Officers	officer	0
.	.	.	.	.	1
That	That	cst	That	that	0
all	all	d	all	all	0
arrears	arrears	n2	arrears	arrear	0
of	of	pp-f	of	of	0
Pay	Pay	n1	Pay	pay	0
,	,	,	,	,	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Martial	Martial	j	Martial	martial	0
and	and	cc	and	and	0
Ci	Ci	crd	Ci	ci	0
∣	∣	sy	∣	∣	0
vil	vil	fw-ge	vil	vil	0
Lists	Lists	n2	Lists	list	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
or	or	cc	or	or	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
last	last	ord	last	last	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
,	,	,	,	,	0
accord	accord	n1	accord	accord	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
establishment	establishment	n1	establishment	establishment	0
;	;	;	;	;	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
Debts	Debts	n2	Debts	debt	0
mentioned	mentioned	vvn	mentioned	mention	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
State	State	n1	State	state	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
is	is	vbz	is	be	0
obliged	obliged	vvn	obliged	oblige	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
1675.	1675.	crd	1675.	1675.	0
be	be	vbi	be	be	0
fully	fully	av-j	fully	full	0
paid	paid	vvn	paid	pay	0
and	and	cc	and	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
charged	charged	vvd	charged	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Composition	Composition	n1	Composition	composition	0
or	or	cc	or	or	0
Defalcation	Defalcation	n1	Defalcation	defalcation	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
the	the	dt	the	the	0
Fees	Fees	n2	Fees	fee	0
and	and	cc	and	and	0
Cheques	Cheques	np2	Cheques	cheque	0
,	,	,	,	,	0
usually	usually	av-j	usually	usual	0
and	and	cc	and	and	0
duely	duely	av-jn	duly	due	0
made	made	vvn	made	make	0
;	;	;	;	;	0
and	and	cc	and	and	0
except	except	c-acp	except	except	0
what	what	q-crq	what	what	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
still	still	av	still	still	0
due	due	j-jn	due	due	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ten	Ten	crd	Ten	ten	0
months	months	ng2	months	month	0
Arrears	Arrears	n2	Arrears	arrear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Justices	Justices	ng1	Justices	justice	0
time	time	n1	time	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
all	all	d	all	all	0
along	along	p-acp	along	along	0
been	been	vbn	been	be	0
compounded	compounded	vvn	compounded	compound	0
for	for	p-acp	for	for	0
one	one	crd	one	one	0
half	half	j-jn	half	half	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
much	much	d	much	much	0
every	every	d	every	every	0
body	body	n1	body	body	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
cerned	cerned	j	cerned	cerned	0
therein	therein	av	therein	therein	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
.	.	.	.	.	1
That	That	cst	That	that	0
all	all	d	all	all	0
such	such	d	such	such	0
Defalcations	Defalcations	n2	Defalcations	defalcation	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
appear	appear	vvi	appear	appear	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
justly	justly	av-j	justly	just	0
due	due	j-jn	due	due	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
late	late	j	late	late	0
Farmers	Farmers	n2	Farmers	farmer	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Customs	Customs	n2	Customs	custom	0
Import	Import	n1	Import	import	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
Inland	Inland	n1	Inland	inland	0
Excize	Excize	n1	Excise	excise	0
,	,	,	,	,	0
Licenses	Licenses	np1	Licenses	Licenses	0
for	for	p-acp	for	for	0
Ale	Ale	n1	Ale	ale	0
and	and	cc	and	and	0
Beer	Beer	n1	Beer	beer	0
,	,	,	,	,	0
Licenses	Licenses	np1	Licenses	Licenses	0
for	for	p-acp	for	for	0
Wine	Wine	n1	Wine	wine	0
,	,	,	,	,	0
Aquavitae	Aquavitae	n1	Aquavitae	aquavitae	0
,	,	,	,	,	0
and	and	cc	and	and	0
Strong-waters	Strong-waters	n2	Strong-waters	strong-water	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
the	the	dt	the	the	0
two	two	crd	two	two	0
years	years	n2	years	year	0
and	and	cc	and	and	0
three	three	crd	three	three	0
quarters	quarters	n2	quarters	quarter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
War	War	n1	War	war	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
adjusted	adjusted	vvn	adjusted	adjust	0
and	and	cc	and	and	0
setled	setled	vvn	settled	settle	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
manner	manner	n1	manner	manner	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesty	jesty	j	jesty	jesty	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
wholly	wholly	av-jn	wholly	whole	0
freed	freed	vvn	freed	free	0
and	and	cc	and	and	0
discharged	discharged	vvn	discharged	discharge	0
from	from	p-acp	from	from	0
any	any	d	any	any	0
Demand	Demand	vvb	Demand	demand	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
or	or	cc	or	or	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
present	present	j	present	present	0
Farmers	Farmers	n2	Farmers	farmer	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Revenue	Revenue	n1	Revenue	revenue	0
in	in	p-acp	in	in	0
Ireland	Ireland	np1	Ireland	Ireland	0
may	may	vmb	may	may	0
continue	continue	vvi	continue	continue	0
their	their	po32	their	their	0
Farms	Farms	n2	Farms	farm	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
,	,	,	,	,	0
Covenants	Covenants	n2	Covenants	covenant	0
,	,	,	,	,	0
Conditions	Conditions	n2	Conditions	condition	0
,	,	,	,	,	0
and	and	cc	and	and	0
Provisions	Provisions	n2	Provisions	provision	0
mentioned	mentioned	vvn	mentioned	mention	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
several	several	j	several	several	0
Grants	Grants	n2	Grants	grant	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
any	any	d	any	any	0
pretence	pretence	n1	pretence	pretence	0
of	of	pp-f	of	of	0
Defalcation	Defalcation	n1	Defalcation	defalcation	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
solely	solely	av-j	solely	sole	0
determined	determined	vvn	determined	determine	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
manner	manner	n1	manner	manner	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
several	several	j	several	several	0
Agreements	Agreements	n2	Agreements	agreement	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Lett	Lett	vvb	Let	let	0
or	or	cc	or	or	0
Interruption	Interruption	n1	Interruption	interruption	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
That	That	d	That	that	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
and	and	cc	and	and	0
dispose	dispose	n1	dispose	dispose	0
of	of	pp-f	of	of	0
as	as	p-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
think	think	vvi	think	think	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ballances	Ballances	n2	Balances	balance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Anglesey's	Anglesey's	npg1	Anglesey's	anglesey	0
Account	Account	vvb	Account	account	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Ballance	Ballance	n1	Balance	balance	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
George	George	np1	George	George	0
Carteret's	Carteret's	npg1	Carteret's	carteret	0
Account	Account	vvb	Account	account	0
being	being	vbg	being	be	0
20000	20000	crd	20000	20000	0
l.	l.	n1	l.	l.	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
.	.	.	.	.	1
That	That	cst	That	that	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
addition	addition	n1	addition	addition	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
hereafter	hereafter	av	hereafter	hereafter	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Revenue	Revenue	n1	Revenue	revenue	0
by	by	p-acp	by	by	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
the	the	dt	the	the	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
poser	poser	n1	poser	poser	0
will	will	n1	will	will	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
wise	wise	n1	wise	wise	0
pretend	pretend	vvi	pretend	pretend	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
or	or	cc	or	or	0
intermeddle	intermeddle	vvi	intermeddle	intermeddle	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
Proposer	Proposer	n1	Proposer	proposer	0
,	,	,	,	,	0
over	over	a-acp	over	over	0
and	and	cc	and	and	0
above	above	p-acp	above	above	0
the	the	dt	the	the	0
Payments	Payments	n2	Payments	payment	0
and	and	cc	and	and	0
Discharges	Discharges	vvz	Discharges	discharge	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
as	as	p-acp	as	as	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
engaged	engaged	vvn	engaged	engage	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
80000	80000	crd	80000	80000	0
l.	l.	n1	l.	l.	0
sterling	sterling	j-jn	sterling	sterling	0
,	,	,	,	,	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
years	years	n2	years	year	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
commence	commence	vvi	commence	commence	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
,	,	,	,	,	0
1675.	1675.	crd	1675.	1675.	0
by	by	p-acp	by	by	0
four	four	crd	four	four	0
equal	equal	j-jn	equal	equal	0
Portions	Portions	n2	Portions	portion	0
,	,	,	,	,	0
half	half	av-jn	half	half	0
yearly	yearly	j	yearly	yearly	0
.	.	.	.	.	1
That	That	d	That	that	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
may	may	vmb	may	may	0
continue	continue	vvi	continue	continue	0
the	the	dt	the	the	0
Excize	Excize	n1	Excise	excise	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Prerogative	Prerogative	n1	Prerogative	prerogative	0
,	,	,	,	,	0
and	and	cc	and	and	0
Power	Power	n1	Power	power	0
to	to	p-acp	to	to	0
Suspend	Suspend	vvb	Suspend	suspend	0
,	,	,	,	,	0
Mitigate	Mitigate	vvb	Mitigate	mitigate	0
,	,	,	,	,	0
Reduce	Reduce	vvb	Reduce	reduce	0
,	,	,	,	,	0
or	or	cc	or	or	0
Pardon	Pardon	vvb	Pardon	pardon	0
any	any	d	any	any	0
Particulars	Particulars	n2-j	Particulars	particular	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
survey	survey	n1	survey	survey	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Greenwax	Greenwax	n1	Greenwax	greenwax	0
,	,	,	,	,	0
and	and	cc	and	and	0
any	any	d	any	any	0
Fines	Fines	n2	Fines	fine	0
and	and	cc	and	and	0
Forfeitures	Forfeitures	n2	Forfeitures	forfeiture	0
upon	upon	p-acp	upon	upon	0
Penal	Penal	j	Penal	penal	0
Laws	Laws	n2	Laws	law	0
(	(	(	(	(	0
other	other	j-jn	other	other	0
then	then	cs	then	than	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
relate	relate	vvi	relate	relate	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Revenue	Revenue	n1	Revenue	revenue	0
)	)	)	)	)	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
appointing	appointing	vvg	appointing	appoint	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
for	for	p-acp	for	for	0
reducements	reducements	n2	reducements	reducement	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	cst	that	that	0
all	all	d	all	all	0
such	such	d	such	such	0
Moneys	Moneys	n2	Moneys	money	0
which	which	r-crq	which	which	0
after	after	p-acp	after	after	0
such	such	d	such	such	0
reducements	reducements	n2	reducements	reducement	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
Payable	Payable	j	Payable	payable	0
,	,	,	,	,	0
Levied	Levied	j-vvn	Levied	levy	0
,	,	,	,	,	0
or	or	cc	or	or	0
Received	Received	vvd	Received	receive	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Offi	Offi	n2	Offi	offi	0
∣	∣	sy	∣	∣	0
cers	cers	ng2	cers	cers	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Proposer	Proposer	n1	Proposer	proposer	0
.	.	.	.	.	1
That	That	cst	That	that	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
payment	payment	n1	payment	payment	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
for	for	p-acp	for	for	0
First	First	ord	First	first	0
Fruits	Fruits	n2	Fruits	fruit	0
,	,	,	,	,	0
or	or	cc	or	or	0
Twentieth	Twentieth	ord	Twentieth	twenty	0
Parts	Parts	n2	Parts	part	0
,	,	,	,	,	0
the	the	dt	the	the	0
Proposer	Proposer	n1	Proposer	proposer	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
concluded	concluded	vvn	concluded	conclude	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
Returns	Returns	vvz	Returns	return	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
lately	lately	av-j	lately	late	0
impowred	impowred	vvn	empowered	empower	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Seal	Seal	n1	Seal	seal	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
.	.	.	.	.	1
That	That	cst	That	that	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Revenue	Revenue	n1	Revenue	revenue	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
diverted	diverted	vvn	diverted	divert	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
