Beloved	Beloved	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Told	Told	vvd	Told	tell	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Preaching	Preaching	vvg	Preaching	preach	0
,	,	,	,	,	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Printing	Printing	vvg	Printing	print	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
;	;	;	;	;	0
I	I	pns11	I	i	0
Preached	Preached	vvn	Preached	preach	0
them	them	pno32	them	they	0
volun	volun	n1	volun	volun	0
∣	∣	sy	∣	∣	0
tarily	tarily	av-jn	tarily	tary	0
to	to	pc-acp	to	to	0
establish	establish	vvi	establish	establish	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Printed	Printed	vvn	Printed	print	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
constraint	constraint	n1	constraint	constraint	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
I	I	pns11	I	i	0
Preached	Preached	vvn	Preached	preach	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
others	others	n2-jn	others	other	0
misleading	misleading	vvg	misleading	mislead	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
Printed	Printed	vvn	Printed	print	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
fend	fend	vvb	fend	fend	0
the	the	pno32	thee	they	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
help	help	vvi	help	help	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
reduce	reduce	vvi	reduce	reduce	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
my	my	po11	my	my	0
Publike	Publike	j	Public	public	0
labours	labours	n2	labours	labour	0
(	(	(	(	(	0
and	and	cc	and	and	0
open	open	j	open	open	0
opposi	opposi	n1	opposi	opposi	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
from	from	p-acp	from	from	0
some	some	d	some	some	0
)	)	)	)	)	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
witnesses	witnesses	n2	witnesses	witness	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
my	my	po11	my	my	0
secret	secret	j-jn	secret	secret	0
trouble	trouble	n1	trouble	trouble	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
weakness	weakness	n1	weakness	weakness	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
from	from	p-acp	from	from	0
some	some	d	some	some	0
incapacity	incapacity	n1	incapacity	incapacity	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
desired	desired	vvd	desired	desire	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
God	God	np1	God	God	0
and	and	cc	and	and	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
conscience	conscience	n1	conscience	conscience	0
can	can	vmb	can	can	0
best	best	av-js	best	best	0
testifie	testifie	vvi	testify	testify	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
wonder	wonder	vvi	wonder	wonder	0
at	at	p-acp	at	at	0
Gods	Gods	ng1	Gods	god	0
providence	providence	n1	providence	providence	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
assert	assert	vvb	assert	assert	0
the	the	dt	the	the	0
outward	outward	j	outward	outward	0
Call	Call	n1	Call	call	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Minister	Minister	n1	Minister	minister	0
in	in	p-acp	in	in	0
Publike	Publike	j	Public	public	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
(	(	(	(	(	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
)	)	)	)	)	0
have	have	vhi	have	have	0
so	so	av	so	so	0
often	often	av	often	often	0
questioned	questioned	vvn	questioned	question	0
mine	mine	po11	mine	my	0
inward	inward	j	inward	inward	0
Call	Call	n1	Call	call	0
in	in	p-acp	in	in	0
private	private	j	private	private	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
hitherto	hitherto	av	hitherto	hitherto	0
hath	hath	vhz	hath	have	0
God	God	np1	God	God	0
brought	brought	vvn	brought	bring	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
heard	heard	vvn	herd	hear	0
what	what	r-crq	what	what	0
solicitations	solicitations	n2	solicitations	solicitation	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
profit	profit	n1	profit	profit	0
;	;	;	;	;	0
most	most	ds	most	most	0
