THou	THou	pns21	THou	thou	0
(	(	(	(	(	0
euen	euen	j	even	even	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
)	)	)	)	)	0
whome	whome	ro-crq	whom	who	0
next	next	ord	next	next	0
God	God	n1	God	god	0
,	,	,	,	,	0
my	my	po11	my	my	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
most	most	av-ds	most	most	0
enga	enga	fw-la	enga	enga	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
vnto	vnto	p-acp	unto	unto	0
;	;	;	;	;	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vnlike	vnlike	av-j	unlike	unlike	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
some	some	d	some	some	0
will	will	vmb	will	will	0
wonder	wonder	vvi	wonder	wonder	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worlds	worlds	ng1	world's	world	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
choyse	choyse	n1	choice	choice	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Patronage	Patronage	n1	Patronage	patronage	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
whose	whose	rg-crq	whose	who	0
mightinesse	mightinesse	n1	mightiness	mightiness	0
might	might	vmd	might	may	0
seeme	seeme	vvi	seem	seem	0
better	better	av-jc	better	better	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
it	it	pn31	it	it	0
;	;	;	;	;	0
especially	especially	av-j	especially	especial	0
considering	considering	vvg	considering	consider	0
such	such	d	such	such	0
a	a	dt	a	a	0
Gigantick	Gigantick	j	Gigantic	gigantic	0
troupe	troupe	n1	troop	troop	0
of	of	pp-f	of	of	0
aduersaries	aduersaries	n2	adversaries	adversary	0
haue	haue	vhb	have	have	0
ban	ban	n1	ban	ban	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
themselues	themselues	px32	themselves	themselves	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
Goliah-like	Goliah-like	j	Goliah-like	goliah-like	0
dares	dares	n2	dares	dart	0
raile	raile	vvb	rail	rail	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
hoast	hoast	n1	host	host	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
some	some	d	some	some	0
will	will	vmb	will	will	0
wonder	wonder	vvi	wonder	wonder	0
