THree	THree	crd	THree	three	0
principall	principall	j-jn	principal	principal	0
causes	causes	n2	causes	cause	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
uerend	uerend	j-jn	verend	verend	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
moued	moued	vvn	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
this	this	d	this	this	0
small	small	j	small	small	0
Labour	Labour	n1	Labour	labour	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
view	view	n1	view	view	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
the	the	dt	the	the	0
iust	iust	j	just	just	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
particular	particular	j	particular	particular	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
challen	challen	vvn	challen	challen	0
∣	∣	sy	∣	∣	0
geth	geth	n1	geth	geth	0
al	al	d	all	all	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labor	labor	n1	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
thankefull	thankefull	j	thankful	thankful	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
seruice	seruice	n1	service	service	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
the	the	dt	the	the	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
gouernment	gouernment	n1	government	government	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
imposeth	imposeth	vvz	imposeth	impose	0
a	a	dt	a	a	0
submitting	submitting	vvg	submitting	submit	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
censure	censure	n1	censure	censure	0
and	and	cc	and	and	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
lowance	lowance	n1	lowance	lowance	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
by	by	p-acp	by	by	0
right	right	j-jn	right	right	0
that	that	d	that	that	0
charge	charge	n1	charge	charge	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
longeth	longeth	vvz	longeth	long	0
;	;	;	;	;	0
wherein	wherein	c-crq	wherein	wherein	0
seeing	seeing	vvg	seeing	see	0
your	your	po22	your	your	0
authoritie	authoritie	n1	authority	authority	0
and	and	cc	and	and	0
care	care	n1	care	care	0
,	,	,	,	,	0
next	next	ord	next	next	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
dread	dread	j	dread	dread	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
steemed	steemed	vvd	esteemed	esteem	0
greatest	greatest	js	greatest	great	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
that	that	d	that	that	0
allowance	allowance	n1	allowance	allowance	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
wisdome	wisdome	n1	wisdom	wisdom	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
fit	fit	j	fit	fit	0
.	.	.	.	.	1
The	The	dt	The	the	0
last	last	ord	last	last	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
(	(	(	(	(	0
whilest	whilest	cs	whilst	while	0
he	he	pns31	he	he	0
liued	liued	vvd	lived	live	0
)	)	)	)	)	0
was	was	vbds	was	be	0
aduanced	aduanced	j-vvn	advanced	advance	0
,	,	,	,	,	0
honoured	honoured	j-vvn	honoured	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
esteemed	esteemed	vvn	esteemed	esteem	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
now	now	av	now	now	0
being	being	vbg	being	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
his	his	po31	his	his	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
and	and	cc	and	and	0
sinceritie	sinceritie	n1	sincerity	sincerity	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
false	false	j	false	false	0
accusations	accusations	n2	accusations	accusation	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
challengeth	challengeth	vvz	challengeth	challenge	0
a	a	dt	a	a	0
defence	defence	n1	defence	defence	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
hand	hand	n1	hand	hand	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
doubtlesse	doubtlesse	av-j	doubtless	doubtless	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
right	right	j-jn	right	right	0
to	to	p-acp	to	to	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
the	the	dt	the	the	0
deceased	deceased	j-vvn	deceased	decease	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
aduance	aduance	vvi	advance	advance	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
liuing	liuing	vvg	living	live	0
.	.	.	.	.	1
This	This	np1	This	This	0
as	as	p-acp	as	as	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
euer	euer	av	ever	ever	0
expecteth	expecteth	vvz	expecteth	expect	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
;	;	;	;	;	0
so	so	av	so	so	0
especially	especially	av-j	especially	especial	0
then	then	av	then	then	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
desert	desert	n1	desert	desert	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
are	are	vbr	are	be	0
mistaken	mistaken	vvn	mistaken	mistake	0
and	and	cc	and	and	0
accused	accused	vvn	accused	accuse	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
that	that	cst	that	that	0
doe	doe	vdb	do	do	0
want	want	vvi	want	want	0
all	all	d	all	all	0
.	.	.	.	.	1
I	I	pns11	I	i	0
craue	craue	vvb	crave	crave	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
Graces	Graces	n2	Graces	grace	0
fauours	fauours	n2	favours	favour	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
last	last	ord	last	last	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
;	;	;	;	;	0
That	That	cst	That	that	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
my	my	po11	my	my	0
imperfections	imperfections	n2	imperfections	imperfection	0
are	are	vbr	are	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
iust	iust	j	just	just	0
and	and	cc	and	and	0
temperate	temperate	j	temperate	temperate	0
Defence	Defence	n1	Defence	defence	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
no	no	dx	no	no	0
way	way	n1	way	way	0
diminish	diminish	vvi	diminish	diminish	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
defend	defend	vvi	defend	defend	0
:	:	:	:	:	0
all	all	d	all	all	0
allowance	allowance	n1	allowance	allowance	0
is	is	vbz	is	be	0
his	his	po31	his	his	0
due	due	n-jn	endue	due	0
;	;	;	;	;	0
the	the	dt	the	the	0
faults	faults	n2	faults	fault	0
are	are	vbr	are	be	0
mine	mine	png11	mine	i	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
humilitie	humilitie	n1	humility	humility	0
,	,	,	,	,	0
I	I	pns11	I	i	0
craue	craue	vvb	crave	crave	0
pardon	pardon	n1	pardon	pardon	0
.	.	.	.	.	1
