Dear	Dear	j-jn	Dear	dear	0
friends	friends	n2	friends	friend	0
:	:	:	:	:	0
IT	IT	pn31	IT	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
univerſall	univerſall	j	universal	universal	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
(	(	(	(	(	0
Mankinde	Mankinde	n1	Mankind	mankind	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
overſpread	overſpread	vvn	overſpread	overſpread	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
black	black	j-jn	black	black	0
Cloud	Cloud	n1	Cloud	cloud	0
of	of	pp-f	of	of	0
darkneſſe	darkneſſe	n1	darkness	darkness	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
righteouſneſſe	righteouſneſſe	n1	righteousness	righteousness	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
manifeſted	manifeſted	vvn	manifeſted	manifeſt	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
ſome	ſome	d	ſome	ſome	0
few	few	d	few	few	0
ſcattered	ſcattered	j-vvn	ſcattered	ſcatter	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
ſpring	ſpring	n1	ſpring	ſpring	0
in	in	p-acp	in	in	0
themſelves	themſelves	px32	themſelves	themſelves	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
as	as	p-acp	as	as	0
lights	lights	n2	lights	light	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
walked	walked	vvn	walked	walk	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
light	light	n1	light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
reſted	reſted	vvd	reſted	reſt	0
content	content	j	content	content	0
to	to	pc-acp	to	to	0
drink	drink	vvi	drink	drink	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
ſtreams	ſtreams	n2	ſtreams	ſtream	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
their	their	po32	their	their	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
very	very	j	very	very	0
Fountain	Fountain	n1	Fountain	fountain	0
it	it	pn31	it	it	0
ſelf	ſelf	n1	ſelf	ſelf	0
.	.	.	.	.	1
I	I	pns11	I	i	0
my	my	po11	my	my	0
ſelf	ſelf	n1	ſelf	ſelf	0
have	have	vhb	have	have	0
known	known	vvn	known	know	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
by	by	p-acp	by	by	0
tradition	tradition	n1	tradition	tradition	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
mouths	mouths	n2	mouths	mouth	0
and	and	cc	and	and	0
pen	pen	n1	pen	pen	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
:	:	:	:	:	0
I	I	pns11	I	i	0
worſhipped	worſhipped	vvd	worſhipped	worſhip	0
a	a	dt	a	a	0
God	God	n1	God	god	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
neither	neither	av-dx	neither	neither	0
knew	knew	vvd	knew	know	0
who	who	r-crq	who	who	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
that	that	cst	that	that	0
