IT	IT	pn31	IT	it	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
unknown	unknown	j	unknown	unknown	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
ſuch	ſuch	d	ſuch	ſuch	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
Satans	Satans	npg1	Satans	Satan	0
devices	devices	n2	devices	device	0
,	,	,	,	,	0
and	and	cc	and	and	0
altogether	altogether	av	altogether	altogether	0
ſtrangers	ſtrangers	n2	ſtrangers	ſtranger	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hiſtories	Hiſtories	n2	Hiſtories	hiſtory	0
of	of	pp-f	of	of	0
former	former	j	former	former	0
times	times	n2	times	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
▪	▪	▪	▪	▪	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
commeth	commeth	vvz	comes	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Idolatry	Idolatry	n1	Idolatry	idolatry	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
bitter	bitter	j	bitter	bitter	0
ſervitude	ſervitude	n1	ſervitude	ſervitude	0
and	and	cc	and	and	0
grievous	grievous	j	grievous	grievous	0
preſſures	preſſures	n2	preſſures	preſſure	0
of	of	pp-f	of	of	0
conſcience	conſcience	n1	conſcience	conſcience	0
,	,	,	,	,	0
all	all	d	all	all	0
her	her	po31	her	her	0
ſtorms	ſtorms	n2	ſtorms	ſtorm	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
over	over	p-acp	over	over	0
her	her	po31	her	her	0
head	head	n1	head	head	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
ſhe	ſhe	pns31	ſhe	ſhe	0
begins	begins	vvz	begins	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
aſſaulted	aſſaulted	vvn	aſſaulted	aſſault	0
and	and	cc	and	and	0
afflicted	afflicted	vvn	afflicted	afflict	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
before	before	a-acp	before	before	0
with	with	p-acp	with	with	0
hereſies	hereſies	n2	hereſies	hereſy	0
,	,	,	,	,	0
ſchiſmes	ſchiſmes	n2	schisms	schism	0
,	,	,	,	,	0
and	and	cc	and	and	0
home-bred	home-bred	j	homebred	homebred	0
diſturbances	diſturbances	n2	diſturbances	diſturbance	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
manifold	manifold	j	manifold	manifold	0
wiſdome	wiſdome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
over-ruling	over-ruling	j	overruling	over-ruling	0
diſpenſation	diſpenſation	n1	diſpenſation	diſpenſation	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
worketh	worketh	vvz	works	work	0
all	all	d	all	all	0
things	things	n2	things	thing	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
counſel	counſel	n1	counſel	counſel	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
will	will	n1	will	will	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Englands	Englands	npg1	Englands	England	0
lot	lot	n1	lot	lot	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
thoſe	thoſe	d	thoſe	thoſe	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
pleaſure	pleaſure	n1	pleaſure	pleaſure	0
,	,	,	,	,	0
a	a	dt	a	a	0
ſtone	ſtone	n1	ſtone	ſtone	0
of	of	pp-f	of	of	0
ſtumbling	ſtumbling	vvg	ſtumbling	ſtumble	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
rock	rock	n1	rock	rock	0
of	of	pp-f	of	of	0
offence	offence	n1	offence	offence	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
goe	goe	vvi	go	go	0
and	and	cc	and	and	0
fall	fall	vvi	fallen	fall	0
backward	backward	av-j	backward	backward	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
broken	broken	vvn	broken	break	0
;	;	;	;	;	0
&	&	cc	&	and	0
ſnared	ſnared	vvn	ſnared	ſnare	0
,	,	,	,	,	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
:	:	:	:	:	0
that	that	d	that	that	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
approved	approved	vvn	approved	approve	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
