RIght	RIght	av-jn	RIght	right	0
reverend	reverend	j-jn	reverend	reverend	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ſubject	ſubject	n-jn	ſubject	ſubject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
intituled	intituled	vvd	entitled	entitle	0
the	the	dt	the	the	0
Galateo	Galateo	np1	Galateo	Galateo	0
Eſpanol	Eſpanol	np1	Eſpanol	Eſpanol	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
furtherance	furtherance	n1	furtherance	furtherance	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
how	how	c-crq	how	how	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
men	men	n2	men	man	0
ought	ought	vmd	ought	ought	0
(	(	(	(	(	0
ordinarily	ordinarily	av-j	ordinarily	ordinary	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
themſelves	themſelves	px32	themſelves	themſelves	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
only	only	j	only	only	0
not	not	xx	not	not	0
ill	ill	av-jn	ill	ill	0
thought	thought	vvn	thought	think	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
hated	hated	vvd	hated	hate	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
very	very	av	very	very	0
acceptable	acceptable	j	acceptable	acceptable	0
,	,	,	,	,	0
and	and	cc	and	and	0
pleaſing	pleaſing	vvg	pleaſing	pleaſ	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
:	:	:	:	:	0
and	and	cc	and	and	0
conſidering	conſidering	vvg	conſidering	conſider	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
ſide	ſide	n1	ſide	ſide	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Copies	Copies	n2	Copies	copy	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
looſeth	looſeth	vvz	loses	lose	0
this	this	d	this	this	0
ſo	ſo	av	ſo	ſo	0
great	great	j	great	great	0
a	a	dt	a	a	0
good	good	j	good	good	0
.	.	.	.	.	1
I	I	pns11	I	i	0
determined	determined	vvd	determined	determine	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
charge	charge	n1	charge	charge	0
.	.	.	.	.	1
Becauſe	Becauſe	p-acp	Becauſe	becauſe	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
power	power	n1	power	power	0
,	,	,	,	,	0
or	or	cc	or	or	0
ability	ability	n1	ability	ability	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
leaſt	leaſt	ds	leaſt	leaſt	0
)	)	)	)	)	0
done	done	vdn	done	do	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
little	little	j	little	little	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
skill	skill	n1	skill	skill	0
would	would	vmd	would	will	0
reach	reach	vvi	reach	reach	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
Afterward	Afterward	av	Afterwards	afterwards	0
taking	taking	vvg	taking	take	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
conſideration	conſideration	n1	conſideration	conſideration	0
unto	unto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
beſt	beſt	js	beſt	beſt	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
cuſtome	cuſtome	n1	custom	custom	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
like	like	j	like	like	0
impreſſions	impreſſions	n2	impreſſions	impreſſion	0
of	of	pp-f	of	of	0
bookes	bookes	n2	books	book	0
;	;	;	;	;	0
my	my	po11	my	my	0
phanſy	phanſy	n1	fancy	fancy	0
then	then	av	then	then	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
better	better	av-jc	better	better	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
body	body	n1	body	body	0
then	then	av	then	then	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
with	with	p-acp	with	with	0
greater	greater	jc	greater	great	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
thought	thought	n1	thought	thought	0
,	,	,	,	,	0
deſireth	deſireth	n2	desires	desire	0
,	,	,	,	,	0
&	&	cc	&	and	0
procureth	procureth	vvz	procureth	procure	0
,	,	,	,	,	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ſame	ſame	d	ſame	ſame	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
then	then	av	then	then	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
doe	doe	vdb	do	do	0
well	well	av	well	well	0
ſee	ſee	vvi	ſee	ſee	0
,	,	,	,	,	0
&	&	cc	&	and	0
confeſſe	confeſſe	vvi	confess	confess	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
