BEloved	BEloved	j-vvn	BEloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Christian	Christian	njp	Christian	christian	0
love	love	n1	love	love	0
and	and	cc	and	and	0
charity	charity	n1	charity	charity	0
hath	hath	vhz	hath	have	0
abounded	abounded	vvn	abounded	abound	0
towards	towards	p-acp	towards	towards	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
bonds	bonds	n2	bonds	bond	0
:	:	:	:	:	0
So	So	av	So	so	0
Christian	Christian	np1	Christian	Christian	0
affection	affection	n1	affection	affection	0
bindes	bindes	vvz	binds	bind	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
some	some	d	some	some	0
tokens	tokens	n2	tokens	token	0
and	and	cc	and	and	0
testimonies	testimonies	n2	testimonies	testimony	0
of	of	pp-f	of	of	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
sicke	sicke	j	sick	sick	0
and	and	cc	and	and	0
shut	shut	vvn	shut	shut	0
up	up	a-acp	up	up	0
so	so	av	so	so	0
fast	fast	av-j	fast	fast	0
in	in	p-acp	in	in	0
close	close	j	close	close	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
liberty	liberty	n1	liberty	liberty	0
to	to	pc-acp	to	to	0
visit	visit	vvi	visit	visit	0
me	me	pno11	me	i	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
accesse	accesse	n1	access	access	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
comforts	comforts	n2	comforts	comfort	0
could	could	vmd	could	can	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
importunity	importunity	n1	importunity	importunity	0
,	,	,	,	,	0
prayers	prayers	n2	prayers	prayer	0
,	,	,	,	,	0
or	or	cc	or	or	0
petitions	petitions	n2	petitions	petition	0
be	be	vbb	be	be	0
obtained	obtained	vvn	obtained	obtain	0
:	:	:	:	:	0
then	then	av	then	then	0
,	,	,	,	,	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
holy	holy	j	holy	holy	0
Word	Word	n1	Word	word	0
the	the	dt	the	the	0
sacred	sacred	j	sacred	sacred	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Originall	Originall	j-jn	Original	original	0
tongues	tongues	n2	tongues	tongue	0
were	were	vbdr	were	be	0
allowed	allowed	vvn	allowed	allow	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
solace	solace	n1	solace	solace	0
and	and	cc	and	and	0
sole	sole	j	sole	sole	0
companions	companions	n2	companions	companion	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
)	)	)	)	)	0
your	your	po22	your	your	0
faithfull	faithfull	j	faithful	faithful	0
and	and	cc	and	and	0
fervent	fervent	j	fervent	fervent	0
prayers	prayers	n2	prayers	prayer	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
powred	powred	vvd	poured	pour	0
out	out	av	out	out	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
behalfe	behalfe	n1	behalf	behalf	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
my	my	po11	my	my	0
chiefest	chiefest	js-jn	chiefest	chief	0
outward	outward	j	outward	outward	0
help	help	n1	help	help	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
vertue	vertue	n1	virtue	virtue	0
&	&	cc	&	and	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
piercing	piercing	vvg	piercing	pierce	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
double	double	j-jn	double	double	0
doores	doores	n2	doors	door	0
,	,	,	,	,	0
lockes	lockes	n2	locks	lock	0
and	and	cc	and	and	0
bolts	bolts	n2	bolts	bolt	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
which	which	r-crq	which	which	0
no	no	dx	no	no	0
keyes	keyes	n2	keys	key	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
or	or	cc	or	or	0
silver	silver	n1	silver	silver	0
could	could	vmd	could	can	0
make	make	vvi	make	make	0
way	way	n1	way	way	0
or	or	cc	or	or	0
enterance	enterance	n1	entrance	entrance	0
,	,	,	,	,	0
did	did	vdd	did	do	0
most	most	av-ds	most	most	0
sensibly	sensibly	av-j	sensibly	sensible	0
reach	reach	vvi	reach	reach	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
lively	lively	j	lively	lively	0
feeling	feeling	n-vvg	feeling	feel	0
,	,	,	,	,	0
and	and	cc	and	and	0
sweet	sweet	j	sweet	sweet	0
fruition	fruition	n1	fruition	fruition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
loosening	loosening	n-vvg	loosening	loosen	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
strait	strait	j	strait	strait	0
bands	bands	n2	bans	band	0
,	,	,	,	,	0
and	and	cc	and	and	0
imprisonment	imprisonment	n1	imprisonment	imprisonment	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preserving	preserving	n-vvg	preserving	preserve	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
and	and	cc	and	and	0
recovery	recovery	n1	recovery	recovery	0
