THere	THere	pc-acp	THere	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
man	man	n1	man	man	0
this	this	d	this	this	0
day	day	n1	day	day	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
more	more	av-dc	more	more	0
concernes	concernes	vvz	concerns	concern	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
this	this	d	this	this	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Hoſts	Hoſts	n2	Hoſts	hoſt	0
preſented	preſented	vvn	preſented	preſent	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
due	due	j-jn	due	due	0
luſtre	luſtre	n1	luſtre	luſtre	0
&	&	cc	&	and	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
then	then	cs	then	than	0
your	your	po22	your	your	0
Excellencie	Excellencie	n1	Excellency	excellency	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
honoured	honoured	vvn	honoured	honour	0
to	to	pc-acp	to	to	0
ſtand	ſtand	vvi	ſtand	ſtand	0
up	up	a-acp	up	up	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fore	fore	a-acp	before	fore	0
front	front	n1	front	front	0
to	to	pc-acp	to	to	0
maintain	maintain	vvi	maintain	maintain	0
his	his	po31	his	his	0
cauſe	cauſe	n1	cauſe	cauſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
cauſe	cauſe	n1	cauſe	cauſe	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
even	even	av	even	even	0
put	put	vvn	put	put	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
this	this	d	this	this	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
name	name	n1	name	name	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Hoſts	Hoſts	n2	Hoſts	hoſt	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
every	every	d	every	every	0
Souldier	Souldier	n1	Soldier	soldier	0
may	may	vmb	may	may	0
juſtly	juſtly	av-j	juſtly	juſt	0
glory	glory	vvi	glory	glory	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
himſelfe	himſelfe	px31	himself	himself	0
ſeems	ſeems	vvz	ſeems	ſeem	0
to	to	pc-acp	to	to	0
affect	affect	vvi	affect	affect	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
cauſeth	cauſeth	vvz	cauſeth	cauſ	0
himſelfe	himſelfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
ſir-named	ſir-named	j	surnamed	surnamed	0
THE	THE	dt	THE	the	0
LORD	LORD	n1	LORD	lord	0
OF	OF	pp-f	OF	of	0
HOSTS	HOSTS	n2	HOSTS	host	0
.	.	.	.	.	1
The	The	dt	The	the	0
beams	beams	n2	beams	beam	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
glorious	glorious	j	glorious	glorious	0
name	name	n1	name	name	0
