I	I	pns11	I	i	0
Should	Should	vmd	Should	shall	0
exceed	exceed	vvi	exceed	exceed	0
an	an	dt	and	a	0
Epistle	Epistle	n1	Epistle	epistle	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
severall	severall	j	several	several	0
spheres	spheres	n2	spheres	sphere	0
of	of	pp-f	of	of	0
activity	activity	n1	activity	activity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
yee	yee	pn22	ye	you	0
have	have	vhb	have	have	0
jeoparded	jeoparded	vvn	jeoparded	jeopard	0
your	your	po22	your	your	0
lives	lives	n2	lives	life	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
high	high	j	high	high	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Field	Field	n1	Field	field	0
;	;	;	;	;	0
Some	Some	d	Some	some	0
of	of	pp-f	of	of	0
yee	yee	pn22	ye	you	0
offered	offered	vvd	offered	offer	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
willingly	willingly	av-j	willingly	willing	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
people	people	n1	people	people	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
great	great	j	great	great	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
the	the	dt	the	the	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
sought	sought	vvn	sought	seek	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
have	have	vhb	have	have	0
acted	acted	vvn	acted	act	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
dignity	dignity	n1	dignity	dignity	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
Mordeca	Mordeca	np1	Mordeca	Mordeca	0
•	•	•	•	•	0
for	for	c-acp	for	for	0
this	this	d	this	this	0
?	?	?	?	?	1
You	You	pn22	You	you	0
that	that	cst	that	that	0
work	work	vvb	work	work	0
both	both	d	both	both	0
for	for	p-acp	for	for	0
God	God	np1	God	God	0
&	&	cc	&	and	0
your	your	po22	your	your	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
recorded	recorded	vvn	recorded	record	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Chronicle	Chronicle	n1	Chronicle	chronicle	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
&	&	cc	&	and	0
Earth	Earth	n1	Earth	earth	0
:	:	:	:	:	0
And	And	cc	And	and	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
eminent	eminent	j	eminent	eminent	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
have	have	vhb	have	have	0
sate	sate	vvn	sat	sit	0
out	out	av	out	out	0
the	the	dt	the	the	0
Aposta	Aposta	fw-mi	Aposta	aposta	0
•	•	•	•	•	0
ies	ies	np2-n	ies	ie	0
,	,	,	,	,	0
and	and	cc	and	and	0
unfortunate	unfortunate	j	unfortunate	unfortunate	0
failings	failings	n2-vvg	failings	failing	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
(	(	(	(	(	0
preserved	preserved	vvn	preserved	preserve	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
They	They	pns32	They	they	0
went	went	vvd	went	go	0
out	out	av	out	out	0
from	from	p-acp	from	from	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
yee	yee	pn22	ye	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
such	such	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
quality	quality	n1	quality	quality	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
employment	employment	n1	employment	employment	0
,	,	,	,	,	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
may	may	vmb	may	may	0
learne	learne	vvi	learn	learn	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
both	both	d	both	both	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
and	and	cc	and	and	0
Statesmen	Statesmen	n2	Statesmen	statesman	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
work	work	n1	work	work	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
daily	daily	j	daily	daily	0
opening	opening	n-vvg	opening	open	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
secrets	secrets	n2-jn	secrets	secret	0
of	of	pp-f	of	of	0
affairs	affairs	n2	affairs	affair	0
before	before	p-acp	before	before	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
both	both	d	both	both	0
religious	religious	j	religious	religious	0
and	and	cc	and	and	0
civill	civill	j	civil	civil	0
,	,	,	,	,	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
your	your	po22	your	your	0
house	house	n1	house	house	0
a	a	dt	a	a	0
Senate	Senate	n1	Senate	senate	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Temple	Temple	n1	Temple	temple	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
spiritually	spiritually	av-j	spiritually	spiritual	0
ye	ye	pn22	you	you	0
work	work	vvb	work	work	0
in	in	p-acp	in	in	0
State-affairs	State-affairs	n2	State-affairs	state-affair	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
act	act	n1	act	act	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
higher	higher	jc	higher	high	0
capacity	capacity	n1	capacity	capacity	0
then	then	av	then	then	0
common	common	j	common	common	0
Statesmen	Statesmen	n2	Statesmen	statesman	0
,	,	,	,	,	0
or	or	cc	or	or	0
former	former	j	former	former	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
.	.	.	.	.	1
My	My	po11	My	my	0
prayer	prayer	n1	prayer	prayer	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
That	That	cst	That	that	0
ye	ye	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
stedfast	stedfast	j	steadfast	steadfast	0
and	and	cc	and	and	0
unmoveable	unmoveable	j-u	unmoveable	moveable	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
abounding	abounding	vvg	abounding	abound	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
your	your	po22	your	your	0
labour	labour	n1	labour	labour	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
vain	vain	j	vain	vain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
