Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
ſeverall	ſeverall	j	several	several	0
pieces	pieces	n2	pieces	piece	0
thus	thus	av	thus	thus	0
rallied	rallied	vvn	rallied	rally	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
never	never	av-x	never	never	0
writ	writ	vvn	writ	write	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
own	own	d	own	own	0
power	power	n1	power	power	0
,	,	,	,	,	0
or	or	cc	or	or	0
appointment	appointment	n1	appointment	appointment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
commonly	commonly	av-j	commonly	common	0
ſome	ſome	d	ſome	ſome	0
juncture	juncture	n1	juncture	juncture	0
of	of	pp-f	of	of	0
Providence	Providence	n1	Providence	providence	0
,	,	,	,	,	0
and	and	cc	and	and	0
ſomething	ſomething	pi	ſomething	ſomething	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Spirit	Spirit	n1	Spirit	spirit	0
not	not	xx	not	not	0
my	my	po11	my	my	0
own	own	d	own	own	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
obſerved	obſerved	vvd	obſerved	obſerve	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
write	write	vvi	write	write	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
,	,	,	,	,	0
my	my	po11	my	my	0
Springes	Springes	n2	Springs	spring	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
end	end	vvi	end	end	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
finiſhed	finiſhed	vvn	finiſhed	finiſh	0
this	this	d	this	this	0
Teſtimony	Teſtimony	n1	Teſtimony	teſtimony	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	c-acp	for	for	0
ſomething	ſomething	pi	ſomething	ſomething	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
here	here	av	here	here	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
ſure	ſure	j	ſure	ſure	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
enough	enough	d	enough	enough	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
ſelfe	ſelfe	n1	self	self	0
;	;	;	;	;	0
Thus	Thus	av	Thus	thus	0
is	is	vbz	is	be	0
Gods	Gods	n2	Gods	god	0
appearing	appearing	vvg	appearing	appear	0
while	while	n1	while	while	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
Christs	Christs	npg1	Christs	Christ	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
ſin	ſin	n1	ſin	ſin	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
