MADAM	MADAM	n1	MADAM	madam	0
,	,	,	,	,	0
FILIALL	FILIALL	j	FILIAL	filial	0
duty	duty	n1	duty	duty	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
binding	binding	vvg	binding	bind	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
owe	owe	vvi	owe	owe	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
beſt	beſt	js	beſt	beſt	0
of	of	pp-f	of	of	0
Mothers	Mothers	ng1	Mother's	mother	0
;	;	;	;	;	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
diſcharge	diſcharge	n1	diſcharge	diſcharge	0
thereof	thereof	av	thereof	thereof	0
I	I	pns11	I	i	0
obſerve	obſerve	vvb	obſerve	obſerve	0
not	not	xx	not	not	0
the	the	dt	the	the	0
uſuall	uſuall	j	usual	usual	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
ſonnes	ſonnes	n2	sons	son	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
leſſe	leſſe	dc	less	less	0
to	to	pc-acp	to	to	0
blame	blame	vvi	blame	blame	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
obligation	obligation	n1	obligation	obligation	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
ſo	ſo	av	ſo	ſo	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
mine	mine	png11	mine	i	0
:	:	:	:	:	0
Therefore	Therefore	av	Therefore	therefore	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
doe	doe	vdb	do	do	0
preſume	preſume	vvi	preſume	preſume	0
to	to	pc-acp	to	to	0
imprint	imprint	vvi	imprint	imprint	0
your	your	po22	your	your	0
Ladiſhips	Ladiſhips	ng1	Ladyships	ladyships	0
name	name	n1	name	name	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Frontiſpiece	Frontiſpiece	n1	Frontiſpiece	frontiſpiece	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
proffer	proffer	vvi	proffer	proffer	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
Dedication	Dedication	n1	Dedication	dedication	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
capacity	capacity	n1	capacity	capacity	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Ladies	Ladies	n2	Ladies	lady	0
;	;	;	;	;	0
my	my	po11	my	my	0
boldneſſe	boldneſſe	n1	boldness	boldness	0
therein	therein	av	therein	therein	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
excuſable	excuſable	j	excuſable	excuſable	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
perſon	perſon	n1	perſon	perſon	0
the	the	dt	the	the	0
moſt	moſt	av-ds	moſt	moſt	0
vertuous	vertuous	j	virtuous	virtuous	0
Woman	Woman	n1	Woman	woman	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
intreated	intreated	vvn	entreated	entreat	0
to	to	pc-acp	to	to	0
Patronize	Patronize	vvi	Patronise	patronize	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
learnedeſt	learnedeſt	js	learnedeſt	learnedeſt	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
happily	happily	av-j	happily	happy	0
be	be	vbi	be	be	0
peruſed	peruſed	vvn	peruſed	peruſe	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
confident	confident	j	confident	confident	0
(	(	(	(	(	0
Madam	Madam	n1	Madam	madam	0
)	)	)	)	)	0
that	that	cst	that	that	0
your	your	po22	your	your	0
gracious	gracious	j	gracious	gracious	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Preſent	Preſent	n1	Preſent	preſent	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
eaſily	eaſily	av-j	eaſily	eaſy	0
obtainable	obtainable	j	obtainable	obtainable	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
grand-child	grand-child	n1	grandchild	grandchild	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
thus	thus	av	thus	thus	0
make	make	vvb	make	make	0
tender	tender	j	tender	tender	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ſheltered	ſheltered	vvn	ſheltered	ſhelter	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
favor	favor	n1	favour	favour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
protection	protection	n1	protection	protection	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Ladiſhip	Ladiſhip	n1	Ladyship	ladyship	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
unwelcome	unwelcome	j	unwelcome	unwelcome	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
proceeding	proceeding	vvg	proceeding	proceed	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
braines	braines	n2	brains	brain	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whoſe	whoſe	rg-crq	whoſe	whoſe	0
body	body	n1	body	body	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
yours	yours	png22	yours	you	0
by	by	p-acp	by	by	0
generation	generation	n1	generation	generation	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
moſt	moſt	av-ds	moſt	moſt	0
