Right	Right	av-jn	Right	right	0
Reverend	Reverend	n-jn	Reverend	reverend	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
many	many	d	many	many	0
faithfull	faithfull	j	faithful	faithful	0
servants	servants	n2	servants	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
long	long	av-j	long	long	0
agoe	agoe	av	ago	ago	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
heare	heare	vvb	hear	hear	0
;	;	;	;	;	0
Yet	Yet	av	Yet	yet	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
mercies	mercies	n2	mercies	mercy	0
reserved	reserved	vvn	reserved	reserve	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
Generation	Generation	n1	Generation	generation	0
,	,	,	,	,	0
and	and	cc	and	and	0
denied	denied	vvn	denied	deny	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Ancestors	Ancestors	n2	Ancestors	ancestor	0
,	,	,	,	,	0
that	that	cst	that	that	0
Divines	Divines	n2-jn	Divines	divine	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
gathered	gathered	vvn	gathered	gather	0
and	and	cc	and	and	0
continued	continued	vvd	continued	continue	0
together	together	av	together	together	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
consult	consult	vvi	consult	consult	0
peaceably	peaceably	av-j	peaceably	peaceable	0
and	and	cc	and	and	0
freely	freely	av-j	freely	free	0
concerning	concerning	vvg	concerning	concern	0
a	a	dt	a	a	0
Reformation	Reformation	n1	Reformation	reformation	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
in	in	p-acp	in	in	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
Discipline	Discipline	n1	Discipline	discipline	0
,	,	,	,	,	0
and	and	cc	and	and	0
Government	Government	n1	Government	government	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
a	a	dt	a	a	0
mercy	mercy	n1	mercy	mercy	0
yet	yet	av	yet	yet	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
that	that	cst	that	that	0
two	two	crd	two	two	0
Nations	Nations	n2	Nations	nation	0
formerly	formerly	av-j	formerly	former	0
at	at	p-acp	at	at	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
distance	distance	n1	distance	distance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
form	form	n1	from	form	0
of	of	pp-f	of	of	0
publike	publike	j	public	public	0
Worship	Worship	n1	Worship	worship	0
and	and	cc	and	and	0
Churchgovernment	Churchgovernment	n1	Churchgovernment	churchgovernment	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
mutuall	mutuall	j	mutual	mutual	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
happines	happines	n1	happiness	happiness	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
further	further	jc	further	further	0
endearing	endearing	n-vvg	endearing	endear	0
of	of	pp-f	of	of	0
each	each	d	each	each	0
to	to	p-acp	to	to	0
other	other	n-jn	other	other	0
)	)	)	)	)	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
good	good	j	good	good	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
now	now	av	now	now	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
one	one	crd	one	one	0
Directory	Directory	n1	Directory	directory	0
of	of	pp-f	of	of	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
good	good	j	good	good	0
progresse	progresse	n1	progress	progress	0
advanced	advanced	vvn	advanced	advance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
Confession	Confession	n1	Confession	confession	0
of	of	pp-f	of	of	0
Faith	Faith	n1	Faith	faith	0
