THere	THere	pc-acp	THere	there	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
preſented	preſented	vvn	preſented	preſent	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
a	a	dt	a	a	0
Remonſtrance	Remonſtrance	n1	Remonſtrance	remonſtrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
deplorable	deplorable	j	deplorable	deplorable	0
eſtate	eſtate	n1	eſtate	eſtate	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
lamentable	lamentable	j	lamentable	lamentable	0
Condition	Condition	n1	Condition	condition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Clergy	Clergy	n1	Clergy	clergy	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
occaſioned	occaſioned	vvn	occaſioned	occaſion	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
preſent	preſent	j	preſent	preſent	0
Rebellion	Rebellion	n1	Rebellion	rebellion	0
;	;	;	;	;	0
The	The	dt	The	the	0
Remonſtrants	Remonſtrants	n2	Remonſtrants	remonſtrant	0
deſiring	deſiring	vvg	deſiring	deſire	0
our	our	po12	our	our	0
Letters	Letters	n2	Letters	letter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Repreſenting	Repreſenting	vvg	Repreſenting	repreſent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ſame	ſame	d	ſame	ſame	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
Houſe	Houſe	n1	Houſe	houſe	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
;	;	;	;	;	0
unto	unto	p-acp	unto	unto	0
whoſe	whoſe	rg-crq	whoſe	whoſe	0
grave	grave	n1	grave	grave	0
and	and	cc	and	and	0
wiſe	wiſe	j	wiſe	wiſe	0
conſideration	conſideration	n1	conſideration	conſideration	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
apply	apply	vvi	apply	apply	0
themſelves	themſelves	px32	themſelves	themſelves	0
.	.	.	.	.	1
We	We	pns12	We	we	0
ſhall	ſhall	vmb	ſhall	ſhall	0
not	not	xx	not	not	0
need	need	vvi	need	need	0
to	to	pc-acp	to	to	0
ſay	ſay	vvi	ſay	ſay	0
much	much	av-d	much	much	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
much	much	av-d	much	much	0
ſpeaking	ſpeaking	vvg	ſpeaking	ſpeak	0
it	it	pn31	it	it	0
ſelf	ſelf	n1	ſelf	ſelf	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
experience	experience	n1	experience	experience	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
ſence	ſence	n1	sense	sense	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
diſtracted	diſtracted	j-vvn	diſtracted	diſtract	0
State	State	n1	State	state	0
,	,	,	,	,	0
gives	gives	vvz	gives	give	0
us	us	pno12	us	we	0
great	great	j	great	great	0
aſſurance	aſſurance	n1	aſſurance	aſſurance	0
,	,	,	,	,	0
that	that	cst	that	that	0
