SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
MAy	MAy	vmb	MAy	may	0
it	it	pn31	it	it	0
pleaſe	pleaſe	vvi	pleaſe	pleaſe	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Saul	Saul	np1	Saul	Saul	0
that	that	cst	that	that	0
great	great	j	great	great	0
Perſecutor	Perſecutor	n1	Perſecutor	perſecutor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
new	new	j	new	new	0
beginning	beginning	n1	beginning	beginning	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
,	,	,	,	,	0
that	that	cst	that	that	0
enemy	enemy	n1	enemy	enemy	0
who	who	r-crq	who	who	0
breathed	breathed	vvd	breathed	breathe	0
out	out	av	out	out	0
threatnings	threatnings	n2-vvg	threatenings	threaten	0
and	and	cc	and	and	0
ſlaughter	ſlaughter	n1	ſlaughter	ſlaughter	0
againſt	againſt	p-acp	againſt	againſt	0
the	the	dt	the	the	0
diſciples	diſciples	n2	diſciples	diſciple	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
caſt	caſt	vvn	caſt	caſt	0
down	down	a-acp	down	down	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
horſe	horſe	n1	horſe	horſe	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
pride	pride	n1	pride	pride	0
was	was	vbds	was	be	0
quelled	quelled	vvn	quelled	quell	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
might	might	n1	might	might	0
and	and	cc	and	and	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
order	order	n1	order	order	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
Ananias	Ananias	np1	Ananias	Ananias	0
,	,	,	,	,	0
Acts	Acts	vvz	Acts	act	0
9.	9.	crd	9.	9	0
11.	11.	crd	11.	11.	1
True	True	j	True	true	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Ananias	Ananias	np1	Ananias	Ananias	0
anſwered	anſwered	vvd	anſwered	anſwer	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
jealous	jealous	j	jealous	jealous	0
and	and	cc	and	and	0
fearefull	fearefull	j	fearful	fearful	0
of	of	pp-f	of	of	0
Saul	Saul	np1	Saul	Saul	0
,	,	,	,	,	0
becauſe	becauſe	c-acp	becauſe	becauſe	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
heard	heard	vvn	herd	hear	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
much	much	d	much	much	0
evill	evill	j-jn	evil	evil	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
at	at	p-acp	at	at	0
Jeruſalem	Jeruſalem	np1	Jeruſalem	Jeruſalem	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	0
v.	v.	n1	v.	v.	0
But	But	p-acp	But	but	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
replyed	replyed	vvd	replied	reply	0
no	no	dx	no	no	0
more	more	dc	more	more	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
ſhould	ſhould	vmd	ſhould	ſhould	0
not	not	xx	not	not	0
feare	feare	vvi	fear	fear	0
nor	nor	ccx	nor	nor	0
miſtruſt	miſtruſt	vvi	miſtruſt	miſtruſt	0
him	him	pno31	him	he	0
,	,	,	,	,	0
becauſe	becauſe	c-acp	becauſe	becauſe	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
