Right	Right	n-jn	Right	right	0
dearly	dearly	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
THis	THis	d	THis	this	0
poore	poore	j	poor	poor	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
the	the	dt	the	the	0
firſt-fruits	firſt-fruits	n2	firstfruits	firstfruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
muſt	muſt	crd	muſt	muſt	0
needs	needs	n2	needs	need	0
paſſe	paſſe	vvi	pass	pass	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
view	view	n1	view	view	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ſpeciall	ſpeciall	j	special	special	0
intereſt	intereſt	n1	intereſt	intereſt	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
your	your	po22	your	your	0
ſelves	ſelves	n2	ſelves	ſelve	0
were	were	vbdr	were	be	0
pleaſed	pleaſed	vvn	pleaſed	pleaſ	0
many	many	d	many	many	0
years	years	n2	years	year	0
ſince	ſince	c-acp	ſince	ſince	0
to	to	pc-acp	to	to	0
chuſe	chuſe	vvi	choose	choose	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
Paſtor	Paſtor	n1	Paſtor	paſtor	0
to	to	pc-acp	to	to	0
feed	feed	vvi	feed	feed	0
your	your	po22	your	your	0
ſouls	ſouls	n2	ſouls	ſoul	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
alſo	alſo	av	alſo	alſo	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
the	the	dt	the	the	0
work	work	n1	work	work	0
it	it	pn31	it	it	0
ſelf	ſelf	n1	ſelf	ſelf	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
firſt	firſt	ord	firſt	firſt	0
collected	collected	vvn	collected	collect	0
,	,	,	,	,	0
and	and	cc	and	and	0
compoſed	compoſed	vvd	compoſed	compoſe	0
purpoſely	purpoſely	av	purpoſely	purpoſe	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
ſervice	ſervice	n1	ſervice	ſervice	0
and	and	cc	and	and	0
uſe	uſe	vvi	uſe	uſe	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
above	above	p-acp	above	above	0
twenty	twenty	crd	twenty	twenty	0
years	years	n2	years	year	0
ſince	ſince	p-acp	ſince	ſince	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
was	was	vbds	was	be	0
pleaſed	pleaſed	vvn	pleaſed	pleaſ	0
to	to	pc-acp	to	to	0
open	open	vvi	open	open	0
a	a	dt	a	a	0
doore	doore	n1	door	door	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Goſpelof	Goſpelof	n1	Goſpelof	goſpelof	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
amongſt	amongſt	p-acp	amongſt	amongſt	0
you	you	pn22	you	you	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
,	,	,	,	,	0
though	though	cs	though	though	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
weakneſſe	weakneſſe	n1	weakness	weakness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
endeavoured	endeavoured	vvn	endeavoured	endeavour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
utmoſt	utmoſt	j	utmoſt	utmoſt	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
power	power	n1	power	power	0
,	,	,	,	,	0
I	I	pns11	I	i	0
bleſſe	bleſſe	vvb	bless	bless	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
need	need	vvb	need	need	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
witneſſes	witneſſes	n2	witneſſes	witneſſe	0
then	then	cs	then	than	0
yourſelves	yourſelves	px22	yourſelves	yourſelves	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
ſought	ſought	vvn	ſought	ſought	0
yours	yours	png22	yours	you	0
but	but	p-acp	but	but	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
indeed	indeed	av	indeed	indeed	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
firſt	firſt	ord	firſt	firſt	0
entrance	entrance	n1	entrance	entrance	0
amongſt	amongſt	p-acp	amongſt	amongſt	0
you	you	pn22	you	you	0
reſolved	reſolved	vvd	reſolved	reſolve	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Apoſtle	Apoſtle	n1	Apoſtle	apoſtle	0
,	,	,	,	,	0
very	very	av	very	very	0
gladly	gladly	av-j	gladly	glad	0
to	to	pc-acp	to	to	0
ſpend	ſpend	vvi	ſpend	ſpend	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
spent	spent	vvn	spent	spend	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
though	though	cs	though	though	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
abundantly	abundantly	av-j	abundantly	abundant	0
I	I	pns11	I	i	0
loved	loved	vvd	loved	love	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
leſſe	leſſe	av-dc	less	less	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
loved	loved	vvn	loved	love	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Amongſt	Amongſt	p-acp	Amongſt	amongſt	0
other	other	j-jn	other	other	0
wayes	wayes	n2	ways	way	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ſtudied	ſtudied	vvn	ſtudied	ſtudy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ſerviceable	ſerviceable	j	ſerviceable	ſerviceable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
ſouls	ſouls	n2	ſouls	ſoul	0
,	,	,	,	,	0
it	it	pn31	it	it	0
pleaſed	pleaſed	vvd	pleaſed	pleaſ	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
undertake	undertake	vvi	undertake	undertake	0
the	the	dt	the	the	0
unfolding	unfolding	n-vvg	unfolding	unfold	0
of	of	pp-f	of	of	0
ſuch	ſuch	d	ſuch	ſuch	0
paſſages	paſſages	n2	paſſages	paſſage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
as	as	a-acp	as	as	0
were	were	vbdr	were	be	0
ſomewhat	ſomewhat	av	ſomewhat	ſomewhat	0
more	more	av-dc	more	more	0
difficult	difficult	j	difficult	difficult	0
and	and	cc	and	and	0
obſcure	obſcure	j	obſcure	obſcure	0
to	to	p-acp	to	to	0
ſuch	ſuch	d	ſuch	ſuch	0
as	as	c-acp	as	as	0
would	would	vmd	would	will	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
partake	partake	vvi	partake	partake	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
therein	therein	av	therein	therein	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
end	end	n1	end	end	0
I	I	pns11	I	i	0
propounded	propounded	vvd	propounded	propound	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
ſelf	ſelf	n1	ſelf	ſelf	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
was	was	vbds	was	be	0
,	,	,	,	,	0
both	both	d	both	both	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
ſelf	ſelf	n1	ſelf	ſelf	0
might	might	vmd	might	may	0
hereby	hereby	av	hereby	hereby	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
enabled	enabled	vvn	enabled	enable	0
in	in	p-acp	in	in	0
publick	publick	j	public	public	0
alſo	alſo	av	alſo	alſo	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
counſell	counſell	n1	counsel	counsel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
occaſion	occaſion	n1	occaſion	occaſion	0
was	was	vbds	was	be	0
offered	offered	vvn	offered	offer	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
likewiſe	likewiſe	av	likewiſe	likewiſe	0
might	might	vmd	might	may	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
advantage	advantage	n1	advantage	advantage	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
exerciſe	exerciſe	vvi	exerciſe	exerciſe	0
your	your	po22	your	your	0
ſelves	ſelves	n2	ſelves	ſelve	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
private	private	j	private	private	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
thoſe	thoſe	d	thoſe	thoſe	0
ſacred	ſacred	j	ſacred	ſacred	0
volumes	volumes	n2	volumes	volume	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
having	having	vhg	having	have	0
for	for	p-acp	for	for	0
ſeverall	ſeverall	j	several	several	0
