RIGHT	RIGHT	av-jn	RIGHT	right	0
HONORABLE	HONORABLE	j	HONOURABLE	honourable	0
,	,	,	,	,	0
ACcording	ACcording	vvg	ACcording	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Fame	Fame	n1	Fame	fame	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
have	have	vhb	have	have	0
we	we	pns12	we	we	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
a	a	dt	a	a	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
of	of	pp-f	of	of	0
tenderneſſe	tenderneſſe	n1	tenderness	tenderness	0
and	and	cc	and	and	0
compaſsion	compaſsion	n1	compaſsion	compaſsion	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
oppreſſed	oppreſſed	j-vvn	oppreſſed	oppreſ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
ever	ever	av	ever	ever	0
ſprings	ſprings	vvz	ſprings	ſpring	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
courage	courage	n1	courage	courage	0
and	and	cc	and	and	0
fortitude	fortitude	n1	fortitude	fortitude	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
heart	heart	n1	heart	heart	0
reſolute	reſolute	j	reſolute	reſolute	0
to	to	pc-acp	to	to	0
ſuppreſſe	ſuppreſſe	vvi	suppress	suppress	0
the	the	dt	the	the	0
Oppreſſor	Oppreſſor	n1	Oppreſſor	oppreſſor	0
,	,	,	,	,	0
be	be	vbb	be	be	0
his	his	po31	his	his	0
power	power	n1	power	power	0
and	and	cc	and	and	0
policie	policie	n1	policy	policy	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
,	,	,	,	,	0
whilſt	whilſt	cs	while	while	0
men	men	n2	men	man	0
unſenſible	unſenſible	j	unſenſible	unſenſible	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cauſe	cauſe	n1	cauſe	cauſe	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Needy	Needy	j	Needy	needy	0
,	,	,	,	,	0
ever	ever	av	ever	ever	0
ſtand	ſtand	vvb	ſtand	ſtand	0
in	in	p-acp	in	in	0
readineſſe	readineſſe	n1	readiness	readiness	0
to	to	p-acp	to	to	0
ſide	ſide	n1	ſide	ſide	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ſtrongeſt	ſtrongeſt	js	ſtrongeſt	ſtrongeſt	0
partie	partie	n1	party	party	0
,	,	,	,	,	0
and	and	cc	and	and	0
ſo	ſo	av	ſo	ſo	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
occaſion	occaſion	n1	occaſion	occaſion	0
ſerves	ſerves	vvz	ſerves	ſerve	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
become	become	vvi	become	become	0
one	one	pi	one	one	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
cruell	cruell	j	cruel	cruel	0
,	,	,	,	,	0
venting	venting	vvg	venting	vent	0
the	the	dt	the	the	0
ſame	ſame	d	ſame	ſame	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
advantage	advantage	n1	advantage	advantage	0
can	can	vmb	can	can	0
eaſily	eaſily	av-j	eaſily	eaſy	0
