WHen	WHen	c-crq	WHen	when	0
firſt	firſt	ord	firſt	firſt	0
it	it	pn31	it	it	0
pleaſed	pleaſed	vvd	pleaſed	pleaſ	0
You	You	pn22	You	you	0
to	to	pc-acp	to	to	0
require	require	vvi	require	require	0
our	our	po12	our	our	0
ſervice	ſervice	n1	ſervice	ſervice	0
in	in	p-acp	in	in	0
Preaching	Preaching	vvg	Preaching	preach	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
late	late	j	late	late	0
Publike	Publike	j	Public	public	0
Faſt	Faſt	av-j	Faſt	faſt	0
,	,	,	,	,	0
we	we	pns12	we	we	0
reſolved	reſolved	vvd	reſolved	reſolve	0
to	to	pc-acp	to	to	0
cloſe	cloſe	vvi	cloſe	cloſe	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
againſt	againſt	p-acp	againſt	againſt	0
all	all	d	all	all	0
Clouds	Clouds	n2	Clouds	cloud	0
of	of	pp-f	of	of	0
diſcouragement	diſcouragement	n1	diſcouragement	diſcouragement	0
ariſing	ariſing	vvg	ariſing	ariſe	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
unworthineſſe	unworthineſſe	n1	unworthiness	unworthiness	0
and	and	cc	and	and	0
inſufficiency	inſufficiency	n1	inſufficiency	inſufficiency	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
ſet	ſet	vvi	ſet	ſet	0
our	our	po12	our	our	0
ſelves	ſelves	n2	ſelves	ſelve	0
wholly	wholly	av-jn	wholly	whole	0
to	to	pc-acp	to	to	0
ſeek	ſeek	vvi	ſeek	ſeek	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
would	would	vmd	would	will	0
command	command	vvi	command	command	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
ſuch	ſuch	d	ſuch	ſuch	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ſuch	ſuch	d	ſuch	ſuch	0
an	an	dt	and	a	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
awfull	awfull	j	awful	awful	0
Aſsembly	Aſsembly	n1	Aſsembly	aſsembly	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
totall	totall	j	total	total	0
deniall	deniall	n1	denial	denial	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Pſalm	Pſalm	n1	Pſalm	pſalm	0
.	.	.	.	.	1
82.	82.	crd	82.	82.	0
ſelves	ſelves	n2	ſelves	ſelve	0
.	.	.	.	.	1
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
we	we	pns12	we	we	0
ſhould	ſhould	vmd	ſhould	ſhould	0
have	have	vhi	have	have	0
beene	beene	vbn	been	be	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
beene	beene	vbn	been	be	0
ſpared	ſpared	vvn	ſpared	ſpare	0
this	this	d	this	this	0
expoſing	expoſing	vvg	expoſing	expoſe	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
ſelves	ſelves	n2	ſelves	ſelve	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
view	view	n1	view	view	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
You	You	pn22	You	you	0
appointing	appointing	vvg	appointing	appoint	0
other	other	j-jn	other	other	0
wiſe	wiſe	n1	wiſe	wiſe	0
,	,	,	,	,	0
we	we	pns12	we	we	0
hold	hold	vvb	hold	hold	0
it	it	pn31	it	it	0
equall	equall	j-jn	equal	equal	0
that	that	cst	that	that	0
the	the	dt	the	the	0
joynt	joynt	j	joint	joint	0
entreaty	entreaty	n1	entreaty	entreaty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Repreſentative	Repreſentative	n1	Repreſentative	repreſentative	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Communalty	Communalty	n1	Communality	communality	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
ſhould	ſhould	vmd	ſhould	ſhould	0
be	be	vbi	be	be	0
regarded	regarded	vvn	regarded	regard	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
choſen	choſen	vvn	choſen	choſen	0
rather	rather	av-c	rather	rather	0
that	that	d	that	that	0
others	others	n2-jn	others	other	0
ſhould	ſhould	vmd	ſhould	ſhould	0
cenſure	cenſure	vvi	cenſure	cenſure	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
weakeneſſe	weakeneſſe	n1	weakness	weakness	0
,	,	,	,	,	0
than	than	cs	than	than	0
You	You	pn22	You	you	0
ſhould	ſhould	vmd	ſhould	ſhould	0
charge	charge	vvi	charge	charge	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
Diſobedience	Diſobedience	n1	Diſobedience	diſobedience	0
:	:	:	:	:	0
Your	Your	po22	Your	your	0
Requeſt	Requeſt	n1	Requeſt	requeſt	0
being	being	vbg	being	be	0
no	no	av-dx	no	no	0
leſſe	leſſe	av-dc	less	less	0
than	than	cs	than	than	0
a	a	dt	a	a	0
command	command	n1	command	command	0
;	;	;	;	;	0
and	and	cc	and	and	0
Your	Your	po22	Your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
ſufficient	ſufficient	j	ſufficient	ſufficient	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
value	value	n1	valve	value	0
to	to	p-acp	to	to	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
themſelves	themſelves	px32	themſelves	themſelves	0
both	both	d	both	both	0
meane	meane	vvb	mean	mean	0
and	and	cc	and	and	0
worthleſſe	worthleſſe	j	worthless	worthless	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
willingly	willingly	av-j	willingly	willing	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
conſciouſneſſe	conſciouſneſſe	n1	consciousness	consciousness	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
ſlender	ſlender	j	ſlender	ſlend	0
performances	performances	n2	performances	performance	0
would	would	vmd	would	will	0
permit	permit	vvi	permit	permit	0
,	,	,	,	,	0
we	we	pns12	we	we	0
obey	obey	vvb	obey	obey	0
Your	Your	po22	Your	your	0
Order	Order	n1	Order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
now	now	av	now	now	0
,	,	,	,	,	0
although	although	cs	although	although	0
ſomewhat	ſomewhat	av	ſomewhat	ſomewhat	0
late	late	av-j	late	late	0
,	,	,	,	,	0
humbly	humbly	av-j	humbly	humble	0
offer	offer	vvb	offer	offer	0
theſe	theſe	d	theſe	theſe	0
two	two	crd	two	two	0
plaine	plaine	j	plain	plain	0
Sermons	Sermons	n2	Sermons	sermon	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
expects	expects	vvz	expects	expect	0
other	other	j-jn	other	other	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Faſt	Faſt	j	Faſt	faſt	0
?	?	?	?	?	0
)	)	)	)	)	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
footſtoole	footſtoole	n1	footstool	footstool	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Tribunall	Tribunall	n1	Tribunal	tribunal	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
laſting	laſting	j-vvg	laſting	laſt	0
Monument	Monument	n1	Monument	monument	0
of	of	pp-f	of	of	0
Our	Our	po12	Our	our	0
Gratitude	Gratitude	n1	Gratitude	gratitude	0
for	for	p-acp	for	for	0
Your	Your	po22	Your	your	0
encouraging	encouraging	vvg	encouraging	encourage	0
Approbation	Approbation	n1	Approbation	approbation	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
ſolemne	ſolemne	j	solemn	solemn	0
Thankes	Thankes	n2	Thanks	thank	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
weake	weake	j	weak	weak	0
endeavours	endeavours	n2	endeavours	endeavour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
preaching	preaching	vvg	preaching	preach	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
If	If	cs	If	if	0
in	in	p-acp	in	in	0
ſome	ſome	d	ſome	ſome	0
places	places	n2	places	place	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
that	that	d	that	that	0
juſt	juſt	j	juſt	juſt	0
liberty	liberty	n1	liberty	liberty	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
before	before	p-acp	before	before	0
us	us	pno12	us	we	0
,	,	,	,	,	0
we	we	pns12	we	we	0
truſt	truſt	vvb	truſt	truſt	0
it	it	pn31	it	it	0
