My	My	po11	My	my	0
deare	deare	j-jn	deer	dear	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
THese	THese	d	THese	these	0
following	following	vvg	following	follow	0
collections	collections	n2	collections	collection	0
came	came	vvd	came	come	0
out	out	av	out	out	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
returne	returne	vvb	return	return	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
made	made	vvn	made	make	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
lay	lay	vvd	lay	lie	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
lap	lap	n1	lap	lap	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
other	other	j-jn	other	other	0
children	children	n2	children	child	0
,	,	,	,	,	0
you	you	pn22	you	you	0
then	then	av	then	then	0
prosperous	prosperous	j	prosperous	prosperous	0
,	,	,	,	,	0
and	and	cc	and	and	0
wee	wee	pns12	we	we	0
happy	happy	j	happy	happy	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
.	.	.	.	.	1
Woe	Woe	n1	Woe	woe	0
is	is	vbz	is	be	0
mee	mee	pno11	me	i	0
my	my	po11	my	my	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
is	is	vbz	is	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
altered	altered	vvn	altered	alter	0
from	from	p-acp	from	from	0
those	those	d	those	those	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
our	our	po12	our	our	0
happinesse	happinesse	n1	happiness	happiness	0
is	is	vbz	is	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
perished	perished	vvn	perished	perish	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
.	.	.	.	.	1
How	How	np1	How	How	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
clouded	clouded	vvn	clouded	cloud	0
the	the	dt	the	the	0
mother	mother	n1	mother	mother	0
