OH	OH	uh	O	oh	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
visards	visards	n2	visards	visard	0
were	were	vbdr	were	be	0
vnmasked	vnmasked	vvn	unmasked	unmask	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
wayes	wayes	n2	ways	way	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
state	state	n1	state	state	0
might	might	vmd	might	may	0
see	see	vvi	see	see	0
your	your	po22	your	your	0
aime	aime	vvb	aim	aim	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
now	now	av	now	now	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
disturbed	disturbed	vvn	disturbed	disturb	0
to	to	pc-acp	to	to	0
rove	rove	vvi	rove	rove	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
your	your	po22	your	your	0
seducements	seducements	n2	seducements	seducement	0
by	by	p-acp	by	by	0
conjectures	conjectures	n2	conjectures	conjecture	0
!	!	!	!	!	1
Now	Now	av	Now	now	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
advancer	advancer	n1	advancer	advancer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Chaire	Chaire	n1	Chair	chair	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
child	child	n1	child	child	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
difficult	difficult	j	difficult	difficult	0
and	and	cc	and	and	0
unsettled	unsettled	j-vvn	unsettled	unsettle	0
times	times	n2	times	time	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
both	both	d	both	both	0
,	,	,	,	,	0
and	and	cc	and	and	0
stand	stand	vvb	stand	stand	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
neither	neither	dx	neither	neither	0
.	.	.	.	.	1
And	And	cc	And	and	0
sure	sure	j	sure	sure	0
Rome	Rome	n1	Room	room	0
scarce	scarce	av-j	scarce	scarce	0
dare	dare	vvb	dare	dare	0
trust	trust	vvb	trust	trust	0
you	you	pn22	you	you	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
leave	leave	vvi	leave	leave	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
fearefull	fearefull	j	fearful	fearful	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
fly	fly	vvi	fly	fly	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
your	your	po22	your	your	0
own	own	d	own	own	0
consciences	consciences	n2	consciences	conscience	0
can	can	vmb	can	can	0
testifie	testifie	vvi	testify	testify	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
affect	affect	vvb	affect	affect	0
both	both	d	both	both	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
entire	entire	j	entire	entire	0
to	to	pc-acp	to	to	0
neither	neither	av-d	neither	neither	0
,	,	,	,	,	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
plainly	plainly	av-j	plainly	plain	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
firme	firme	j	firm	firm	0
to	to	pc-acp	to	to	0
neither	neither	av-d	neither	neither	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
troublesome	troublesome	j	troublesome	troublesome	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
.	.	.	.	.	1
To	To	pc-acp	To	to	0
be	be	vbi	be	be	0
too	too	av	too	too	0
zealous	zealous	j	zealous	zealous	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
pretended	pretended	j-vvn	pretended	pretend	0
good	good	j	good	good	0
worke	worke	n1	work	work	0
is	is	vbz	is	be	0
ill	ill	j-jn	ill	ill	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
still	still	av	still	still	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
with	with	p-acp	with	with	0
ignorance	ignorance	n1	ignorance	ignorance	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
worst	worst	js	worst	worst	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
both	both	d	both	both	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
firme	firme	j	firm	firm	0
to	to	pc-acp	to	to	0
neither	neither	av-d	neither	neither	0
,	,	,	,	,	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
still	still	av	still	still	0
abide	abide	vvi	abide	abide	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
still	still	av	still	still	0
cast	cast	vvi	cast	cast	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
on	on	p-acp	on	on	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
ahide	ahide	vvb	ahide	ahide	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
or	or	cc	or	or	0
unconstant	unconstant	j	unconstant	unconstant	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
still	still	av	still	still	0
stand	stand	vvi	stand	stand	0
on	on	p-acp	on	on	0
doubts	doubts	n2	doubts	doubt	0
,	,	,	,	,	0
know	know	vvb	know	know	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
you	you	pn22	you	you	0
:	:	:	:	:	0
either	either	av-d	either	either	0
abide	abide	vvi	abide	abide	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
speake	speake	vvb	speak	speak	0
,	,	,	,	,	0
and	and	cc	and	and	0
cut	cut	vvb	cut	cut	0
your	your	po22	your	your	0
wings	wings	n2	wings	wing	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
betake	betake	vvb	betake	betake	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
wings	wings	n2	wings	wing	0
,	,	,	,	,	0
and	and	cc	and	and	0
speake	speake	vvi	speak	speak	0
at	at	p-acp	at	at	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
so	so	av	so	so	0
trouble	trouble	vvi	trouble	trouble	0
us	us	pno12	us	we	0
both	both	d	both	both	0
.	.	.	.	.	1
Either	Either	av-d	Either	either	0
speake	speake	vvb	speak	speak	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
or	or	cc	or	or	0
abide	abide	vvi	abide	abide	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
worke	worke	vvb	work	work	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
darke	darke	j	dark	dark	0
.	.	.	.	.	1
Remember	Remember	np1	Remember	Remember	0
death	death	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
