Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
MAny	MAny	d	MAny	many	0
struglings	struglings	n2-vvg	strugglings	struggle	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
about	about	p-acp	about	about	0
publishing	publishing	vvg	publishing	publish	0
these	these	d	these	these	0
Notes	Notes	n2	Notes	note	0
:	:	:	:	:	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
looked	looked	vvn	looked	look	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
been	been	vbn	been	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
upon	upon	p-acp	upon	upon	0
these	these	d	these	these	0
grounds	grounds	n2	grounds	ground	0
:	:	:	:	:	0
1.	1.	crd	1.	1.	1
The	The	dt	The	the	0
many	many	d	many	many	0
desires	desires	n2	desires	desire	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
friends	friends	n2	friends	friend	0
and	and	cc	and	and	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
private	private	j	private	private	0
speeches	speeches	n2	speeches	speech	0
and	and	cc	and	and	0
Letters	Letters	n2	Letters	letter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
voice	voice	n1	voice	voice	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Some	Some	d	Some	some	0
good	good	j	good	good	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
heare	heare	vvb	hear	hear	0
)	)	)	)	)	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
already	already	av	already	already	0
out	out	av	out	out	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
might	might	vmd	might	may	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
looked	looked	vvn	looked	look	0
on	on	a-acp	on	on	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
meaning	meaning	vvg	meaning	mean	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
providence	providence	n1	providence	providence	0
without	without	p-acp	without	without	0
my	my	po11	my	my	0
